number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.03356571133488252,2026-04-18 17:58:47.255727,2026-04-18 17:58:47.908369,0 days 00:00:00.652642,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.02032520325203252,2026-04-18 17:58:47.908573,2026-04-18 17:58:48.006050,0 days 00:00:00.097477,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.03132832080200501,2026-04-18 17:58:48.006268,2026-04-18 17:58:48.100751,0 days 00:00:00.094483,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.3013725880246668,2026-04-18 17:58:48.100949,2026-04-18 17:58:48.621286,0 days 00:00:00.520337,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.22858444714459294,2026-04-18 17:58:48.621487,2026-04-18 17:58:48.654251,0 days 00:00:00.032764,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.03365260160497023,2026-04-18 17:58:48.654439,2026-04-18 17:58:50.594143,0 days 00:00:01.939704,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.3035075161059413,2026-04-18 17:58:50.594352,2026-04-18 17:58:51.719971,0 days 00:00:01.125619,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.009039256198347107,2026-04-18 17:58:51.720165,2026-04-18 17:58:51.750918,0 days 00:00:00.030753,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.3073492340508047,2026-04-18 17:58:51.751114,2026-04-18 17:58:52.202339,0 days 00:00:00.451225,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.1280241935483871,2026-04-18 17:58:52.202587,2026-04-18 17:58:52.302978,0 days 00:00:00.100391,,0.04758470274910409,,,COPOD,,,,,COMPLETE
