number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.03937007874015748,2026-04-28 10:45:51.386555,2026-04-28 10:45:51.885428,0 days 00:00:00.498873,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:45:51.885637,2026-04-28 10:45:51.893088,0 days 00:00:00.007451,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:45:51.893260,2026-04-28 10:45:51.899385,0 days 00:00:00.006125,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.033444816053511704,2026-04-28 10:45:51.899537,2026-04-28 10:45:52.004166,0 days 00:00:00.104629,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.026490066225165563,2026-04-28 10:45:52.004366,2026-04-28 10:45:52.009337,0 days 00:00:00.004971,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.04065040650406504,2026-04-28 10:45:52.009513,2026-04-28 10:45:52.585580,0 days 00:00:00.576067,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.0281214848143982,2026-04-28 10:45:52.585771,2026-04-28 10:45:52.794978,0 days 00:00:00.209207,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:45:52.795177,2026-04-28 10:45:52.799550,0 days 00:00:00.004373,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.033444816053511704,2026-04-28 10:45:52.799723,2026-04-28 10:45:52.887974,0 days 00:00:00.088251,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 10:45:52.888228,2026-04-28 10:45:52.895381,0 days 00:00:00.007153,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.033003300330033,2026-04-28 10:45:52.895587,2026-04-28 10:45:53.535492,0 days 00:00:00.639905,,0.012278360049275504,15.0,,LOF,,,98.0,,COMPLETE
11,0.04065040650406504,2026-04-28 10:45:53.535686,2026-04-28 10:45:54.033240,0 days 00:00:00.497554,,0.0012277440743282356,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 10:45:54.033462,2026-04-28 10:45:54.041526,0 days 00:00:00.008064,,0.00103656973932176,,,ECOD,,,,,COMPLETE
13,0.0353356890459364,2026-04-28 10:45:54.041705,2026-04-28 10:45:54.608966,0 days 00:00:00.567261,,0.007486841698550976,30.0,,LOF,,,79.0,,COMPLETE
14,0.039525691699604744,2026-04-28 10:45:54.609154,2026-04-28 10:45:55.113245,0 days 00:00:00.504091,,0.0020587843387936487,80.0,,LOF,,,20.0,,COMPLETE
15,0.03003003003003003,2026-04-28 10:45:55.113457,2026-04-28 10:45:55.652039,0 days 00:00:00.538582,,0.01863068988109257,50.0,,LOF,,,52.0,,COMPLETE
16,0.0,2026-04-28 10:45:55.652243,2026-04-28 10:45:55.660193,0 days 00:00:00.007950,,0.004885145128301496,,,ECOD,,,,,COMPLETE
17,0.04065040650406504,2026-04-28 10:45:55.660356,2026-04-28 10:45:56.197057,0 days 00:00:00.536701,,0.0015135616660038828,45.0,,LOF,,,51.0,,COMPLETE
18,0.033003300330033,2026-04-28 10:45:56.197259,2026-04-28 10:45:56.733036,0 days 00:00:00.535777,,0.018524587675964224,29.0,,LOF,,,29.0,,COMPLETE
19,0.04065040650406504,2026-04-28 10:45:56.733245,2026-04-28 10:45:57.274767,0 days 00:00:00.541522,,0.0035960452371579777,58.0,,LOF,,,80.0,,COMPLETE
20,0.0,2026-04-28 10:45:57.275071,2026-04-28 10:45:57.283846,0 days 00:00:00.008775,,0.010171103530622764,,,ECOD,,,,,COMPLETE
21,0.039525691699604744,2026-04-28 10:45:57.284042,2026-04-28 10:45:57.834693,0 days 00:00:00.550651,,0.001592828168222573,41.0,,LOF,,,45.0,,COMPLETE
22,0.039525691699604744,2026-04-28 10:45:57.834892,2026-04-28 10:45:58.400949,0 days 00:00:00.566057,,0.0016209369126228407,35.0,,LOF,,,72.0,,COMPLETE
23,0.04065040650406504,2026-04-28 10:45:58.401169,2026-04-28 10:45:59.001397,0 days 00:00:00.600228,,0.0010084641371983334,17.0,,LOF,,,41.0,,COMPLETE
24,0.04065040650406504,2026-04-28 10:45:59.001607,2026-04-28 10:45:59.588044,0 days 00:00:00.586437,,0.0023569163690874625,55.0,,LOF,,,100.0,,COMPLETE
