number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0946969696969697,2026-04-28 11:11:47.816411,2026-04-28 11:11:47.838459,0 days 00:00:00.022048,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.018726591760299626,2026-04-28 11:11:47.838623,2026-04-28 11:11:47.846845,0 days 00:00:00.008222,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.017857142857142856,2026-04-28 11:11:47.846970,2026-04-28 11:11:47.854997,0 days 00:00:00.008027,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.022900763358778626,2026-04-28 11:11:47.855126,2026-04-28 11:11:48.073348,0 days 00:00:00.218222,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.042134831460674156,2026-04-28 11:11:48.073551,2026-04-28 11:11:48.078680,0 days 00:00:00.005129,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:11:48.078809,2026-04-28 11:11:48.149894,0 days 00:00:00.071085,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.04230769230769231,2026-04-28 11:11:48.150086,2026-04-28 11:11:48.576984,0 days 00:00:00.426898,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:11:48.577164,2026-04-28 11:11:48.582060,0 days 00:00:00.004896,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.030303030303030304,2026-04-28 11:11:48.582190,2026-04-28 11:11:48.754760,0 days 00:00:00.172570,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.018796992481203006,2026-04-28 11:11:48.754940,2026-04-28 11:11:48.763524,0 days 00:00:00.008584,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.39473684210526316,2026-04-28 11:11:48.763686,2026-04-28 11:11:48.787143,0 days 00:00:00.023457,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.40229885057471265,2026-04-28 11:11:48.787296,2026-04-28 11:11:48.811020,0 days 00:00:00.023724,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.015723270440251572,2026-04-28 11:11:48.811169,2026-04-28 11:11:48.820844,0 days 00:00:00.009675,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.3867403314917127,2026-04-28 11:11:48.820989,2026-04-28 11:11:48.845168,0 days 00:00:00.024179,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.23738872403560832,2026-04-28 11:11:48.845343,2026-04-28 11:11:48.881764,0 days 00:00:00.036421,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.14950166112956811,2026-04-28 11:11:48.881949,2026-04-28 11:11:48.932814,0 days 00:00:00.050865,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.023310023310023312,2026-04-28 11:11:48.933014,2026-04-28 11:11:48.943054,0 days 00:00:00.010040,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.23469387755102042,2026-04-28 11:11:48.943195,2026-04-28 11:11:48.975951,0 days 00:00:00.032756,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.38961038961038963,2026-04-28 11:11:48.976146,2026-04-28 11:11:48.997744,0 days 00:00:00.021598,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.23097826086956522,2026-04-28 11:11:48.997895,2026-04-28 11:11:49.036400,0 days 00:00:00.038505,,0.023408245885828113,64.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 11:11:49.036570,2026-04-28 11:11:49.046081,0 days 00:00:00.009511,,0.00429044326441149,,,ECOD,,,,,COMPLETE
21,0.4272151898734177,2026-04-28 11:11:49.046218,2026-04-28 11:11:49.068323,0 days 00:00:00.022105,,0.007739430513081453,11.0,,LOF,,,7.0,,COMPLETE
22,0.2980132450331126,2026-04-28 11:11:49.068483,2026-04-28 11:11:49.093837,0 days 00:00:00.025354,,0.008324680742057614,37.0,,LOF,,,15.0,,COMPLETE
23,0.3443526170798898,2026-04-28 11:11:49.094007,2026-04-28 11:11:49.122022,0 days 00:00:00.028015,,0.019393716672709952,16.0,,LOF,,,21.0,,COMPLETE
24,0.032467532467532464,2026-04-28 11:11:49.122186,2026-04-28 11:11:49.190805,0 days 00:00:00.068619,,0.010097693271756497,39.0,,LOF,,,84.0,,COMPLETE
