number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:12:18.613825,2026-04-18 17:12:18.621935,0 days 00:00:00.008110,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.09230769230769231,2026-04-18 17:12:18.622049,2026-04-18 17:12:19.082737,0 days 00:00:00.460688,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.0,2026-04-18 17:12:19.082911,2026-04-18 17:12:19.085828,0 days 00:00:00.002917,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0,2026-04-18 17:12:19.085941,2026-04-18 17:12:19.088642,0 days 00:00:00.002701,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.08695652173913043,2026-04-18 17:12:19.088741,2026-04-18 17:12:19.091376,0 days 00:00:00.002635,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0,2026-04-18 17:12:19.091472,2026-04-18 17:12:19.590753,0 days 00:00:00.499281,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.0,2026-04-18 17:12:19.590932,2026-04-18 17:12:20.146082,0 days 00:00:00.555150,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:12:20.146254,2026-04-18 17:12:20.341696,0 days 00:00:00.195442,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.0,2026-04-18 17:12:20.341862,2026-04-18 17:12:20.344722,0 days 00:00:00.002860,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.0,2026-04-18 17:12:20.344834,2026-04-18 17:12:20.526056,0 days 00:00:00.181222,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.04040404040404041,2026-04-18 17:12:20.526230,2026-04-18 17:12:20.547934,0 days 00:00:00.021704,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.07629427792915532,2026-04-18 17:12:20.548069,2026-04-18 17:12:20.570481,0 days 00:00:00.022412,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.07253886010362694,2026-04-18 17:12:20.570615,2026-04-18 17:12:20.958318,0 days 00:00:00.387703,,0.04303691834216673,,,,0.6774067518529873,IForest,,276.0,,,,COMPLETE
13,0.013513513513513514,2026-04-18 17:12:20.958493,2026-04-18 17:12:20.965817,0 days 00:00:00.007324,0.058083808327474395,0.036771896235456576,,,,,HBOS,38.0,,,,0.8828608028738248,COMPLETE
14,0.06965174129353234,2026-04-18 17:12:20.965935,2026-04-18 17:12:21.423712,0 days 00:00:00.457777,,0.051017847643284056,,,,0.9884981130560856,IForest,,296.0,,,,COMPLETE
15,0.014084507042253521,2026-04-18 17:12:21.423872,2026-04-18 17:12:21.431136,0 days 00:00:00.007264,0.10210815052932311,0.026320483007575765,,,,,HBOS,39.0,,,,0.5136010781213356,COMPLETE
16,0.03162055335968379,2026-04-18 17:12:21.431249,2026-04-18 17:12:21.449104,0 days 00:00:00.017855,,0.07597170626681614,,,53.0,,LOF,,,59.0,,,COMPLETE
17,0.029411764705882353,2026-04-18 17:12:21.449223,2026-04-18 17:12:21.803862,0 days 00:00:00.354639,,0.018584698152125233,0.9674803505515404,rbf,,,OCSVM,,,,0.39668058297111974,,COMPLETE
18,0.07434944237918216,2026-04-18 17:12:21.804113,2026-04-18 17:12:22.021334,0 days 00:00:00.217221,,0.07616248418145932,,,,0.40340797752043095,IForest,,169.0,,,,COMPLETE
