number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.005392289026691831,2026-04-24 14:13:05.983548,2026-04-24 14:13:06.006075,0 days 00:00:00.022527,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0013462574044157242,2026-04-24 14:13:06.006259,2026-04-24 14:13:06.015145,0 days 00:00:00.008886,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0026874496103198066,2026-04-24 14:13:06.015332,2026-04-24 14:13:06.024755,0 days 00:00:00.009423,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.09858812074001948,2026-04-24 14:13:06.024947,2026-04-24 14:13:06.259458,0 days 00:00:00.234511,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.15355722492266902,2026-04-24 14:13:06.259656,2026-04-24 14:13:06.264805,0 days 00:00:00.005149,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.004050769646232784,2026-04-24 14:13:06.264956,2026-04-24 14:13:06.332927,0 days 00:00:00.067971,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.20280314291781695,2026-04-24 14:13:06.333176,2026-04-24 14:13:06.807704,0 days 00:00:00.474528,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-24 14:13:06.807978,2026-04-24 14:13:06.813373,0 days 00:00:00.005395,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.11266225814352192,2026-04-24 14:13:06.813554,2026-04-24 14:13:07.009363,0 days 00:00:00.195809,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.05152048253329983,2026-04-24 14:13:07.009565,2026-04-24 14:13:07.019381,0 days 00:00:00.009816,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.021152829190904283,2026-04-24 14:13:07.019627,2026-04-24 14:13:07.030706,0 days 00:00:00.011079,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.1566579634464752,2026-04-24 14:13:07.030871,2026-04-24 14:13:07.040829,0 days 00:00:00.009958,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.17902274641954508,2026-04-24 14:13:07.041013,2026-04-24 14:13:07.050989,0 days 00:00:00.009976,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.03507404520654715,2026-04-24 14:13:07.051183,2026-04-24 14:13:07.601033,0 days 00:00:00.549850,,0.01956291363650499,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.19874264854998985,2026-04-24 14:13:07.601234,2026-04-24 14:13:07.611814,0 days 00:00:00.010580,,0.1989058004810467,,,ECOD,,,,,COMPLETE
15,0.03749676752004138,2026-04-24 14:13:07.611991,2026-04-24 14:13:07.622550,0 days 00:00:00.010559,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.01597444089456869,2026-04-24 14:13:07.622756,2026-04-24 14:13:07.633079,0 days 00:00:00.010323,,0.009442640435834046,,,ECOD,,,,,COMPLETE
17,0.1222888786340563,2026-04-24 14:13:07.633256,2026-04-24 14:13:08.087845,0 days 00:00:00.454589,,0.09825005130624256,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.05354411014788373,2026-04-24 14:13:08.088054,2026-04-24 14:13:08.098938,0 days 00:00:00.010884,,0.03552888839001809,,,ECOD,,,,,COMPLETE
19,0.12683267395857575,2026-04-24 14:13:08.099140,2026-04-24 14:13:08.483789,0 days 00:00:00.384649,,0.10730238726559596,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.01201281366791244,2026-04-24 14:13:08.483995,2026-04-24 14:13:08.494474,0 days 00:00:00.010479,,0.0078623890631114,,,ECOD,,,,,COMPLETE
21,0.10807600950118765,2026-04-24 14:13:08.494656,2026-04-24 14:13:08.504210,0 days 00:00:00.009554,0.021100468655599752,0.1991209331470552,,,HBOS,5.0,,,0.8922132554275863,COMPLETE
22,0.12846983253039687,2026-04-24 14:13:08.504402,2026-04-24 14:13:08.514261,0 days 00:00:00.009859,0.28381130569122404,0.10926292968473991,,,HBOS,34.0,,,0.8916307037078459,COMPLETE
23,0.20859149111937217,2026-04-24 14:13:08.514448,2026-04-24 14:13:08.565078,0 days 00:00:00.050630,,0.19350580311027996,10.0,,LOF,,,54.0,,COMPLETE
24,0.08943886302376869,2026-04-24 14:13:08.565295,2026-04-24 14:13:08.614776,0 days 00:00:00.049481,,0.07359851693827846,16.0,,LOF,,,56.0,,COMPLETE
