number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.03871966959215281,2026-04-18 17:49:58.047346,2026-04-18 17:50:01.898535,0 days 00:00:03.851189,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.007716049382716049,2026-04-18 17:50:01.898723,2026-04-18 17:50:01.911323,0 days 00:00:00.012600,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.008928571428571428,2026-04-18 17:50:01.911499,2026-04-18 17:50:01.923695,0 days 00:00:00.012196,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.09643301534632932,2026-04-18 17:50:01.923850,2026-04-18 17:50:02.123126,0 days 00:00:00.199276,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.08734017648118135,2026-04-18 17:50:02.123341,2026-04-18 17:50:02.130771,0 days 00:00:00.007430,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.034946932435930625,2026-04-18 17:50:02.130931,2026-04-18 17:50:06.435961,0 days 00:00:04.305030,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.11970684039087948,2026-04-18 17:50:06.436175,2026-04-18 17:50:06.800410,0 days 00:00:00.364235,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0012990387113535984,2026-04-18 17:50:06.800608,2026-04-18 17:50:06.807966,0 days 00:00:00.007358,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.10682907348242812,2026-04-18 17:50:06.808168,2026-04-18 17:50:06.956593,0 days 00:00:00.148425,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.052312199204854574,2026-04-18 17:50:06.956797,2026-04-18 17:50:06.970211,0 days 00:00:00.013414,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.016005909874415167,2026-04-18 17:50:06.970402,2026-04-18 17:50:06.985584,0 days 00:00:00.015182,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.11970684039087948,2026-04-18 17:50:06.985764,2026-04-18 17:50:07.408166,0 days 00:00:00.422402,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.11970684039087948,2026-04-18 17:50:07.408386,2026-04-18 17:50:07.811663,0 days 00:00:00.403277,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
