number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.04382572828048466,2026-04-18 17:52:12.771595,2026-04-18 17:52:17.193149,0 days 00:00:04.421554,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0038629925315477724,2026-04-18 17:52:17.193346,2026-04-18 17:52:17.206937,0 days 00:00:00.013591,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.007656967840735069,2026-04-18 17:52:17.207207,2026-04-18 17:52:17.220038,0 days 00:00:00.012831,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.09156771986315154,2026-04-18 17:52:17.220270,2026-04-18 17:52:17.419827,0 days 00:00:00.199557,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.07537688442211055,2026-04-18 17:52:17.420092,2026-04-18 17:52:17.428112,0 days 00:00:00.008020,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.011703511053315995,2026-04-18 17:52:17.428312,2026-04-18 17:52:22.379895,0 days 00:00:04.951583,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.11282660332541568,2026-04-18 17:52:22.380108,2026-04-18 17:52:22.742025,0 days 00:00:00.361917,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-18 17:52:22.742260,2026-04-18 17:52:22.749749,0 days 00:00:00.007489,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.09156771986315154,2026-04-18 17:52:22.749940,2026-04-18 17:52:22.906136,0 days 00:00:00.156196,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.04763967085318319,2026-04-18 17:52:22.906355,2026-04-18 17:52:22.919585,0 days 00:00:00.013230,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.01847290640394089,2026-04-18 17:52:22.919793,2026-04-18 17:52:22.934680,0 days 00:00:00.014887,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.1017493752231346,2026-04-18 17:52:22.934863,2026-04-18 17:52:23.365978,0 days 00:00:00.431115,,0.1520310542982662,,0.5407072808791104,IForest,,185.0,,,COMPLETE
12,0.11282660332541568,2026-04-18 17:52:23.366191,2026-04-18 17:52:23.824838,0 days 00:00:00.458647,,0.1862947712919154,,0.4708244079875672,IForest,,192.0,,,COMPLETE
13,0.07392630837831494,2026-04-18 17:52:23.825058,2026-04-18 17:52:24.242943,0 days 00:00:00.417885,,0.024527898153562742,,0.34552915782322224,IForest,,188.0,,,COMPLETE
