number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.09900990099009901,2026-04-18 17:10:30.366180,2026-04-18 17:10:30.425582,0 days 00:00:00.059402,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.20178041543026706,2026-04-18 17:10:30.425728,2026-04-18 17:10:30.849550,0 days 00:00:00.423822,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.01904761904761905,2026-04-18 17:10:30.849708,2026-04-18 17:10:30.854890,0 days 00:00:00.005182,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0,2026-04-18 17:10:30.855000,2026-04-18 17:10:30.860211,0 days 00:00:00.005211,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.125,2026-04-18 17:10:30.860319,2026-04-18 17:10:30.865348,0 days 00:00:00.005029,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0,2026-04-18 17:10:30.865449,2026-04-18 17:10:31.325585,0 days 00:00:00.460136,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.0,2026-04-18 17:10:31.325755,2026-04-18 17:10:31.859173,0 days 00:00:00.533418,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:10:31.859367,2026-04-18 17:10:32.039808,0 days 00:00:00.180441,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.019230769230769232,2026-04-18 17:10:32.039988,2026-04-18 17:10:32.045126,0 days 00:00:00.005138,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.0,2026-04-18 17:10:32.045242,2026-04-18 17:10:32.258934,0 days 00:00:00.213692,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.1806020066889632,2026-04-18 17:10:32.259125,2026-04-18 17:10:32.286366,0 days 00:00:00.027241,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.16909620991253643,2026-04-18 17:10:32.286532,2026-04-18 17:10:32.320107,0 days 00:00:00.033575,,0.13412923922791903,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.24043715846994534,2026-04-18 17:10:32.320249,2026-04-18 17:10:32.361470,0 days 00:00:00.041221,,0.0423056096675609,0.00013294479860745514,rbf,,,OCSVM,,,,0.03024872991916231,,COMPLETE
13,0.3246753246753247,2026-04-18 17:10:32.361618,2026-04-18 17:10:32.503056,0 days 00:00:00.141438,,0.03941807350988234,,,74.0,,LOF,,,80.0,,,COMPLETE
14,0.33112582781456956,2026-04-18 17:10:32.503253,2026-04-18 17:10:32.649866,0 days 00:00:00.146613,,0.03706082437104764,,,80.0,,LOF,,,80.0,,,COMPLETE
