number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0658682634730539,2026-04-18 16:49:17.338226,2026-04-18 16:49:17.435493,0 days 00:00:00.097267,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.170316301703163,2026-04-18 16:49:17.435661,2026-04-18 16:49:20.429248,0 days 00:00:02.993587,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.020657276995305163,2026-04-18 16:49:20.429424,2026-04-18 16:49:20.437297,0 days 00:00:00.007873,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.003980099502487562,2026-04-18 16:49:20.437417,2026-04-18 16:49:20.445028,0 days 00:00:00.007611,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.08924949290060852,2026-04-18 16:49:20.445135,2026-04-18 16:49:20.453188,0 days 00:00:00.008053,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.004052684903748734,2026-04-18 16:49:20.453290,2026-04-18 16:49:23.651307,0 days 00:00:03.198017,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.013658536585365854,2026-04-18 16:49:23.651481,2026-04-18 16:49:27.684767,0 days 00:00:04.033286,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.010030090270812437,2026-04-18 16:49:27.684943,2026-04-18 16:49:28.957269,0 days 00:00:01.272326,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.020657276995305163,2026-04-18 16:49:28.957434,2026-04-18 16:49:28.965195,0 days 00:00:00.007761,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.007835455435847209,2026-04-18 16:49:28.965310,2026-04-18 16:49:49.764881,0 days 00:00:20.799571,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.08808467053601912,2026-04-18 16:49:49.765076,2026-04-18 16:49:51.433969,0 days 00:00:01.668893,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.2413929560743965,2026-04-18 16:49:51.434191,2026-04-18 16:49:51.663040,0 days 00:00:00.228849,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.2777777777777778,2026-04-18 16:49:51.663241,2026-04-18 16:49:51.883419,0 days 00:00:00.220178,,0.04576282638077717,,,76.0,,LOF,,,77.0,,,COMPLETE
13,0.25014889815366287,2026-04-18 16:49:51.883608,2026-04-18 16:49:52.104310,0 days 00:00:00.220702,,0.03818492699186816,,,80.0,,LOF,,,78.0,,,COMPLETE
