number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.029639175257731958,2026-04-18 17:55:58.266304,2026-04-18 17:55:58.881212,0 days 00:00:00.614908,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.011562178828365879,2026-04-18 17:55:58.881430,2026-04-18 17:55:58.977330,0 days 00:00:00.095900,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.017843487127198573,2026-04-18 17:55:58.977543,2026-04-18 17:55:59.072141,0 days 00:00:00.094598,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.2889372649910944,2026-04-18 17:55:59.072323,2026-04-18 17:55:59.563932,0 days 00:00:00.491609,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.19189927184466019,2026-04-18 17:55:59.564123,2026-04-18 17:55:59.597582,0 days 00:00:00.033459,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.020741508944775732,2026-04-18 17:55:59.597795,2026-04-18 17:56:01.580858,0 days 00:00:01.983063,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.2897936104042974,2026-04-18 17:56:01.581059,2026-04-18 17:56:02.649914,0 days 00:00:01.068855,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0064716541548019675,2026-04-18 17:56:02.650116,2026-04-18 17:56:02.682201,0 days 00:00:00.032085,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.2950250674893945,2026-04-18 17:56:02.682406,2026-04-18 17:56:03.113657,0 days 00:00:00.431251,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.07988922028121005,2026-04-18 17:56:03.113875,2026-04-18 17:56:03.210059,0 days 00:00:00.096184,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.04433497536945813,2026-04-18 17:56:03.210258,2026-04-18 17:56:03.306417,0 days 00:00:00.096159,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.2949438202247191,2026-04-18 17:56:03.306616,2026-04-18 17:56:04.479670,0 days 00:00:01.173054,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.279874213836478,2026-04-18 17:56:04.479890,2026-04-18 17:56:05.664440,0 days 00:00:01.184550,,0.04822173298251386,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.14551526717557253,2026-04-18 17:56:05.664645,2026-04-18 17:56:06.040050,0 days 00:00:00.375405,,0.019283335565628137,,0.7921669361232654,IForest,,53.0,,,COMPLETE
14,0.3019724210158841,2026-04-18 17:56:06.040258,2026-04-18 17:56:06.729756,0 days 00:00:00.689498,,0.09936984958228698,,0.34597217662356505,IForest,,120.0,,,COMPLETE
15,0.07550731477111845,2026-04-18 17:56:06.729967,2026-04-18 17:56:06.826559,0 days 00:00:00.096592,,0.021401376261138354,,,ECOD,,,,,COMPLETE
16,0.30077979948013367,2026-04-18 17:56:06.826757,2026-04-18 17:56:07.480627,0 days 00:00:00.653870,,0.08237508326011031,,0.36045824527348924,IForest,,112.0,,,COMPLETE
17,0.09464508094645081,2026-04-18 17:56:07.480841,2026-04-18 17:56:08.168058,0 days 00:00:00.687217,,0.00939821504407328,,0.3128840568109808,IForest,,120.0,,,COMPLETE
18,0.29706451045878013,2026-04-18 17:56:08.168267,2026-04-18 17:56:08.826944,0 days 00:00:00.658677,,0.09749089550901213,,0.3076764197582065,IForest,,116.0,,,COMPLETE
19,0.11816340310600945,2026-04-18 17:56:08.827153,2026-04-18 17:56:10.166565,0 days 00:00:01.339412,,0.033613837138551164,14.0,,LOF,,,44.0,,COMPLETE
20,0.16042301487721813,2026-04-18 17:56:10.166762,2026-04-18 17:56:10.264762,0 days 00:00:00.098000,,0.09443246603982994,,,ECOD,,,,,COMPLETE
21,0.29795637987291773,2026-04-18 17:56:10.264970,2026-04-18 17:56:10.955317,0 days 00:00:00.690347,,0.10568613845507566,,0.30615968954816236,IForest,,119.0,,,COMPLETE
22,0.23325892857142858,2026-04-18 17:56:10.955518,2026-04-18 17:56:11.822597,0 days 00:00:00.867079,,0.03341974702903246,,0.439515221977566,IForest,,141.0,,,COMPLETE
23,0.3035778821828695,2026-04-18 17:56:11.822795,2026-04-18 17:56:12.451067,0 days 00:00:00.628272,,0.0909528243656902,,0.4554218201834112,IForest,,101.0,,,COMPLETE
24,0.23553162853297444,2026-04-18 17:56:12.451271,2026-04-18 17:56:13.034627,0 days 00:00:00.583356,,0.03335874252594867,,0.464031928988261,IForest,,93.0,,,COMPLETE
25,0.22009229676961306,2026-04-18 17:56:13.034833,2026-04-18 17:56:13.067867,0 days 00:00:00.033034,0.01417034028739772,0.11369138674532286,,,HBOS,5.0,,,0.8330312987117048,COMPLETE
26,0.2853973376361436,2026-04-18 17:56:13.068075,2026-04-18 17:56:13.665746,0 days 00:00:00.597671,,0.059648935896076054,,0.44571715575400056,IForest,,94.0,,,COMPLETE
27,0.07443855664900328,2026-04-18 17:56:13.665965,2026-04-18 17:56:14.566860,0 days 00:00:00.900895,,0.006727479475021358,,0.5445901821603216,IForest,,146.0,,,COMPLETE
28,0.2885755699038081,2026-04-18 17:56:14.567055,2026-04-18 17:56:15.204247,0 days 00:00:00.637192,,0.19807242472283687,,0.407803420842615,IForest,,101.0,,,COMPLETE
29,0.11313784345416762,2026-04-18 17:56:15.204451,2026-04-18 17:56:17.388825,0 days 00:00:02.184374,,0.025988604893087647,77.0,,LOF,,,97.0,,COMPLETE
30,0.11895625479662318,2026-04-18 17:56:17.389076,2026-04-18 17:56:17.490968,0 days 00:00:00.101892,,0.07677527258429036,,,COPOD,,,,,COMPLETE
31,0.2951534462518866,2026-04-18 17:56:17.491186,2026-04-18 17:56:18.296524,0 days 00:00:00.805338,,0.11227911640800468,,0.36541247211417893,IForest,,134.0,,,COMPLETE
32,0.29756326148078727,2026-04-18 17:56:18.296771,2026-04-18 17:56:19.038681,0 days 00:00:00.741910,,0.1372243523968123,,0.5378061411798659,IForest,,112.0,,,COMPLETE
33,0.2661393758016246,2026-04-18 17:56:19.038888,2026-04-18 17:56:19.745970,0 days 00:00:00.707082,,0.045596678889857155,,0.3529280913251035,IForest,,124.0,,,COMPLETE
34,0.30415162454873645,2026-04-18 17:56:19.746194,2026-04-18 17:56:20.246623,0 days 00:00:00.500429,,0.08929203369602468,,0.5149762056655094,IForest,,78.0,,,COMPLETE
35,0.11259949524364202,2026-04-18 17:56:20.246855,2026-04-18 17:56:20.344189,0 days 00:00:00.097334,,0.0728919383351378,,,COPOD,,,,,COMPLETE
36,0.014084507042253521,2026-04-18 17:56:20.344396,2026-04-18 17:56:20.382192,0 days 00:00:00.037796,0.49698296467435743,0.003996253575564451,,,HBOS,50.0,,,0.7886664822342316,COMPLETE
37,0.21520359188728905,2026-04-18 17:56:20.382392,2026-04-18 17:56:21.002598,0 days 00:00:00.620206,,0.1388293680741848,50.0,,LOF,,,10.0,,COMPLETE
38,0.2933858594235953,2026-04-18 17:56:21.002821,2026-04-18 17:56:21.555205,0 days 00:00:00.552384,,0.05275349695078985,,0.5367233077420407,IForest,,88.0,,,COMPLETE
39,0.005166623611469905,2026-04-18 17:56:21.555412,2026-04-18 17:56:21.652754,0 days 00:00:00.097342,,0.0020565736164299005,,,ECOD,,,,,COMPLETE
40,0.3006744098913451,2026-04-18 17:56:21.652946,2026-04-18 17:56:22.104166,0 days 00:00:00.451220,,0.0792547485301816,,0.4959131429805721,IForest,,72.0,,,COMPLETE
41,0.3011269166820617,2026-04-18 17:56:22.104363,2026-04-18 17:56:22.558488,0 days 00:00:00.454125,,0.08363463158011288,,0.49708721427035574,IForest,,70.0,,,COMPLETE
42,0.2911630827185685,2026-04-18 17:56:22.558723,2026-04-18 17:56:23.017863,0 days 00:00:00.459140,,0.1348443679422247,,0.6193997412626929,IForest,,71.0,,,COMPLETE
43,0.29411764705882354,2026-04-18 17:56:23.018066,2026-04-18 17:56:23.675545,0 days 00:00:00.657479,,0.06538499392542682,,0.3900265837441663,IForest,,105.0,,,COMPLETE
44,0.26953886122537346,2026-04-18 17:56:23.675754,2026-04-18 17:56:24.207567,0 days 00:00:00.531813,,0.04150746063154473,,0.6097578782029958,IForest,,82.0,,,COMPLETE
45,0.1437908496732026,2026-04-18 17:56:24.207781,2026-04-18 17:56:24.244817,0 days 00:00:00.037036,0.2195979190388765,0.08511698927950166,,,HBOS,31.0,,,0.08757495956852623,COMPLETE
46,0.2078822000866176,2026-04-18 17:56:24.245008,2026-04-18 17:56:24.341421,0 days 00:00:00.096413,,0.17194177527054885,,,COPOD,,,,,COMPLETE
47,0.29048582995951416,2026-04-18 17:56:24.341608,2026-04-18 17:56:24.789673,0 days 00:00:00.448065,,0.05884603985193071,,0.49454324919738457,IForest,,67.0,,,COMPLETE
48,0.11814859926918392,2026-04-18 17:56:24.789888,2026-04-18 17:56:25.469286,0 days 00:00:00.679398,,0.014469829488223378,,0.3949367962909424,IForest,,107.0,,,COMPLETE
49,0.29234191293295203,2026-04-18 17:56:25.469487,2026-04-18 17:56:25.814600,0 days 00:00:00.345113,,0.1335636412596344,,0.43389928123547794,IForest,,50.0,,,COMPLETE
