number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0020161290322580645,2026-04-18 16:35:50.125215,2026-04-18 16:35:50.207108,0 days 00:00:00.081893,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.2034001214329083,2026-04-18 16:35:50.207286,2026-04-18 16:35:53.284304,0 days 00:00:03.077018,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.2875,2026-04-18 16:35:53.284507,2026-04-18 16:35:53.292862,0 days 00:00:00.008355,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.07236180904522613,2026-04-18 16:35:53.293043,2026-04-18 16:35:53.300887,0 days 00:00:00.007844,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.2518518518518518,2026-04-18 16:35:53.300999,2026-04-18 16:35:53.309346,0 days 00:00:00.008347,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.05279187817258883,2026-04-18 16:35:53.309480,2026-04-18 16:35:56.645536,0 days 00:00:03.336056,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.11591355599214145,2026-04-18 16:35:56.645732,2026-04-18 16:36:00.836165,0 days 00:00:04.190433,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.06262626262626263,2026-04-18 16:36:00.836372,2026-04-18 16:36:02.142436,0 days 00:00:01.306064,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.20411985018726592,2026-04-18 16:36:02.142652,2026-04-18 16:36:02.150840,0 days 00:00:00.008188,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.10286844708209693,2026-04-18 16:36:02.150988,2026-04-18 16:36:21.960209,0 days 00:00:19.809221,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.35958188153310106,2026-04-18 16:36:21.960396,2026-04-18 16:36:23.586417,0 days 00:00:01.626021,,0.026937333020874227,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.3592233009708738,2026-04-18 16:36:23.586612,2026-04-18 16:36:26.015510,0 days 00:00:02.428898,,0.027711073140233456,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.3409238776837996,2026-04-18 16:36:26.015736,2026-04-18 16:36:28.404696,0 days 00:00:02.388960,,0.032890831782478286,0.00011682022185484309,rbf,,,OCSVM,,,,0.02315905533304593,,COMPLETE
13,0.34675767918088735,2026-04-18 16:36:28.404895,2026-04-18 16:36:29.505884,0 days 00:00:01.100989,,0.029202418327655206,0.00010335565115964224,rbf,,,OCSVM,,,,0.011683057028475346,,COMPLETE
14,0.36134453781512604,2026-04-18 16:36:29.506104,2026-04-18 16:36:43.008072,0 days 00:00:13.501968,,0.02655818236708641,0.0014964792495358844,rbf,,,OCSVM,,,,0.12701910051365511,,COMPLETE
15,0.28781512605042014,2026-04-18 16:36:43.008274,2026-04-18 16:36:57.219034,0 days 00:00:14.210760,,0.053071524969853234,0.004922875637002569,rbf,,,OCSVM,,,,0.1331225709703189,,COMPLETE
16,0.00530035335689046,2026-04-18 16:36:57.219232,2026-04-18 16:36:57.414653,0 days 00:00:00.195421,,0.015050603664166771,,,80.0,,LOF,,,70.0,,,COMPLETE
17,0.2860114404576183,2026-04-18 16:36:57.414849,2026-04-18 16:37:13.132834,0 days 00:00:15.717985,,0.0544170989806093,0.0022852920750990728,rbf,,,OCSVM,,,,0.1470446760648235,,COMPLETE
18,0.20576773187840997,2026-04-18 16:37:13.133047,2026-04-18 16:37:18.862882,0 days 00:00:05.729835,,0.01683609949628279,0.001503025683347022,sigmoid,,,OCSVM,,,,0.1293068469932787,,COMPLETE
19,0.18885741265344666,2026-04-18 16:37:18.863087,2026-04-18 16:38:00.872115,0 days 00:00:42.009028,,0.005539396967645402,0.0009001825144871199,rbf,,,OCSVM,,,,0.3880152422990001,,COMPLETE
20,0.1461794019933555,2026-04-18 16:38:00.872314,2026-04-18 16:38:01.091592,0 days 00:00:00.219278,,0.0655979370905296,,,57.0,,LOF,,,79.0,,,COMPLETE
21,0.36673773987206826,2026-04-18 16:38:01.091782,2026-04-18 16:38:07.986518,0 days 00:00:06.894736,,0.025149524698914315,0.00025176883409145756,rbf,,,OCSVM,,,,0.06430566465135198,,COMPLETE
22,0.3855421686746988,2026-04-18 16:38:07.986732,2026-04-18 16:38:17.570834,0 days 00:00:09.584102,,0.020717329397275292,0.0005657378975233382,rbf,,,OCSVM,,,,0.08923822193100525,,COMPLETE
