number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.057692307692307696,2026-04-28 10:41:40.098426,2026-04-28 10:41:40.122945,0 days 00:00:00.024519,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.03816793893129771,2026-04-28 10:41:40.123169,2026-04-28 10:41:40.131892,0 days 00:00:00.008723,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.03676470588235294,2026-04-28 10:41:40.132075,2026-04-28 10:41:40.140403,0 days 00:00:00.008328,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.08580343213728549,2026-04-28 10:41:40.140584,2026-04-28 10:41:40.358426,0 days 00:00:00.217842,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.059574468085106386,2026-04-28 10:41:40.358649,2026-04-28 10:41:40.363837,0 days 00:00:00.005188,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:41:40.363983,2026-04-28 10:41:40.439372,0 days 00:00:00.075389,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.0703125,2026-04-28 10:41:40.439582,2026-04-28 10:41:40.860152,0 days 00:00:00.420570,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.02074688796680498,2026-04-28 10:41:40.860352,2026-04-28 10:41:40.865192,0 days 00:00:00.004840,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.1059322033898305,2026-04-28 10:41:40.865332,2026-04-28 10:41:41.038082,0 days 00:00:00.172750,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.028462998102466792,2026-04-28 10:41:41.038311,2026-04-28 10:41:41.046974,0 days 00:00:00.008663,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.03225806451612903,2026-04-28 10:41:41.047141,2026-04-28 10:41:41.057443,0 days 00:00:00.010302,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.09259259259259259,2026-04-28 10:41:41.057704,2026-04-28 10:41:41.204494,0 days 00:00:00.146790,,0.045706913124722665,,0.38737137356600115,IForest,,52.0,,,COMPLETE
12,0.07709251101321586,2026-04-28 10:41:41.204679,2026-04-28 10:41:41.356772,0 days 00:00:00.152093,,0.032516499628067505,,0.3048866156321792,IForest,,55.0,,,COMPLETE
13,0.05509641873278237,2026-04-28 10:41:41.357048,2026-04-28 10:41:41.509959,0 days 00:00:00.152911,,0.019283335565628137,,0.3367783432974779,IForest,,53.0,,,COMPLETE
14,0.0958904109589041,2026-04-28 10:41:41.510180,2026-04-28 10:41:41.782583,0 days 00:00:00.272403,,0.07501968401894317,,0.9820918581428091,IForest,,104.0,,,COMPLETE
15,0.039735099337748346,2026-04-28 10:41:41.782809,2026-04-28 10:41:41.793037,0 days 00:00:00.010228,,0.08570569038981858,,,ECOD,,,,,COMPLETE
16,0.06172839506172839,2026-04-28 10:41:41.793221,2026-04-28 10:41:42.118874,0 days 00:00:00.325653,,0.013052822985835244,,0.9659145923049604,IForest,,119.0,,,COMPLETE
17,0.07369614512471655,2026-04-28 10:41:42.119067,2026-04-28 10:41:42.414138,0 days 00:00:00.295071,,0.10282727066678528,,0.7983844615493881,IForest,,109.0,,,COMPLETE
18,0.09138381201044386,2026-04-28 10:41:42.414385,2026-04-28 10:41:42.831366,0 days 00:00:00.416981,,0.021680430375876376,,0.8323975925688131,IForest,,160.0,,,COMPLETE
19,0.0,2026-04-28 10:41:42.831570,2026-04-28 10:41:42.876531,0 days 00:00:00.044961,,0.007034292914269245,14.0,,LOF,,,44.0,,COMPLETE
20,0.0353356890459364,2026-04-28 10:41:42.876733,2026-04-28 10:41:42.886535,0 days 00:00:00.009802,,0.10107418917763282,,,ECOD,,,,,COMPLETE
21,0.09671179883945841,2026-04-28 10:41:42.886713,2026-04-28 10:41:43.108553,0 days 00:00:00.221840,,0.042040515594944636,,0.5025697676127296,IForest,,84.0,,,COMPLETE
22,0.09278350515463918,2026-04-28 10:41:43.108716,2026-04-28 10:41:43.352733,0 days 00:00:00.244017,,0.03612615616193299,,0.49195951732993354,IForest,,92.0,,,COMPLETE
23,0.08274231678486997,2026-04-28 10:41:43.352965,2026-04-28 10:41:43.586240,0 days 00:00:00.233275,,0.02590066861947194,,0.5460651606932482,IForest,,81.0,,,COMPLETE
24,0.08396946564885496,2026-04-28 10:41:43.586450,2026-04-28 10:41:43.849829,0 days 00:00:00.263379,,0.06371978336573851,,0.8670150774417622,IForest,,96.0,,,COMPLETE
