number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.20754716981132076,2026-04-28 11:12:32.779771,2026-04-28 11:12:32.803566,0 days 00:00:00.023795,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:12:32.803761,2026-04-28 11:12:32.813492,0 days 00:00:00.009731,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.01773049645390071,2026-04-28 11:12:32.813675,2026-04-28 11:12:32.822985,0 days 00:00:00.009310,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.03241491085899514,2026-04-28 11:12:32.823172,2026-04-28 11:12:33.062112,0 days 00:00:00.238940,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.043029259896729774,2026-04-28 11:12:33.062310,2026-04-28 11:12:33.067678,0 days 00:00:00.005368,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:12:33.067847,2026-04-28 11:12:33.141811,0 days 00:00:00.073964,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.06033182503770739,2026-04-28 11:12:33.141999,2026-04-28 11:12:33.601908,0 days 00:00:00.459909,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:12:33.602147,2026-04-28 11:12:33.606993,0 days 00:00:00.004846,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.045317220543806644,2026-04-28 11:12:33.607122,2026-04-28 11:12:33.785558,0 days 00:00:00.178436,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0364963503649635,2026-04-28 11:12:33.785743,2026-04-28 11:12:33.794634,0 days 00:00:00.008891,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.3639240506329114,2026-04-28 11:12:33.794810,2026-04-28 11:12:33.819992,0 days 00:00:00.025182,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.3627760252365931,2026-04-28 11:12:33.820204,2026-04-28 11:12:33.846648,0 days 00:00:00.026444,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.015479876160990712,2026-04-28 11:12:33.846842,2026-04-28 11:12:33.857009,0 days 00:00:00.010167,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.3627760252365931,2026-04-28 11:12:33.857191,2026-04-28 11:12:33.882702,0 days 00:00:00.025511,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.0,2026-04-28 11:12:33.882893,2026-04-28 11:12:33.921845,0 days 00:00:00.038952,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.0,2026-04-28 11:12:33.922051,2026-04-28 11:12:33.975099,0 days 00:00:00.053048,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.023923444976076555,2026-04-28 11:12:33.975306,2026-04-28 11:12:33.986072,0 days 00:00:00.010766,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.05482456140350877,2026-04-28 11:12:33.986238,2026-04-28 11:12:34.021674,0 days 00:00:00.035436,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.3645833333333333,2026-04-28 11:12:34.021916,2026-04-28 11:12:34.044480,0 days 00:00:00.022564,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.0,2026-04-28 11:12:34.044669,2026-04-28 11:12:34.082827,0 days 00:00:00.038158,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 11:12:34.083017,2026-04-28 11:12:34.093415,0 days 00:00:00.010398,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.359375,2026-04-28 11:12:34.093536,2026-04-28 11:12:34.118225,0 days 00:00:00.024689,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.11589403973509933,2026-04-28 11:12:34.118431,2026-04-28 11:12:34.150536,0 days 00:00:00.032105,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.04155124653739612,2026-04-28 11:12:34.150746,2026-04-28 11:12:34.230416,0 days 00:00:00.079670,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.05415162454873646,2026-04-28 11:12:34.230632,2026-04-28 11:12:34.261124,0 days 00:00:00.030492,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
