number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.09727626459143969,2026-04-28 10:44:29.312438,2026-04-28 10:44:29.531552,0 days 00:00:00.219114,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:44:29.531769,2026-04-28 10:44:29.566498,0 days 00:00:00.034729,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:44:29.566686,2026-04-28 10:44:29.602904,0 days 00:00:00.036218,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.20642201834862386,2026-04-28 10:44:29.603126,2026-04-28 10:44:29.829715,0 days 00:00:00.226589,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.06276150627615062,2026-04-28 10:44:29.829935,2026-04-28 10:44:29.842746,0 days 00:00:00.012811,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.05976095617529881,2026-04-28 10:44:29.842890,2026-04-28 10:44:30.433488,0 days 00:00:00.590598,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.1297709923664122,2026-04-28 10:44:30.433708,2026-04-28 10:44:30.872014,0 days 00:00:00.438306,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.01953125,2026-04-28 10:44:30.872258,2026-04-28 10:44:30.886318,0 days 00:00:00.014060,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.2098408104196816,2026-04-28 10:44:30.886517,2026-04-28 10:44:31.057144,0 days 00:00:00.170627,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0807899461400359,2026-04-28 10:44:31.057376,2026-04-28 10:44:31.092039,0 days 00:00:00.034663,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.04792332268370607,2026-04-28 10:44:31.092269,2026-04-28 10:44:31.127981,0 days 00:00:00.035712,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.2140077821011673,2026-04-28 10:44:31.128186,2026-04-28 10:44:31.278004,0 days 00:00:00.149818,,0.045706913124722665,,0.38737137356600115,IForest,,52.0,,,COMPLETE
12,0.24249422632794457,2026-04-28 10:44:31.278231,2026-04-28 10:44:31.440712,0 days 00:00:00.162481,,0.032516499628067505,,0.3048866156321792,IForest,,55.0,,,COMPLETE
13,0.2540106951871658,2026-04-28 10:44:31.440925,2026-04-28 10:44:31.588062,0 days 00:00:00.147137,,0.020613099024185743,,0.3195051757208753,IForest,,51.0,,,COMPLETE
14,0.2180232558139535,2026-04-28 10:44:31.588301,2026-04-28 10:44:31.879902,0 days 00:00:00.291601,,0.016812729952533436,,0.30547206461224935,IForest,,114.0,,,COMPLETE
15,0.045454545454545456,2026-04-28 10:44:31.880132,2026-04-28 10:44:31.915936,0 days 00:00:00.035804,,0.015570400469121696,,,ECOD,,,,,COMPLETE
16,0.1601423487544484,2026-04-28 10:44:31.916148,2026-04-28 10:44:32.166314,0 days 00:00:00.250166,,0.006243838727697033,,0.49213948129773666,IForest,,98.0,,,COMPLETE
17,0.2576112412177986,2026-04-28 10:44:32.166532,2026-04-28 10:44:32.586937,0 days 00:00:00.420405,,0.03170847413750391,,0.5399595017864214,IForest,,166.0,,,COMPLETE
18,0.2853598014888337,2026-04-28 10:44:32.587143,2026-04-28 10:44:33.027256,0 days 00:00:00.440113,,0.02406413374294681,,0.5918472258292504,IForest,,160.0,,,COMPLETE
19,0.4067796610169492,2026-04-28 10:44:33.027472,2026-04-28 10:44:33.415167,0 days 00:00:00.387695,,0.008708714741808517,14.0,,LOF,,,44.0,,COMPLETE
20,0.39473684210526316,2026-04-28 10:44:33.415365,2026-04-28 10:44:33.863225,0 days 00:00:00.447860,,0.010116460924627965,10.0,,LOF,,,49.0,,COMPLETE
21,0.410958904109589,2026-04-28 10:44:33.863434,2026-04-28 10:44:34.262669,0 days 00:00:00.399235,,0.00783685499406736,14.0,,LOF,,,46.0,,COMPLETE
22,0.40955631399317405,2026-04-28 10:44:34.262892,2026-04-28 10:44:34.724114,0 days 00:00:00.461222,,0.008056851094887515,10.0,,LOF,,,47.0,,COMPLETE
23,0.3951890034364261,2026-04-28 10:44:34.724328,2026-04-28 10:44:35.158122,0 days 00:00:00.433794,,0.007461455736660157,12.0,,LOF,,,46.0,,COMPLETE
24,0.4227941176470588,2026-04-28 10:44:35.158331,2026-04-28 10:44:35.573712,0 days 00:00:00.415381,,0.003981320474117568,10.0,,LOF,,,42.0,,COMPLETE
