number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.1346153846153846,2026-04-28 10:46:38.272266,2026-04-28 10:46:38.296864,0 days 00:00:00.024598,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:46:38.297060,2026-04-28 10:46:38.305804,0 days 00:00:00.008744,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:46:38.305973,2026-04-28 10:46:38.314368,0 days 00:00:00.008395,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.04950495049504951,2026-04-28 10:46:38.314542,2026-04-28 10:46:38.544517,0 days 00:00:00.229975,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.037037037037037035,2026-04-28 10:46:38.544731,2026-04-28 10:46:38.550632,0 days 00:00:00.005901,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:46:38.550902,2026-04-28 10:46:38.627191,0 days 00:00:00.076289,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.0456968773800457,2026-04-28 10:46:38.627390,2026-04-28 10:46:39.087278,0 days 00:00:00.459888,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:46:39.087495,2026-04-28 10:46:39.093161,0 days 00:00:00.005666,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.0554675118858954,2026-04-28 10:46:39.093417,2026-04-28 10:46:39.266173,0 days 00:00:00.172756,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.03898635477582846,2026-04-28 10:46:39.266388,2026-04-28 10:46:39.275544,0 days 00:00:00.009156,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.4529616724738676,2026-04-28 10:46:39.275751,2026-04-28 10:46:39.302061,0 days 00:00:00.026310,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.45936395759717313,2026-04-28 10:46:39.302247,2026-04-28 10:46:39.329608,0 days 00:00:00.027361,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.06172839506172839,2026-04-28 10:46:39.329816,2026-04-28 10:46:39.340250,0 days 00:00:00.010434,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.45936395759717313,2026-04-28 10:46:39.340433,2026-04-28 10:46:39.368252,0 days 00:00:00.027819,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.21348314606741572,2026-04-28 10:46:39.368480,2026-04-28 10:46:39.411929,0 days 00:00:00.043449,,0.026641960893341532,80.0,,LOF,,,35.0,,COMPLETE
15,0.22336769759450173,2026-04-28 10:46:39.412121,2026-04-28 10:46:39.451964,0 days 00:00:00.039843,,0.00614072248611863,53.0,,LOF,,,35.0,,COMPLETE
16,0.05361930294906166,2026-04-28 10:46:39.452182,2026-04-28 10:46:39.463308,0 days 00:00:00.011126,,0.023350809989676466,,,ECOD,,,,,COMPLETE
17,0.4529616724738676,2026-04-28 10:46:39.463521,2026-04-28 10:46:39.490533,0 days 00:00:00.027012,,0.00891276795886596,56.0,,LOF,,,5.0,,COMPLETE
18,0.22922636103151864,2026-04-28 10:46:39.490756,2026-04-28 10:46:39.531033,0 days 00:00:00.040277,,0.022991636299556074,17.0,,LOF,,,35.0,,COMPLETE
19,0.08333333333333333,2026-04-28 10:46:39.531269,2026-04-28 10:46:39.599196,0 days 00:00:00.067927,,0.033613837138551164,64.0,,LOF,,,71.0,,COMPLETE
20,0.035211267605633804,2026-04-28 10:46:39.599407,2026-04-28 10:46:39.609912,0 days 00:00:00.010505,,0.005937908750159468,,,ECOD,,,,,COMPLETE
21,0.423728813559322,2026-04-28 10:46:39.610066,2026-04-28 10:46:39.639465,0 days 00:00:00.029399,,0.01580608352107629,80.0,,LOF,,,8.0,,COMPLETE
22,0.3312302839116719,2026-04-28 10:46:39.639633,2026-04-28 10:46:39.676791,0 days 00:00:00.037158,,0.014087932011268596,70.0,,LOF,,,24.0,,COMPLETE
23,0.2786885245901639,2026-04-28 10:46:39.677034,2026-04-28 10:46:39.710826,0 days 00:00:00.033792,,0.00892841599741973,79.0,,LOF,,,21.0,,COMPLETE
24,0.14814814814814814,2026-04-28 10:46:39.711054,2026-04-28 10:46:39.768588,0 days 00:00:00.057534,,0.018628082440310566,65.0,,LOF,,,56.0,,COMPLETE
