number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.06,2026-04-28 10:41:44.059089,2026-04-28 10:41:44.257703,0 days 00:00:00.198614,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:41:44.257890,2026-04-28 10:41:44.292009,0 days 00:00:00.034119,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:41:44.292191,2026-04-28 10:41:44.325819,0 days 00:00:00.033628,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.20933977455716588,2026-04-28 10:41:44.326010,2026-04-28 10:41:44.546201,0 days 00:00:00.220191,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.061946902654867256,2026-04-28 10:41:44.546421,2026-04-28 10:41:44.560311,0 days 00:00:00.013890,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.18072289156626506,2026-04-28 10:41:44.560511,2026-04-28 10:41:45.120053,0 days 00:00:00.559542,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.11904761904761904,2026-04-28 10:41:45.120276,2026-04-28 10:41:45.539443,0 days 00:00:00.419167,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.020161290322580645,2026-04-28 10:41:45.539647,2026-04-28 10:41:45.552806,0 days 00:00:00.013159,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.18768768768768768,2026-04-28 10:41:45.553014,2026-04-28 10:41:45.715810,0 days 00:00:00.162796,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.07366482504604052,2026-04-28 10:41:45.716009,2026-04-28 10:41:45.749667,0 days 00:00:00.033658,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.05952380952380952,2026-04-28 10:41:45.749858,2026-04-28 10:41:45.785322,0 days 00:00:00.035464,,0.018054373833527988,,,ECOD,,,,,COMPLETE
11,0.199203187250996,2026-04-28 10:41:45.785522,2026-04-28 10:41:45.926842,0 days 00:00:00.141320,,0.045706913124722665,,0.38737137356600115,IForest,,52.0,,,COMPLETE
12,0.13227513227513227,2026-04-28 10:41:45.927035,2026-04-28 10:41:46.077601,0 days 00:00:00.150566,,0.026097789726971476,,0.31843113004974644,IForest,,55.0,,,COMPLETE
13,0.15734265734265734,2026-04-28 10:41:46.077798,2026-04-28 10:41:46.323216,0 days 00:00:00.245418,,0.008650418146155298,,0.5444093722729996,IForest,,94.0,,,COMPLETE
14,0.22007042253521128,2026-04-28 10:41:46.323444,2026-04-28 10:41:46.600120,0 days 00:00:00.276676,,0.05592356333919608,,0.6432259777426819,IForest,,104.0,,,COMPLETE
15,0.08795669824086604,2026-04-28 10:41:46.600364,2026-04-28 10:41:46.636115,0 days 00:00:00.035751,,0.0878902511859559,,,ECOD,,,,,COMPLETE
16,0.21963824289405684,2026-04-28 10:41:46.636308,2026-04-28 10:41:46.955287,0 days 00:00:00.318979,,0.026106347932704194,,0.6862235680993495,IForest,,120.0,,,COMPLETE
17,0.17064846416382254,2026-04-28 10:41:46.955511,2026-04-28 10:41:47.281158,0 days 00:00:00.325647,,0.009428267024836809,,0.7446454649860134,IForest,,128.0,,,COMPLETE
18,0.21052631578947367,2026-04-28 10:41:47.281368,2026-04-28 10:41:47.623345,0 days 00:00:00.341977,,0.02356154248355106,,0.7749362810368468,IForest,,135.0,,,COMPLETE
19,0.30269058295964124,2026-04-28 10:41:47.623574,2026-04-28 10:41:47.992833,0 days 00:00:00.369259,,0.033613837138551164,14.0,,LOF,,,44.0,,COMPLETE
20,0.40540540540540543,2026-04-28 10:41:47.993046,2026-04-28 10:41:48.444877,0 days 00:00:00.451831,,0.010399366085725038,10.0,,LOF,,,49.0,,COMPLETE
21,0.3885135135135135,2026-04-28 10:41:48.445119,2026-04-28 10:41:48.826231,0 days 00:00:00.381112,,0.010568977113117575,14.0,,LOF,,,46.0,,COMPLETE
22,0.3938356164383562,2026-04-28 10:41:48.826442,2026-04-28 10:41:49.265263,0 days 00:00:00.438821,,0.008741493640352472,10.0,,LOF,,,47.0,,COMPLETE
23,0.410958904109589,2026-04-28 10:41:49.265455,2026-04-28 10:41:49.719485,0 days 00:00:00.454030,,0.008928478306350365,12.0,,LOF,,,49.0,,COMPLETE
24,0.40636042402826855,2026-04-28 10:41:49.719746,2026-04-28 10:41:50.201930,0 days 00:00:00.482184,,0.00556211074998874,10.0,,LOF,,,56.0,,COMPLETE
