number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0970873786407767,2026-04-28 11:37:48.299794,2026-04-28 11:37:48.778662,0 days 00:00:00.478868,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:37:48.778831,2026-04-28 11:37:48.784878,0 days 00:00:00.006047,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:37:48.784993,2026-04-28 11:37:48.792336,0 days 00:00:00.007343,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.020491803278688523,2026-04-28 11:37:48.792525,2026-04-28 11:37:48.896104,0 days 00:00:00.103579,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.0,2026-04-28 11:37:48.896302,2026-04-28 11:37:48.900466,0 days 00:00:00.004164,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:37:48.900600,2026-04-28 11:37:49.463029,0 days 00:00:00.562429,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.009208103130755065,2026-04-28 11:37:49.463240,2026-04-28 11:37:49.645357,0 days 00:00:00.182117,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:37:49.645557,2026-04-28 11:37:49.649681,0 days 00:00:00.004124,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.020491803278688523,2026-04-28 11:37:49.649825,2026-04-28 11:37:49.722498,0 days 00:00:00.072673,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 11:37:49.722716,2026-04-28 11:37:49.728761,0 days 00:00:00.006045,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.09259259259259259,2026-04-28 11:37:49.728875,2026-04-28 11:37:50.216814,0 days 00:00:00.487939,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.09009009009009009,2026-04-28 11:37:50.217003,2026-04-28 11:37:50.704358,0 days 00:00:00.487355,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:37:50.704527,2026-04-28 11:37:50.711825,0 days 00:00:00.007298,,0.013941744423372761,,,ECOD,,,,,COMPLETE
13,0.08849557522123894,2026-04-28 11:37:50.711954,2026-04-28 11:37:51.205758,0 days 00:00:00.493804,,0.005243660894310309,75.0,,LOF,,,7.0,,COMPLETE
14,0.05714285714285714,2026-04-28 11:37:51.205935,2026-04-28 11:37:51.703660,0 days 00:00:00.497725,,0.026641960893341532,58.0,,LOF,,,32.0,,COMPLETE
15,0.0,2026-04-28 11:37:51.703848,2026-04-28 11:37:52.204385,0 days 00:00:00.500537,,0.0025004788483889567,58.0,,LOF,,,37.0,,COMPLETE
16,0.0,2026-04-28 11:37:52.204575,2026-04-28 11:37:52.212141,0 days 00:00:00.007566,,0.008168969054228564,,,ECOD,,,,,COMPLETE
17,0.09259259259259259,2026-04-28 11:37:52.212289,2026-04-28 11:37:52.698913,0 days 00:00:00.486624,,0.022811885094711503,80.0,,LOF,,,5.0,,COMPLETE
18,0.10638297872340426,2026-04-28 11:37:52.699098,2026-04-28 11:37:53.225389,0 days 00:00:00.526291,,0.0022827753852065584,58.0,,LOF,,,75.0,,COMPLETE
19,0.0,2026-04-28 11:37:53.225579,2026-04-28 11:37:53.782198,0 days 00:00:00.556619,,0.001896882282053003,54.0,,LOF,,,81.0,,COMPLETE
20,0.0,2026-04-28 11:37:53.782383,2026-04-28 11:37:53.789763,0 days 00:00:00.007380,,0.004991591545040636,,,ECOD,,,,,COMPLETE
21,0.10638297872340426,2026-04-28 11:37:53.789937,2026-04-28 11:37:54.309677,0 days 00:00:00.519740,,0.0010147408929007662,66.0,,LOF,,,67.0,,COMPLETE
22,0.10638297872340426,2026-04-28 11:37:54.309859,2026-04-28 11:37:54.829422,0 days 00:00:00.519563,,0.001913430668194393,63.0,,LOF,,,68.0,,COMPLETE
23,0.10638297872340426,2026-04-28 11:37:54.829621,2026-04-28 11:37:55.395447,0 days 00:00:00.565826,,0.001010344263381846,47.0,,LOF,,,69.0,,COMPLETE
24,0.1,2026-04-28 11:37:55.395649,2026-04-28 11:37:55.921326,0 days 00:00:00.525677,,0.0014792371146274195,63.0,,LOF,,,59.0,,COMPLETE
