number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:10:22.970978,2026-04-18 17:10:22.979237,0 days 00:00:00.008259,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.08651399491094147,2026-04-18 17:10:22.979353,2026-04-18 17:10:23.441450,0 days 00:00:00.462097,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.0,2026-04-18 17:10:23.441629,2026-04-18 17:10:23.444503,0 days 00:00:00.002874,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0,2026-04-18 17:10:23.444614,2026-04-18 17:10:23.447313,0 days 00:00:00.002699,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.10951008645533142,2026-04-18 17:10:23.447420,2026-04-18 17:10:23.450099,0 days 00:00:00.002679,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0,2026-04-18 17:10:23.450210,2026-04-18 17:10:23.949922,0 days 00:00:00.499712,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.0,2026-04-18 17:10:23.950088,2026-04-18 17:10:24.520126,0 days 00:00:00.570038,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:10:24.520301,2026-04-18 17:10:24.717661,0 days 00:00:00.197360,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.0,2026-04-18 17:10:24.717809,2026-04-18 17:10:24.720664,0 days 00:00:00.002855,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.0,2026-04-18 17:10:24.720784,2026-04-18 17:10:24.902748,0 days 00:00:00.181964,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.08934707903780069,2026-04-18 17:10:24.902908,2026-04-18 17:10:24.924544,0 days 00:00:00.021636,,0.10709305396188736,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.08982035928143713,2026-04-18 17:10:24.924665,2026-04-18 17:10:24.951772,0 days 00:00:00.027107,,0.13412932717826181,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.08791208791208792,2026-04-18 17:10:24.951886,2026-04-18 17:10:24.985068,0 days 00:00:00.033182,,0.0423056096675609,0.00013299972137426806,rbf,,,OCSVM,,,,0.030206900966364095,,COMPLETE
13,0.013157894736842105,2026-04-18 17:10:24.985202,2026-04-18 17:10:25.009752,0 days 00:00:00.024550,,0.03171498570317026,,,74.0,,LOF,,,80.0,,,COMPLETE
14,0.0784313725490196,2026-04-18 17:10:25.009956,2026-04-18 17:10:25.017482,0 days 00:00:00.007526,0.07463175855752485,0.05276057205431371,,,,,HBOS,40.0,,,,0.7974566319170611,COMPLETE
