number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.04970178926441352,2026-04-18 16:42:44.559887,2026-04-18 16:42:45.349220,0 days 00:00:00.789333,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.2221560452650387,2026-04-18 16:42:45.349409,2026-04-18 16:42:48.333027,0 days 00:00:02.983618,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.05962059620596206,2026-04-18 16:42:48.333236,2026-04-18 16:42:48.362180,0 days 00:00:00.028944,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.031777557100297914,2026-04-18 16:42:48.362325,2026-04-18 16:42:48.391717,0 days 00:00:00.029392,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.13683223992502344,2026-04-18 16:42:48.391848,2026-04-18 16:42:48.422300,0 days 00:00:00.030452,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.02044989775051125,2026-04-18 16:42:48.422416,2026-04-18 16:42:51.658621,0 days 00:00:03.236205,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.033932135728542916,2026-04-18 16:42:51.658826,2026-04-18 16:42:55.968751,0 days 00:00:04.309925,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.028397565922920892,2026-04-18 16:42:55.968908,2026-04-18 16:42:57.325744,0 days 00:00:01.356836,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.043151969981238276,2026-04-18 16:42:57.325974,2026-04-18 16:42:57.357746,0 days 00:00:00.031772,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.021890547263681594,2026-04-18 16:42:57.357977,2026-04-18 16:43:23.394981,0 days 00:00:26.037004,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.2262228260869565,2026-04-18 16:43:23.395213,2026-04-18 16:43:25.268974,0 days 00:00:01.873761,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.21551213735938426,2026-04-18 16:43:25.269238,2026-04-18 16:43:27.946381,0 days 00:00:02.677143,,0.13412923922791903,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.30056497175141245,2026-04-18 16:43:27.946616,2026-04-18 16:43:31.580136,0 days 00:00:03.633520,,0.0423056096675609,0.00013294479860745514,rbf,,,OCSVM,,,,0.03024872991916231,,COMPLETE
13,0.2992874109263658,2026-04-18 16:43:31.580321,2026-04-18 16:43:32.858418,0 days 00:00:01.278097,,0.03941807350988234,0.00010623276683570496,rbf,,,OCSVM,,,,0.011683057028475346,,COMPLETE
14,0.30871670702179177,2026-04-18 16:43:32.858599,2026-04-18 16:43:46.939466,0 days 00:00:14.080867,,0.03682396392843384,0.0014554642970191984,rbf,,,OCSVM,,,,0.11704913958016758,,COMPLETE
15,0.31599736668861095,2026-04-18 16:43:46.939647,2026-04-18 16:44:01.765734,0 days 00:00:14.826087,,0.029949062807551236,0.004596562851279348,rbf,,,OCSVM,,,,0.1219347882138329,,COMPLETE
16,0.12807881773399016,2026-04-18 16:44:01.765943,2026-04-18 16:44:03.425007,0 days 00:00:01.659064,,0.02474043870371224,,,80.0,,LOF,,,70.0,,,COMPLETE
17,0.3014105419450631,2026-04-18 16:44:03.425199,2026-04-18 16:44:22.895973,0 days 00:00:19.470774,,0.021648519510136854,0.007054382978969147,rbf,,,OCSVM,,,,0.16118120180377316,,COMPLETE
18,0.1662567634038367,2026-04-18 16:44:22.896155,2026-04-18 16:44:33.051141,0 days 00:00:10.154986,,0.057646039523481865,0.003980364072244553,sigmoid,,,OCSVM,,,,0.1469601594705083,,COMPLETE
19,0.27228525121555913,2026-04-18 16:44:33.051334,2026-04-18 16:44:48.524657,0 days 00:00:15.473323,,0.015494361031943994,0.0013668902687555137,rbf,,,OCSVM,,,,0.1276816928175213,,COMPLETE
20,0.14540588760035683,2026-04-18 16:44:48.524888,2026-04-18 16:44:50.316423,0 days 00:00:01.791535,,0.07013172174348135,,,57.0,,LOF,,,79.0,,,COMPLETE
21,0.33525179856115106,2026-04-18 16:44:50.316619,2026-04-18 16:45:08.582272,0 days 00:00:18.265653,,0.023879988643538706,0.031914768556465585,rbf,,,OCSVM,,,,0.15274737501284463,,COMPLETE
22,0.3364485981308411,2026-04-18 16:45:08.582475,2026-04-18 16:45:36.518895,0 days 00:00:27.936420,,0.024043180140971246,0.06607009939213024,rbf,,,OCSVM,,,,0.23903225721416158,,COMPLETE
23,0.19538188277087035,2026-04-18 16:45:36.519187,2026-04-18 16:46:05.587605,0 days 00:00:29.068418,,0.010631593017367855,0.0670167268154699,rbf,,,OCSVM,,,,0.24751662546343667,,COMPLETE
24,0.36674090571640683,2026-04-18 16:46:05.587845,2026-04-18 16:46:48.965818,0 days 00:00:43.377973,,0.02104356003018906,0.9337568517385271,rbf,,,OCSVM,,,,0.3920307962711238,,COMPLETE
25,0.12440191387559808,2026-04-18 16:46:48.966016,2026-04-18 16:47:23.799366,0 days 00:00:34.833350,,0.01622379067998678,0.7852178442226905,sigmoid,,,OCSVM,,,,0.3547955973480915,,COMPLETE
26,0.16758747697974216,2026-04-18 16:47:23.799606,2026-04-18 16:48:07.162423,0 days 00:00:43.362817,,0.0063758119650060875,0.9151000631519671,rbf,,,OCSVM,,,,0.39501434014745407,,COMPLETE
27,0.3046153846153846,2026-04-18 16:48:07.162618,2026-04-18 16:48:32.238807,0 days 00:00:25.076189,,0.01928234485233607,0.07688420719359192,rbf,,,OCSVM,,,,0.21693279191754997,,COMPLETE
28,0.08015267175572519,2026-04-18 16:48:32.238992,2026-04-18 16:48:32.908723,0 days 00:00:00.669731,,0.0051222371710286955,,,20.0,,LOF,,,14.0,,,COMPLETE
29,0.11505922165820642,2026-04-18 16:48:32.908915,2026-04-18 16:48:34.195407,0 days 00:00:01.286492,,0.012263403895737204,,,46.0,,LOF,,,46.0,,,COMPLETE
