number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.055762081784386616,2026-04-28 11:11:49.274241,2026-04-28 11:11:49.756910,0 days 00:00:00.482669,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:11:49.757083,2026-04-28 11:11:49.763191,0 days 00:00:00.006108,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:11:49.763311,2026-04-28 11:11:49.769366,0 days 00:00:00.006055,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.041050903119868636,2026-04-28 11:11:49.769519,2026-04-28 11:11:49.862157,0 days 00:00:00.092638,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.018137847642079808,2026-04-28 11:11:49.862327,2026-04-28 11:11:49.866622,0 days 00:00:00.004295,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.03875968992248062,2026-04-28 11:11:49.866750,2026-04-28 11:11:50.430455,0 days 00:00:00.563705,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.033112582781456956,2026-04-28 11:11:50.430650,2026-04-28 11:11:50.617434,0 days 00:00:00.186784,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:11:50.617611,2026-04-28 11:11:50.621736,0 days 00:00:00.004125,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.041050903119868636,2026-04-28 11:11:50.621864,2026-04-28 11:11:50.706371,0 days 00:00:00.084507,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.027522935779816515,2026-04-28 11:11:50.706568,2026-04-28 11:11:50.713113,0 days 00:00:00.006545,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.05474452554744526,2026-04-28 11:11:50.713349,2026-04-28 11:11:51.206502,0 days 00:00:00.493153,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.05190311418685121,2026-04-28 11:11:51.206685,2026-04-28 11:11:51.698685,0 days 00:00:00.492000,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.014970059880239521,2026-04-28 11:11:51.698869,2026-04-28 11:11:51.706679,0 days 00:00:00.007810,,0.013941744423372761,,,ECOD,,,,,COMPLETE
13,0.05154639175257732,2026-04-28 11:11:51.706847,2026-04-28 11:11:52.199302,0 days 00:00:00.492455,,0.005243660894310309,75.0,,LOF,,,7.0,,COMPLETE
14,0.047619047619047616,2026-04-28 11:11:52.199492,2026-04-28 11:11:52.702019,0 days 00:00:00.502527,,0.026641960893341532,58.0,,LOF,,,32.0,,COMPLETE
15,0.03787878787878788,2026-04-28 11:11:52.702231,2026-04-28 11:11:53.206690,0 days 00:00:00.504459,,0.0025004788483889567,58.0,,LOF,,,37.0,,COMPLETE
16,0.01639344262295082,2026-04-28 11:11:53.206898,2026-04-28 11:11:53.214526,0 days 00:00:00.007628,,0.008168969054228564,,,ECOD,,,,,COMPLETE
17,0.05474452554744526,2026-04-28 11:11:53.214745,2026-04-28 11:11:53.707354,0 days 00:00:00.492609,,0.022811885094711503,80.0,,LOF,,,5.0,,COMPLETE
18,0.038461538461538464,2026-04-28 11:11:53.707541,2026-04-28 11:11:54.235168,0 days 00:00:00.527627,,0.0022827753852065584,58.0,,LOF,,,75.0,,COMPLETE
19,0.05084745762711865,2026-04-28 11:11:54.235356,2026-04-28 11:11:54.815609,0 days 00:00:00.580253,,0.007682893001375354,17.0,,LOF,,,31.0,,COMPLETE
20,0.02544529262086514,2026-04-28 11:11:54.815794,2026-04-28 11:11:54.823471,0 days 00:00:00.007677,,0.023715381073492203,,,ECOD,,,,,COMPLETE
21,0.05154639175257732,2026-04-28 11:11:54.823625,2026-04-28 11:11:55.318977,0 days 00:00:00.495352,,0.02562650718219321,80.0,,LOF,,,7.0,,COMPLETE
22,0.050335570469798654,2026-04-28 11:11:55.319154,2026-04-28 11:11:55.814850,0 days 00:00:00.495696,,0.03852726857182039,69.0,,LOF,,,19.0,,COMPLETE
23,0.050335570469798654,2026-04-28 11:11:55.815065,2026-04-28 11:11:56.312492,0 days 00:00:00.497427,,0.009117675609183511,67.0,,LOF,,,19.0,,COMPLETE
24,0.045454545454545456,2026-04-28 11:11:56.312697,2026-04-28 11:11:56.826313,0 days 00:00:00.513616,,0.0967434680024243,67.0,,LOF,,,53.0,,COMPLETE
