number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.03816793893129771,2026-04-28 10:46:12.731686,2026-04-28 10:46:12.925935,0 days 00:00:00.194249,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.03759398496240601,2026-04-28 10:46:12.926153,2026-04-28 10:46:12.959884,0 days 00:00:00.033731,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.03663003663003663,2026-04-28 10:46:12.960053,2026-04-28 10:46:12.995795,0 days 00:00:00.035742,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.18404907975460122,2026-04-28 10:46:12.996020,2026-04-28 10:46:13.221619,0 days 00:00:00.225599,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.07172995780590717,2026-04-28 10:46:13.221808,2026-04-28 10:46:13.236023,0 days 00:00:00.014215,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.21235521235521235,2026-04-28 10:46:13.236235,2026-04-28 10:46:13.765655,0 days 00:00:00.529420,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.11850152905198777,2026-04-28 10:46:13.765872,2026-04-28 10:46:14.203155,0 days 00:00:00.437283,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.01968503937007874,2026-04-28 10:46:14.203364,2026-04-28 10:46:14.216399,0 days 00:00:00.013035,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.17069701280227595,2026-04-28 10:46:14.216596,2026-04-28 10:46:14.387461,0 days 00:00:00.170865,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06679389312977099,2026-04-28 10:46:14.387686,2026-04-28 10:46:14.422148,0 days 00:00:00.034462,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.3343465045592705,2026-04-28 10:46:14.422363,2026-04-28 10:46:15.000500,0 days 00:00:00.578137,,0.012278360049275504,15.0,,LOF,,,98.0,,COMPLETE
11,0.32608695652173914,2026-04-28 10:46:15.000685,2026-04-28 10:46:15.660403,0 days 00:00:00.659718,,0.011233584196728298,12.0,,LOF,,,99.0,,COMPLETE
12,0.09433962264150944,2026-04-28 10:46:15.660607,2026-04-28 10:46:15.697549,0 days 00:00:00.036942,,0.012473386195615808,,,ECOD,,,,,COMPLETE
13,0.3264094955489614,2026-04-28 10:46:15.697778,2026-04-28 10:46:16.351445,0 days 00:00:00.653667,,0.013083800167748908,12.0,,LOF,,,98.0,,COMPLETE
14,0.2564102564102564,2026-04-28 10:46:16.351658,2026-04-28 10:46:16.888310,0 days 00:00:00.536652,,0.026641960893341532,10.0,,LOF,,,71.0,,COMPLETE
15,0.34539473684210525,2026-04-28 10:46:16.888552,2026-04-28 10:46:17.325751,0 days 00:00:00.437199,,0.007795893358622733,38.0,,LOF,,,66.0,,COMPLETE
16,0.06968641114982578,2026-04-28 10:46:17.325947,2026-04-28 10:46:17.363104,0 days 00:00:00.037157,,0.006503918861306058,,,ECOD,,,,,COMPLETE
17,0.25547445255474455,2026-04-28 10:46:17.363292,2026-04-28 10:46:17.710263,0 days 00:00:00.346971,,0.02161065129252701,47.0,,LOF,,,45.0,,COMPLETE
18,0.35,2026-04-28 10:46:17.710503,2026-04-28 10:46:18.118767,0 days 00:00:00.408264,,0.006674619025368454,42.0,,LOF,,,59.0,,COMPLETE
19,0.35353535353535354,2026-04-28 10:46:18.118974,2026-04-28 10:46:18.495704,0 days 00:00:00.376730,,0.0064519376741650585,44.0,,LOF,,,52.0,,COMPLETE
20,0.056179775280898875,2026-04-28 10:46:18.495948,2026-04-28 10:46:18.533563,0 days 00:00:00.037615,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.3488372093023256,2026-04-28 10:46:18.533770,2026-04-28 10:46:18.935376,0 days 00:00:00.401606,,0.0070581320380868505,46.0,,LOF,,,57.0,,COMPLETE
22,0.3460207612456747,2026-04-28 10:46:18.935591,2026-04-28 10:46:19.280190,0 days 00:00:00.344599,,0.0047539953061380355,53.0,,LOF,,,45.0,,COMPLETE
23,0.3488372093023256,2026-04-28 10:46:19.280421,2026-04-28 10:46:19.732692,0 days 00:00:00.452271,,0.007030639863142183,57.0,,LOF,,,61.0,,COMPLETE
24,0.26252983293556087,2026-04-28 10:46:19.732898,2026-04-28 10:46:20.022200,0 days 00:00:00.289302,,0.022973886786386455,37.0,,LOF,,,32.0,,COMPLETE
