number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.05858585858585859,2026-04-18 16:50:41.833489,2026-04-18 16:50:41.920918,0 days 00:00:00.087429,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.1560549313358302,2026-04-18 16:50:41.921093,2026-04-18 16:50:45.031928,0 days 00:00:03.110835,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.019138755980861243,2026-04-18 16:50:45.032117,2026-04-18 16:50:45.040083,0 days 00:00:00.007966,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0020060180541624875,2026-04-18 16:50:45.040233,2026-04-18 16:50:45.048350,0 days 00:00:00.008117,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.07983623336745138,2026-04-18 16:50:45.048481,2026-04-18 16:50:45.056649,0 days 00:00:00.008168,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.006097560975609756,2026-04-18 16:50:45.056764,2026-04-18 16:50:48.426967,0 days 00:00:03.370203,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.00784313725490196,2026-04-18 16:50:48.427148,2026-04-18 16:50:52.599352,0 days 00:00:04.172204,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.006006006006006006,2026-04-18 16:50:52.599533,2026-04-18 16:50:53.925520,0 days 00:00:01.325987,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.019138755980861243,2026-04-18 16:50:53.925743,2026-04-18 16:50:53.933731,0 days 00:00:00.007988,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.003952569169960474,2026-04-18 16:50:53.933844,2026-04-18 16:51:15.005505,0 days 00:00:21.071661,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.08206896551724138,2026-04-18 16:51:15.005690,2026-04-18 16:51:16.712906,0 days 00:00:01.707216,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.0873440285204991,2026-04-18 16:51:16.713088,2026-04-18 16:51:19.049510,0 days 00:00:02.336422,,0.13412923922791903,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.052541404911479156,2026-04-18 16:51:19.049734,2026-04-18 16:51:22.141629,0 days 00:00:03.091895,,0.0423056096675609,0.00013299972137426806,rbf,,,OCSVM,,,,0.030206900966364095,,COMPLETE
13,0.3161332462442848,2026-04-18 16:51:22.141820,2026-04-18 16:51:22.372765,0 days 00:00:00.230945,,0.03171498570317026,,,74.0,,LOF,,,80.0,,,COMPLETE
14,0.31322207958921694,2026-04-18 16:51:22.372966,2026-04-18 16:51:22.585910,0 days 00:00:00.212944,,0.03330760854474225,,,80.0,,LOF,,,80.0,,,COMPLETE
15,0.33260393873085337,2026-04-18 16:51:22.586097,2026-04-18 16:51:22.801091,0 days 00:00:00.214994,,0.02321711897892211,,,80.0,,LOF,,,80.0,,,COMPLETE
16,0.33211944646758923,2026-04-18 16:51:22.801282,2026-04-18 16:51:23.015751,0 days 00:00:00.214469,,0.02359143693699978,,,80.0,,LOF,,,80.0,,,COMPLETE
17,0.35303643724696354,2026-04-18 16:51:23.015932,2026-04-18 16:51:23.183633,0 days 00:00:00.167701,,0.01681169417610838,,,62.0,,LOF,,,60.0,,,COMPLETE
18,0.3395918367346939,2026-04-18 16:51:23.183828,2026-04-18 16:51:23.325178,0 days 00:00:00.141350,,0.015530474880334095,,,58.0,,LOF,,,49.0,,,COMPLETE
19,0.2528533801580334,2026-04-18 16:51:23.325354,2026-04-18 16:51:23.462383,0 days 00:00:00.137029,,0.013197587114711758,,,54.0,,LOF,,,47.0,,,COMPLETE
20,0.28526148969889065,2026-04-18 16:51:23.462554,2026-04-18 16:51:23.603065,0 days 00:00:00.140511,,0.06101301668231292,,,55.0,,LOF,,,48.0,,,COMPLETE
21,0.3148301574150787,2026-04-18 16:51:23.603244,2026-04-18 16:51:23.766382,0 days 00:00:00.163138,,0.014858185411898324,,,63.0,,LOF,,,60.0,,,COMPLETE
22,0.10800385728061716,2026-04-18 16:51:23.766562,2026-04-18 16:51:23.935617,0 days 00:00:00.169055,,0.00535070101886533,,,39.0,,LOF,,,62.0,,,COMPLETE
23,0.3834526650755768,2026-04-18 16:51:23.935784,2026-04-18 16:51:24.044746,0 days 00:00:00.108962,,0.015520709407379674,,,66.0,,LOF,,,29.0,,,COMPLETE
24,0.19521178637200737,2026-04-18 16:51:24.044927,2026-04-18 16:51:24.146133,0 days 00:00:00.101206,,0.007878630144459288,,,65.0,,LOF,,,26.0,,,COMPLETE
25,0.3634980988593156,2026-04-18 16:51:24.146300,2026-04-18 16:51:24.266633,0 days 00:00:00.120333,,0.01918608515574407,,,63.0,,LOF,,,36.0,,,COMPLETE
26,0.3190332326283988,2026-04-18 16:51:24.266809,2026-04-18 16:51:24.378471,0 days 00:00:00.111662,,0.05662678957771533,,,67.0,,LOF,,,32.0,,,COMPLETE
27,0.36014760147601477,2026-04-18 16:51:24.378643,2026-04-18 16:51:24.494205,0 days 00:00:00.115562,,0.020860505088914585,,,42.0,,LOF,,,35.0,,,COMPLETE
28,0.23383525243578387,2026-04-18 16:51:24.494372,2026-04-18 16:51:24.609746,0 days 00:00:00.115374,,0.009178601319111425,,,44.0,,LOF,,,35.0,,,COMPLETE
29,0.08932038834951456,2026-04-18 16:51:24.609908,2026-04-18 16:51:24.689771,0 days 00:00:00.079863,,0.004736754740431458,,,45.0,,LOF,,,11.0,,,COMPLETE
