number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.01352082206598161,2026-04-24 14:13:38.977827,2026-04-24 14:13:39.449549,0 days 00:00:00.471722,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.002703433360367667,2026-04-24 14:13:39.449773,2026-04-24 14:13:39.457082,0 days 00:00:00.007309,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.006738544474393531,2026-04-24 14:13:39.457261,2026-04-24 14:13:39.464180,0 days 00:00:00.006919,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.08719481813652218,2026-04-24 14:13:39.464336,2026-04-24 14:13:39.574739,0 days 00:00:00.110403,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.08920076117982874,2026-04-24 14:13:39.574920,2026-04-24 14:13:39.580171,0 days 00:00:00.005251,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.010834236186348862,2026-04-24 14:13:39.580429,2026-04-24 14:13:40.125074,0 days 00:00:00.544645,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.11467889908256881,2026-04-24 14:13:40.125279,2026-04-24 14:13:40.328093,0 days 00:00:00.202814,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0013561160835367507,2026-04-24 14:13:40.328290,2026-04-24 14:13:40.332745,0 days 00:00:00.004455,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.09584664536741214,2026-04-24 14:13:40.332907,2026-04-24 14:13:40.417871,0 days 00:00:00.084964,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.05432036382011117,2026-04-24 14:13:40.418097,2026-04-24 14:13:40.424748,0 days 00:00:00.006651,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.017278043593833066,2026-04-24 14:13:40.424928,2026-04-24 14:13:40.433386,0 days 00:00:00.008458,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.11467889908256881,2026-04-24 14:13:40.433700,2026-04-24 14:13:40.650603,0 days 00:00:00.216903,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.15463917525773196,2026-04-24 14:13:40.650803,2026-04-24 14:13:40.862499,0 days 00:00:00.211696,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.04584752423369138,2026-04-24 14:13:40.862709,2026-04-24 14:13:41.104272,0 days 00:00:00.241563,,0.024527898153562742,,0.8109715399222327,IForest,,196.0,,,COMPLETE
14,0.11467889908256881,2026-04-24 14:13:41.104482,2026-04-24 14:13:41.301499,0 days 00:00:00.197017,,0.12674013677767976,,0.40396978287100893,IForest,,152.0,,,COMPLETE
15,0.02878074306645735,2026-04-24 14:13:41.301704,2026-04-24 14:13:41.309978,0 days 00:00:00.008274,,0.023627819941212387,,,ECOD,,,,,COMPLETE
16,0.028142589118198873,2026-04-24 14:13:41.310143,2026-04-24 14:13:41.489516,0 days 00:00:00.179373,,0.008802293388098813,,0.8145389162381034,IForest,,143.0,,,COMPLETE
17,0.10550023707918445,2026-04-24 14:13:41.489741,2026-04-24 14:13:41.695753,0 days 00:00:00.206012,,0.10670072284229577,,0.9972115722232049,IForest,,172.0,,,COMPLETE
18,0.06311179804224626,2026-04-24 14:13:41.695981,2026-04-24 14:13:41.841183,0 days 00:00:00.145202,,0.03479665417663077,,0.8199258979028818,IForest,,111.0,,,COMPLETE
19,0.05983350676378772,2026-04-24 14:13:41.841412,2026-04-24 14:13:42.407598,0 days 00:00:00.566186,,0.19632584745372814,14.0,,LOF,,,44.0,,COMPLETE
20,0.11243689765947683,2026-04-24 14:13:42.407795,2026-04-24 14:13:42.416254,0 days 00:00:00.008459,,0.09770544219485872,,,ECOD,,,,,COMPLETE
21,0.15463917525773196,2026-04-24 14:13:42.416455,2026-04-24 14:13:42.661610,0 days 00:00:00.245155,,0.19894698132622327,,0.9818721857450945,IForest,,200.0,,,COMPLETE
22,0.10550023707918445,2026-04-24 14:13:42.661808,2026-04-24 14:13:42.898859,0 days 00:00:00.237051,,0.09778929134583975,,0.8798306599942693,IForest,,194.0,,,COMPLETE
23,0.08719481813652218,2026-04-24 14:13:42.899085,2026-04-24 14:13:43.101032,0 days 00:00:00.201947,,0.06359515446900682,,0.6851221083367426,IForest,,165.0,,,COMPLETE
24,0.15463917525773196,2026-04-24 14:13:43.101230,2026-04-24 14:13:43.350539,0 days 00:00:00.249309,,0.18455326947216089,,0.4657491968989663,IForest,,200.0,,,COMPLETE
