number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.033444816053511704,2026-04-18 17:48:54.316821,2026-04-18 17:48:54.873105,0 days 00:00:00.556284,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.012853470437017995,2026-04-18 17:48:54.873331,2026-04-18 17:48:55.149962,0 days 00:00:00.276631,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.016564729867482163,2026-04-18 17:48:55.150159,2026-04-18 17:48:55.239907,0 days 00:00:00.089748,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.2955223880597015,2026-04-18 17:48:55.240092,2026-04-18 17:48:55.744654,0 days 00:00:00.504562,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.18653321201091902,2026-04-18 17:48:55.744942,2026-04-18 17:48:56.589060,0 days 00:00:00.844118,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.023340248962655602,2026-04-18 17:48:56.589251,2026-04-18 17:48:58.441672,0 days 00:00:01.852421,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.31076265146115467,2026-04-18 17:48:58.441920,2026-04-18 17:48:59.501999,0 days 00:00:01.060079,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.007784120394395433,2026-04-18 17:48:59.502184,2026-04-18 17:48:59.531764,0 days 00:00:00.029580,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.2886297376093295,2026-04-18 17:48:59.531934,2026-04-18 17:48:59.933224,0 days 00:00:00.401290,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.09923175416133162,2026-04-18 17:48:59.933416,2026-04-18 17:49:00.028586,0 days 00:00:00.095170,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.04431314623338257,2026-04-18 17:49:00.028818,2026-04-18 17:49:00.121928,0 days 00:00:00.093110,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.31419939577039274,2026-04-18 17:49:00.122100,2026-04-18 17:49:01.213784,0 days 00:00:01.091684,,0.1520310542982662,,0.5407072808791104,IForest,,185.0,,,COMPLETE
12,0.3041614820959491,2026-04-18 17:49:01.213968,2026-04-18 17:49:02.337237,0 days 00:00:01.123269,,0.1862947712919154,,0.4708244079875672,IForest,,192.0,,,COMPLETE
13,0.2139222941720629,2026-04-18 17:49:02.337423,2026-04-18 17:49:03.393082,0 days 00:00:01.055659,,0.02565754729459318,,0.6902289834193471,IForest,,181.0,,,COMPLETE
14,0.3099682986967242,2026-04-18 17:49:03.393286,2026-04-18 17:49:04.353790,0 days 00:00:00.960504,,0.1001038763413665,,0.9690727384631669,IForest,,152.0,,,COMPLETE
15,0.09049255441008018,2026-04-18 17:49:04.353990,2026-04-18 17:49:04.444799,0 days 00:00:00.090809,,0.029115317953977055,,,ECOD,,,,,COMPLETE
16,0.30380085653104927,2026-04-18 17:49:04.444997,2026-04-18 17:49:05.214393,0 days 00:00:00.769396,,0.19924370624563414,,0.36045824527348924,IForest,,139.0,,,COMPLETE
17,0.10521042084168336,2026-04-18 17:49:05.214588,2026-04-18 17:49:06.260313,0 days 00:00:01.045725,,0.00939821504407328,,0.7983844615493881,IForest,,166.0,,,COMPLETE
18,0.2381489841986456,2026-04-18 17:49:06.260541,2026-04-18 17:49:06.936025,0 days 00:00:00.675484,,0.03210535876054662,,0.4985787440525069,IForest,,111.0,,,COMPLETE
19,0.20718707015130675,2026-04-18 17:49:06.936220,2026-04-18 17:49:08.119077,0 days 00:00:01.182857,,0.10700765345501179,14.0,,LOF,,,44.0,,COMPLETE
20,0.06695361071257772,2026-04-18 17:49:08.119260,2026-04-18 17:49:08.208612,0 days 00:00:00.089352,,0.018048266414273876,,,ECOD,,,,,COMPLETE
21,0.3103689456198636,2026-04-18 17:49:08.208791,2026-04-18 17:49:09.188732,0 days 00:00:00.979941,,0.10120242956763681,,0.9302723308626759,IForest,,154.0,,,COMPLETE
22,0.30849220103986136,2026-04-18 17:49:09.188941,2026-04-18 17:49:10.241703,0 days 00:00:01.052762,,0.10484840908746627,,0.8556322431794402,IForest,,165.0,,,COMPLETE
23,0.2947916666666667,2026-04-18 17:49:10.241898,2026-04-18 17:49:11.447528,0 days 00:00:01.205630,,0.05199512289818235,,0.8550383771139456,IForest,,191.0,,,COMPLETE
24,0.3104230831577241,2026-04-18 17:49:11.447724,2026-04-18 17:49:12.183420,0 days 00:00:00.735696,,0.12775764573510506,,0.5444011709959854,IForest,,121.0,,,COMPLETE
25,0.1817351598173516,2026-04-18 17:49:12.183632,2026-04-18 17:49:12.215596,0 days 00:00:00.031964,0.01417034028739772,0.13520153540609756,,,HBOS,5.0,,,0.8330312987117048,COMPLETE
26,0.30089009287925694,2026-04-18 17:49:12.215828,2026-04-18 17:49:12.909043,0 days 00:00:00.693215,,0.07186925499962639,,0.5380232086921929,IForest,,112.0,,,COMPLETE
27,0.28608302860830287,2026-04-18 17:49:12.909266,2026-04-18 17:49:13.660333,0 days 00:00:00.751067,,0.04376781046112175,,0.5893597720421349,IForest,,124.0,,,COMPLETE
28,0.09357612544258978,2026-04-18 17:49:13.660561,2026-04-18 17:49:14.200765,0 days 00:00:00.540204,,0.007383804865962332,,0.3503345113661739,IForest,,95.0,,,COMPLETE
29,0.21128956806486823,2026-04-18 17:49:14.200952,2026-04-18 17:49:16.156593,0 days 00:00:01.955641,,0.13963150760740842,77.0,,LOF,,,97.0,,COMPLETE
30,0.13493253373313344,2026-04-18 17:49:16.156793,2026-04-18 17:49:16.248961,0 days 00:00:00.092168,,0.08404684636042338,,,COPOD,,,,,COMPLETE
31,0.31019806842363723,2026-04-18 17:49:16.249139,2026-04-18 17:49:17.155870,0 days 00:00:00.906731,,0.12396864759520043,,0.9157196333952866,IForest,,144.0,,,COMPLETE
32,0.30632945631593184,2026-04-18 17:49:17.156062,2026-04-18 17:49:18.159769,0 days 00:00:01.003707,,0.19115860897966963,,0.7134072448601319,IForest,,169.0,,,COMPLETE
33,0.30300222386953296,2026-04-18 17:49:18.159981,2026-04-18 17:49:19.345481,0 days 00:00:01.185500,,0.08672429329516079,,0.4363024383682812,IForest,,199.0,,,COMPLETE
34,0.2871205906480722,2026-04-18 17:49:19.345682,2026-04-18 17:49:20.285871,0 days 00:00:00.940189,,0.056491247564315776,,0.598506928748489,IForest,,156.0,,,COMPLETE
35,0.1832265753016535,2026-04-18 17:49:20.286060,2026-04-18 17:49:20.376432,0 days 00:00:00.090372,,0.16051564841088203,,,COPOD,,,,,COMPLETE
36,0.07160167437761622,2026-04-18 17:49:20.376625,2026-04-18 17:49:20.411935,0 days 00:00:00.035310,0.49698296467435743,0.04039627393045202,,,HBOS,50.0,,,0.7886664822342316,COMPLETE
37,0.05997958141909137,2026-04-18 17:49:20.412106,2026-04-18 17:49:20.957456,0 days 00:00:00.545350,,0.0037325498966837957,50.0,,LOF,,,10.0,,COMPLETE
38,0.3079507278835386,2026-04-18 17:49:20.957680,2026-04-18 17:49:22.050659,0 days 00:00:01.092979,,0.13109598578989579,,0.5694260652682686,IForest,,179.0,,,COMPLETE
39,0.010327911179963851,2026-04-18 17:49:22.050854,2026-04-18 17:49:22.140208,0 days 00:00:00.089354,,0.0020565736164299005,,,ECOD,,,,,COMPLETE
40,0.1446480231436837,2026-04-18 17:49:22.140402,2026-04-18 17:49:22.175565,0 days 00:00:00.035163,0.2131580129780817,0.07591035171114513,,,HBOS,29.0,,,0.09667991924744357,COMPLETE
41,0.31563373335525235,2026-04-18 17:49:22.175753,2026-04-18 17:49:23.059468,0 days 00:00:00.883715,,0.12273526125862429,,0.922689493626274,IForest,,137.0,,,COMPLETE
42,0.314298362107127,2026-04-18 17:49:23.059664,2026-04-18 17:49:23.962579,0 days 00:00:00.902915,,0.15893261042471513,,0.9172326369245584,IForest,,138.0,,,COMPLETE
43,0.31136971221890236,2026-04-18 17:49:23.962794,2026-04-18 17:49:24.830990,0 days 00:00:00.868196,,0.13536057978657348,,0.8820848708762485,IForest,,132.0,,,COMPLETE
44,0.3105323411562679,2026-04-18 17:49:24.831195,2026-04-18 17:49:25.704833,0 days 00:00:00.873638,,0.16858900939331573,,0.884460966960213,IForest,,135.0,,,COMPLETE
45,0.11757672379434038,2026-04-18 17:49:25.705035,2026-04-18 17:49:25.800234,0 days 00:00:00.095199,,0.06611815054919687,,,COPOD,,,,,COMPLETE
46,0.3099294947121034,2026-04-18 17:49:25.800454,2026-04-18 17:49:26.690488,0 days 00:00:00.890034,,0.15806524647939865,,0.78317108573845,IForest,,135.0,,,COMPLETE
47,0.2058684335068623,2026-04-18 17:49:26.690693,2026-04-18 17:49:27.793950,0 days 00:00:01.103257,,0.020431138190185993,,0.9998557198403617,IForest,,180.0,,,COMPLETE
48,0.3109521188772702,2026-04-18 17:49:27.794185,2026-04-18 17:49:28.758943,0 days 00:00:00.964758,,0.087853013821486,,0.9262091758009379,IForest,,147.0,,,COMPLETE
49,0.30533651201173667,2026-04-18 17:49:28.759134,2026-04-18 17:49:29.608983,0 days 00:00:00.849849,,0.08838873327674127,,0.8041716634030572,IForest,,128.0,,,COMPLETE
