number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.01937984496124031,2026-04-28 11:12:06.606964,2026-04-28 11:12:06.813665,0 days 00:00:00.206701,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:12:06.813862,2026-04-28 11:12:06.848369,0 days 00:00:00.034507,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:12:06.848534,2026-04-28 11:12:06.882667,0 days 00:00:00.034133,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.1597444089456869,2026-04-28 11:12:06.882839,2026-04-28 11:12:07.107478,0 days 00:00:00.224639,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.053366174055829226,2026-04-28 11:12:07.107677,2026-04-28 11:12:07.121020,0 days 00:00:00.013343,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.15384615384615385,2026-04-28 11:12:07.121196,2026-04-28 11:12:07.685924,0 days 00:00:00.564728,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.09870918754745633,2026-04-28 11:12:07.686115,2026-04-28 11:12:08.108083,0 days 00:00:00.421968,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:12:08.108297,2026-04-28 11:12:08.120293,0 days 00:00:00.011996,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.14684287812041116,2026-04-28 11:12:08.120445,2026-04-28 11:12:08.291560,0 days 00:00:00.171115,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.08506616257088846,2026-04-28 11:12:08.291760,2026-04-28 11:12:08.324737,0 days 00:00:00.032977,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.04076086956521739,2026-04-28 11:12:08.324937,2026-04-28 11:12:08.359246,0 days 00:00:00.034309,,0.018054373833527988,,,ECOD,,,,,COMPLETE
11,0.3177257525083612,2026-04-28 11:12:08.359427,2026-04-28 11:12:08.956469,0 days 00:00:00.597042,,0.011096121254495772,15.0,,LOF,,,99.0,,COMPLETE
12,0.15151515151515152,2026-04-28 11:12:08.956669,2026-04-28 11:12:09.156462,0 days 00:00:00.199793,,0.010055113087419186,,0.4310039443727755,IForest,,78.0,,,COMPLETE
13,0.26243093922651933,2026-04-28 11:12:09.156645,2026-04-28 11:12:09.792168,0 days 00:00:00.635523,,0.019283335565628137,13.0,,LOF,,,93.0,,COMPLETE
14,0.27696793002915454,2026-04-28 11:12:09.792357,2026-04-28 11:12:10.465830,0 days 00:00:00.673473,,0.017311623440584144,10.0,,LOF,,,100.0,,COMPLETE
15,0.3231292517006803,2026-04-28 11:12:10.466017,2026-04-28 11:12:11.129266,0 days 00:00:00.663249,,0.008868069664102092,10.0,,LOF,,,98.0,,COMPLETE
16,0.33568904593639576,2026-04-28 11:12:11.129469,2026-04-28 11:12:11.573521,0 days 00:00:00.444052,,0.007389680707689747,39.0,,LOF,,,65.0,,COMPLETE
17,0.0,2026-04-28 11:12:11.573704,2026-04-28 11:12:11.607820,0 days 00:00:00.034116,,0.006148815257855931,,,ECOD,,,,,COMPLETE
18,0.24193548387096775,2026-04-28 11:12:11.607993,2026-04-28 11:12:12.030700,0 days 00:00:00.422707,,0.033067280904310714,48.0,,LOF,,,59.0,,COMPLETE
19,0.33568904593639576,2026-04-28 11:12:12.030886,2026-04-28 11:12:12.467841,0 days 00:00:00.436955,,0.006495976948506647,42.0,,LOF,,,64.0,,COMPLETE
20,0.3333333333333333,2026-04-28 11:12:12.468057,2026-04-28 11:12:12.917174,0 days 00:00:00.449117,,0.003101606675346204,45.0,,LOF,,,66.0,,COMPLETE
21,0.3333333333333333,2026-04-28 11:12:12.917362,2026-04-28 11:12:13.346429,0 days 00:00:00.429067,,0.0034586076179287813,43.0,,LOF,,,61.0,,COMPLETE
22,0.2631578947368421,2026-04-28 11:12:13.346634,2026-04-28 11:12:13.820801,0 days 00:00:00.474167,,0.0021567181558895645,45.0,,LOF,,,71.0,,COMPLETE
23,0.36101083032490977,2026-04-28 11:12:13.821004,2026-04-28 11:12:14.162072,0 days 00:00:00.341068,,0.006287629447070353,35.0,,LOF,,,41.0,,COMPLETE
24,0.0,2026-04-28 11:12:14.162263,2026-04-28 11:12:14.177952,0 days 00:00:00.015689,0.01780004897700621,0.006003790583965367,,,HBOS,5.0,,,0.876305428647995,COMPLETE
