number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.047435897435897434,2026-04-18 17:57:39.454336,2026-04-18 17:57:43.701534,0 days 00:00:04.247198,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0025680534155110425,2026-04-18 17:57:43.701725,2026-04-18 17:57:43.714372,0 days 00:00:00.012647,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.002546473134708429,2026-04-18 17:57:43.714558,2026-04-18 17:57:43.727585,0 days 00:00:00.013027,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.08699254349627175,2026-04-18 17:57:43.727768,2026-04-18 17:57:43.924471,0 days 00:00:00.196703,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.07900055116663604,2026-04-18 17:57:43.924696,2026-04-18 17:57:43.932260,0 days 00:00:00.007564,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.033661315380631794,2026-04-18 17:57:43.932447,2026-04-18 17:57:48.563548,0 days 00:00:04.631101,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.10226504394861392,2026-04-18 17:57:48.563740,2026-04-18 17:57:48.933633,0 days 00:00:00.369893,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0012976901116013497,2026-04-18 17:57:48.933822,2026-04-18 17:57:48.940890,0 days 00:00:00.007068,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.08670520231213873,2026-04-18 17:57:48.941035,2026-04-18 17:57:49.101797,0 days 00:00:00.160762,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.050170794192997435,2026-04-18 17:57:49.102003,2026-04-18 17:57:49.114631,0 days 00:00:00.012628,,0.04758470274910409,,,COPOD,,,,,COMPLETE
