number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.17391304347826086,2026-04-28 11:39:28.953808,2026-04-28 11:39:28.977529,0 days 00:00:00.023721,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:39:28.977722,2026-04-28 11:39:28.986327,0 days 00:00:00.008605,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:39:28.986479,2026-04-28 11:39:28.994888,0 days 00:00:00.008409,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.042643923240938165,2026-04-28 11:39:28.995029,2026-04-28 11:39:29.208513,0 days 00:00:00.213484,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.02838221381267739,2026-04-28 11:39:29.208682,2026-04-28 11:39:29.213360,0 days 00:00:00.004678,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:39:29.213485,2026-04-28 11:39:29.287191,0 days 00:00:00.073706,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.03661513425549227,2026-04-28 11:39:29.287455,2026-04-28 11:39:29.724212,0 days 00:00:00.436757,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:39:29.724402,2026-04-28 11:39:29.729293,0 days 00:00:00.004891,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.06769825918762089,2026-04-28 11:39:29.729420,2026-04-28 11:39:29.906479,0 days 00:00:00.177059,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06702412868632708,2026-04-28 11:39:29.906686,2026-04-28 11:39:29.915425,0 days 00:00:00.008739,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.9701492537313433,2026-04-28 11:39:29.915561,2026-04-28 11:39:29.940620,0 days 00:00:00.025059,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.8783783783783784,2026-04-28 11:39:29.940844,2026-04-28 11:39:29.966893,0 days 00:00:00.026049,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.07575757575757576,2026-04-28 11:39:29.967065,2026-04-28 11:39:29.976735,0 days 00:00:00.009670,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.8783783783783784,2026-04-28 11:39:29.976899,2026-04-28 11:39:30.002221,0 days 00:00:00.025322,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.418848167539267,2026-04-28 11:39:30.002408,2026-04-28 11:39:30.040533,0 days 00:00:00.038125,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.21739130434782608,2026-04-28 11:39:30.040724,2026-04-28 11:39:30.093894,0 days 00:00:00.053170,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.055970149253731345,2026-04-28 11:39:30.094077,2026-04-28 11:39:30.103717,0 days 00:00:00.009640,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.3333333333333333,2026-04-28 11:39:30.103869,2026-04-28 11:39:30.138169,0 days 00:00:00.034300,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.9701492537313433,2026-04-28 11:39:30.138344,2026-04-28 11:39:30.161482,0 days 00:00:00.023138,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.3237410071942446,2026-04-28 11:39:30.161654,2026-04-28 11:39:30.202075,0 days 00:00:00.040421,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.08196721311475409,2026-04-28 11:39:30.202255,2026-04-28 11:39:30.212388,0 days 00:00:00.010133,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.8441558441558441,2026-04-28 11:39:30.212533,2026-04-28 11:39:30.237812,0 days 00:00:00.025279,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.5194805194805194,2026-04-28 11:39:30.238030,2026-04-28 11:39:30.272053,0 days 00:00:00.034023,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.07075471698113207,2026-04-28 11:39:30.272232,2026-04-28 11:39:30.355493,0 days 00:00:00.083261,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.2755905511811024,2026-04-28 11:39:30.355690,2026-04-28 11:39:30.387248,0 days 00:00:00.031558,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
