number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.06060606060606061,2026-04-18 17:11:13.270969,2026-04-18 17:11:13.331564,0 days 00:00:00.060595,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.1853035143769968,2026-04-18 17:11:13.331711,2026-04-18 17:11:13.773632,0 days 00:00:00.441921,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.08849557522123894,2026-04-18 17:11:13.773802,2026-04-18 17:11:13.779069,0 days 00:00:00.005267,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0392156862745098,2026-04-18 17:11:13.779226,2026-04-18 17:11:13.784282,0 days 00:00:00.005056,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.1610738255033557,2026-04-18 17:11:13.784383,2026-04-18 17:11:13.789640,0 days 00:00:00.005257,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.02040816326530612,2026-04-18 17:11:13.789739,2026-04-18 17:11:14.272444,0 days 00:00:00.482705,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.04040404040404041,2026-04-18 17:11:14.272648,2026-04-18 17:11:14.819777,0 days 00:00:00.547129,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:11:14.819957,2026-04-18 17:11:15.004118,0 days 00:00:00.184161,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.05714285714285714,2026-04-18 17:11:15.004293,2026-04-18 17:11:15.009488,0 days 00:00:00.005195,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.02040816326530612,2026-04-18 17:11:15.009607,2026-04-18 17:11:15.224692,0 days 00:00:00.215085,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.1901639344262295,2026-04-18 17:11:15.224896,2026-04-18 17:11:15.251459,0 days 00:00:00.026563,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.1497005988023952,2026-04-18 17:11:15.251615,2026-04-18 17:11:15.285526,0 days 00:00:00.033911,,0.13412923922791903,0.00011200687440843911,rbf,,,OCSVM,,,,0.02340327681311205,,COMPLETE
12,0.30864197530864196,2026-04-18 17:11:15.285690,2026-04-18 17:11:15.326317,0 days 00:00:00.040627,,0.0423056096675609,0.00013294479860745514,rbf,,,OCSVM,,,,0.03024872991916231,,COMPLETE
13,0.2981366459627329,2026-04-18 17:11:15.326458,2026-04-18 17:11:15.346944,0 days 00:00:00.020486,,0.03941807350988234,0.00010623276683570496,rbf,,,OCSVM,,,,0.011683057028475346,,COMPLETE
14,0.3246753246753247,2026-04-18 17:11:15.347081,2026-04-18 17:11:15.481430,0 days 00:00:00.134349,,0.03682396392843384,0.0014554642970191984,rbf,,,OCSVM,,,,0.11704913958016758,,COMPLETE
15,0.34965034965034963,2026-04-18 17:11:15.481635,2026-04-18 17:11:15.621709,0 days 00:00:00.140074,,0.029949062807551236,0.004596562851279348,rbf,,,OCSVM,,,,0.1219347882138329,,COMPLETE
16,0.3333333333333333,2026-04-18 17:11:15.621891,2026-04-18 17:11:15.756568,0 days 00:00:00.134677,,0.02474043870371224,,,80.0,,LOF,,,70.0,,,COMPLETE
17,0.368,2026-04-18 17:11:15.756754,2026-04-18 17:11:15.900311,0 days 00:00:00.143557,,0.018569669442648012,,,78.0,,LOF,,,79.0,,,COMPLETE
18,0.3697478991596639,2026-04-18 17:11:15.900474,2026-04-18 17:11:16.045024,0 days 00:00:00.144550,,0.015345669332742753,,,79.0,,LOF,,,80.0,,,COMPLETE
19,0.38333333333333336,2026-04-18 17:11:16.045196,2026-04-18 17:11:16.185394,0 days 00:00:00.140198,,0.016419652980732707,,,80.0,,LOF,,,77.0,,,COMPLETE
20,0.205607476635514,2026-04-18 17:11:16.185552,2026-04-18 17:11:16.320838,0 days 00:00:00.135286,,0.005624112926170479,,,65.0,,LOF,,,79.0,,,COMPLETE
21,0.38333333333333336,2026-04-18 17:11:16.321015,2026-04-18 17:11:16.462423,0 days 00:00:00.141408,,0.016497078470737184,,,79.0,,LOF,,,80.0,,,COMPLETE
