number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.01352082206598161,2026-04-24 14:13:36.151999,2026-04-24 14:13:36.175537,0 days 00:00:00.023538,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.004050769646232784,2026-04-24 14:13:36.175723,2026-04-24 14:13:36.184639,0 days 00:00:00.008916,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.006736728644570197,2026-04-24 14:13:36.184792,2026-04-24 14:13:36.194592,0 days 00:00:00.009800,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.0966952264381885,2026-04-24 14:13:36.194771,2026-04-24 14:13:36.442473,0 days 00:00:00.247702,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.15365907583462304,2026-04-24 14:13:36.442664,2026-04-24 14:13:36.449166,0 days 00:00:00.006502,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-24 14:13:36.449389,2026-04-24 14:13:36.527786,0 days 00:00:00.078397,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.21591150818974686,2026-04-24 14:13:36.528051,2026-04-24 14:13:37.015152,0 days 00:00:00.487101,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0013553808620222283,2026-04-24 14:13:37.015349,2026-04-24 14:13:37.020269,0 days 00:00:00.004920,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.0980872976949485,2026-04-24 14:13:37.020431,2026-04-24 14:13:37.211383,0 days 00:00:00.190952,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06547469151347268,2026-04-24 14:13:37.211593,2026-04-24 14:13:37.221453,0 days 00:00:00.009860,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.013315579227696404,2026-04-24 14:13:37.221627,2026-04-24 14:13:37.232427,0 days 00:00:00.010800,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.16906631762652705,2026-04-24 14:13:37.232576,2026-04-24 14:13:37.242965,0 days 00:00:00.010389,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.1780763489016848,2026-04-24 14:13:37.243097,2026-04-24 14:13:37.253360,0 days 00:00:00.010263,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.02888655462184874,2026-04-24 14:13:37.253502,2026-04-24 14:13:37.803463,0 days 00:00:00.549961,,0.01956291363650499,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.19609856262833675,2026-04-24 14:13:37.803674,2026-04-24 14:13:37.817352,0 days 00:00:00.013678,,0.1989058004810467,,,ECOD,,,,,COMPLETE
15,0.033845352772715435,2026-04-24 14:13:37.817555,2026-04-24 14:13:37.828518,0 days 00:00:00.010963,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.010703773080010704,2026-04-24 14:13:37.828719,2026-04-24 14:13:37.841491,0 days 00:00:00.012772,,0.009442640435834046,,,ECOD,,,,,COMPLETE
17,0.12354312354312354,2026-04-24 14:13:37.841746,2026-04-24 14:13:38.307841,0 days 00:00:00.466095,,0.09825005130624256,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.04736303123399897,2026-04-24 14:13:38.308040,2026-04-24 14:13:38.318559,0 days 00:00:00.010519,,0.03552888839001809,,,ECOD,,,,,COMPLETE
19,0.14408552172902625,2026-04-24 14:13:38.318728,2026-04-24 14:13:38.705022,0 days 00:00:00.386294,,0.10730238726559596,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.009388412017167383,2026-04-24 14:13:38.705226,2026-04-24 14:13:38.716375,0 days 00:00:00.011149,,0.0078623890631114,,,ECOD,,,,,COMPLETE
21,0.11921458625525946,2026-04-24 14:13:38.716598,2026-04-24 14:13:38.727318,0 days 00:00:00.010720,0.021100468655599752,0.1991209331470552,,,HBOS,5.0,,,0.8922132554275863,COMPLETE
22,0.13021433510025351,2026-04-24 14:13:38.727578,2026-04-24 14:13:38.738150,0 days 00:00:00.010572,0.28381130569122404,0.10926292968473991,,,HBOS,34.0,,,0.8916307037078459,COMPLETE
23,0.24270854578829287,2026-04-24 14:13:38.738354,2026-04-24 14:13:38.789680,0 days 00:00:00.051326,,0.19350580311027996,10.0,,LOF,,,54.0,,COMPLETE
24,0.11528084375766495,2026-04-24 14:13:38.789907,2026-04-24 14:13:38.841886,0 days 00:00:00.051979,,0.07359851693827846,16.0,,LOF,,,56.0,,COMPLETE
