number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.2247191011235955,2026-04-28 11:38:27.515157,2026-04-28 11:38:27.537396,0 days 00:00:00.022239,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.046296296296296294,2026-04-28 11:38:27.537561,2026-04-28 11:38:27.545734,0 days 00:00:00.008173,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.08771929824561403,2026-04-28 11:38:27.545856,2026-04-28 11:38:27.553979,0 days 00:00:00.008123,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.06134969325153374,2026-04-28 11:38:27.554109,2026-04-28 11:38:27.772991,0 days 00:00:00.218882,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.037076271186440676,2026-04-28 11:38:27.773168,2026-04-28 11:38:27.777895,0 days 00:00:00.004727,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:38:27.778020,2026-04-28 11:38:27.846354,0 days 00:00:00.068334,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.029461279461279462,2026-04-28 11:38:27.846527,2026-04-28 11:38:28.283537,0 days 00:00:00.437010,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:38:28.283718,2026-04-28 11:38:28.288259,0 days 00:00:00.004541,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.057803468208092484,2026-04-28 11:38:28.288385,2026-04-28 11:38:28.455259,0 days 00:00:00.166874,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.052770448548812667,2026-04-28 11:38:28.455439,2026-04-28 11:38:28.464043,0 days 00:00:00.008604,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.704225352112676,2026-04-28 11:38:28.464184,2026-04-28 11:38:28.487671,0 days 00:00:00.023487,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.5921052631578947,2026-04-28 11:38:28.487856,2026-04-28 11:38:28.511660,0 days 00:00:00.023804,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.09868421052631579,2026-04-28 11:38:28.511818,2026-04-28 11:38:28.521193,0 days 00:00:00.009375,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.5921052631578947,2026-04-28 11:38:28.521326,2026-04-28 11:38:28.544775,0 days 00:00:00.023449,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.0,2026-04-28 11:38:28.544936,2026-04-28 11:38:28.581346,0 days 00:00:00.036410,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.0,2026-04-28 11:38:28.581510,2026-04-28 11:38:28.631347,0 days 00:00:00.049837,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.07751937984496124,2026-04-28 11:38:28.631514,2026-04-28 11:38:28.641062,0 days 00:00:00.009548,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.050505050505050504,2026-04-28 11:38:28.641202,2026-04-28 11:38:28.673828,0 days 00:00:00.032626,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.753968253968254,2026-04-28 11:38:28.674000,2026-04-28 11:38:28.695818,0 days 00:00:00.021818,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.0,2026-04-28 11:38:28.695982,2026-04-28 11:38:28.733092,0 days 00:00:00.037110,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 11:38:28.733294,2026-04-28 11:38:28.742934,0 days 00:00:00.009640,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.6785714285714286,2026-04-28 11:38:28.743099,2026-04-28 11:38:28.766038,0 days 00:00:00.022939,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.38626609442060084,2026-04-28 11:38:28.766194,2026-04-28 11:38:28.794809,0 days 00:00:00.028615,,0.021154863635591208,32.0,,LOF,,,15.0,,COMPLETE
23,0.07352941176470588,2026-04-28 11:38:28.794990,2026-04-28 11:38:28.825364,0 days 00:00:00.030374,,0.007013566731196421,10.0,,LOF,,,21.0,,COMPLETE
24,0.02242152466367713,2026-04-28 11:38:28.825611,2026-04-28 11:38:28.895063,0 days 00:00:00.069452,,0.02227376158187062,32.0,,LOF,,,84.0,,COMPLETE
