number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0970873786407767,2026-04-28 11:37:46.865822,2026-04-28 11:37:46.888618,0 days 00:00:00.022796,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:37:46.888799,2026-04-28 11:37:46.896884,0 days 00:00:00.008085,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:37:46.897057,2026-04-28 11:37:46.905985,0 days 00:00:00.008928,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.030120481927710843,2026-04-28 11:37:46.906177,2026-04-28 11:37:47.123150,0 days 00:00:00.216973,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.04004576659038902,2026-04-28 11:37:47.123343,2026-04-28 11:37:47.128330,0 days 00:00:00.004987,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.041666666666666664,2026-04-28 11:37:47.128464,2026-04-28 11:37:47.197440,0 days 00:00:00.068976,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.03499562554680665,2026-04-28 11:37:47.197623,2026-04-28 11:37:47.619559,0 days 00:00:00.421936,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:37:47.619747,2026-04-28 11:37:47.624367,0 days 00:00:00.004620,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.038314176245210725,2026-04-28 11:37:47.624498,2026-04-28 11:37:47.794364,0 days 00:00:00.169866,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 11:37:47.794558,2026-04-28 11:37:47.802784,0 days 00:00:00.008226,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.6470588235294118,2026-04-28 11:37:47.802926,2026-04-28 11:37:47.826204,0 days 00:00:00.023278,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.6077348066298343,2026-04-28 11:37:47.826380,2026-04-28 11:37:47.850418,0 days 00:00:00.024038,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.033112582781456956,2026-04-28 11:37:47.850621,2026-04-28 11:37:47.860077,0 days 00:00:00.009456,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.5759162303664922,2026-04-28 11:37:47.860210,2026-04-28 11:37:47.884201,0 days 00:00:00.023991,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.3865979381443299,2026-04-28 11:37:47.884382,2026-04-28 11:37:47.920810,0 days 00:00:00.036428,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.2631578947368421,2026-04-28 11:37:47.920991,2026-04-28 11:37:47.970223,0 days 00:00:00.049232,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.019083969465648856,2026-04-28 11:37:47.970408,2026-04-28 11:37:47.979982,0 days 00:00:00.009574,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.30405405405405406,2026-04-28 11:37:47.980126,2026-04-28 11:37:48.011977,0 days 00:00:00.031851,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.8208955223880597,2026-04-28 11:37:48.012160,2026-04-28 11:37:48.033308,0 days 00:00:00.021148,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.3900709219858156,2026-04-28 11:37:48.033496,2026-04-28 11:37:48.070279,0 days 00:00:00.036783,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 11:37:48.070472,2026-04-28 11:37:48.080167,0 days 00:00:00.009695,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.55,2026-04-28 11:37:48.080334,2026-04-28 11:37:48.103564,0 days 00:00:00.023230,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.6439393939393939,2026-04-28 11:37:48.103753,2026-04-28 11:37:48.134733,0 days 00:00:00.030980,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.6015037593984962,2026-04-28 11:37:48.134917,2026-04-28 11:37:48.166531,0 days 00:00:00.031614,,0.008175160753014957,65.0,,LOF,,,21.0,,COMPLETE
24,0.22321428571428573,2026-04-28 11:37:48.166731,2026-04-28 11:37:48.212016,0 days 00:00:00.045285,,0.005214900115204043,42.0,,LOF,,,51.0,,COMPLETE
