number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:12:12.053770,2026-04-18 17:12:12.107484,0 days 00:00:00.053714,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.09090909090909091,2026-04-18 17:12:12.107615,2026-04-18 17:12:12.377104,0 days 00:00:00.269489,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.0,2026-04-18 17:12:12.377275,2026-04-18 17:12:12.380005,0 days 00:00:00.002730,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0,2026-04-18 17:12:12.380115,2026-04-18 17:12:12.382636,0 days 00:00:00.002521,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.10050251256281408,2026-04-18 17:12:12.382734,2026-04-18 17:12:12.385222,0 days 00:00:00.002488,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0,2026-04-18 17:12:12.385323,2026-04-18 17:12:12.669840,0 days 00:00:00.284517,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.0,2026-04-18 17:12:12.670004,2026-04-18 17:12:12.981615,0 days 00:00:00.311611,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:12:12.981833,2026-04-18 17:12:13.099098,0 days 00:00:00.117265,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.0,2026-04-18 17:12:13.099226,2026-04-18 17:12:13.101917,0 days 00:00:00.002691,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.0,2026-04-18 17:12:13.102025,2026-04-18 17:12:13.213391,0 days 00:00:00.111366,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.0,2026-04-18 17:12:13.213540,2026-04-18 17:12:13.234045,0 days 00:00:00.020505,,0.10709305396188736,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.07719298245614035,2026-04-18 17:12:13.234192,2026-04-18 17:12:13.293996,0 days 00:00:00.059804,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.048484848484848485,2026-04-18 17:12:13.294140,2026-04-18 17:12:13.508564,0 days 00:00:00.214424,,0.04303691834216673,,,,0.6774067518529873,IForest,,276.0,,,,COMPLETE
