number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.03802281368821293,2026-04-28 11:12:22.099811,2026-04-28 11:12:22.615226,0 days 00:00:00.515415,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:12:22.615442,2026-04-28 11:12:22.621932,0 days 00:00:00.006490,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:12:22.622098,2026-04-28 11:12:22.628528,0 days 00:00:00.006430,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.007739938080495356,2026-04-28 11:12:22.628682,2026-04-28 11:12:22.734809,0 days 00:00:00.106127,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.0,2026-04-28 11:12:22.735035,2026-04-28 11:12:22.739328,0 days 00:00:00.004293,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:12:22.739454,2026-04-28 11:12:23.327709,0 days 00:00:00.588255,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.02254283137962128,2026-04-28 11:12:23.327896,2026-04-28 11:12:23.516303,0 days 00:00:00.188407,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:12:23.516494,2026-04-28 11:12:23.520551,0 days 00:00:00.004057,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.015455950540958269,2026-04-28 11:12:23.520680,2026-04-28 11:12:23.602610,0 days 00:00:00.081930,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 11:12:23.602804,2026-04-28 11:12:23.608952,0 days 00:00:00.006148,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.03597122302158273,2026-04-28 11:12:23.609087,2026-04-28 11:12:24.130768,0 days 00:00:00.521681,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.03571428571428571,2026-04-28 11:12:24.130975,2026-04-28 11:12:24.654475,0 days 00:00:00.523500,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:12:24.654678,2026-04-28 11:12:24.662267,0 days 00:00:00.007589,,0.013941744423372761,,,ECOD,,,,,COMPLETE
13,0.034722222222222224,2026-04-28 11:12:24.662434,2026-04-28 11:12:25.198552,0 days 00:00:00.536118,,0.005243660894310309,75.0,,LOF,,,7.0,,COMPLETE
14,0.027932960893854747,2026-04-28 11:12:25.198749,2026-04-28 11:12:25.737526,0 days 00:00:00.538777,,0.026641960893341532,58.0,,LOF,,,32.0,,COMPLETE
15,0.03745318352059925,2026-04-28 11:12:25.737710,2026-04-28 11:12:26.285386,0 days 00:00:00.547676,,0.0025004788483889567,58.0,,LOF,,,37.0,,COMPLETE
16,0.0,2026-04-28 11:12:26.285585,2026-04-28 11:12:26.293438,0 days 00:00:00.007853,,0.001979407869925237,,,ECOD,,,,,COMPLETE
17,0.034722222222222224,2026-04-28 11:12:26.293603,2026-04-28 11:12:26.854654,0 days 00:00:00.561051,,0.005241306341114712,51.0,,LOF,,,45.0,,COMPLETE
18,0.03731343283582089,2026-04-28 11:12:26.854862,2026-04-28 11:12:27.384642,0 days 00:00:00.529780,,0.0027088479958687433,60.0,,LOF,,,33.0,,COMPLETE
19,0.033112582781456956,2026-04-28 11:12:27.384842,2026-04-28 11:12:27.965363,0 days 00:00:00.580521,,0.007714858802118014,35.0,,LOF,,,71.0,,COMPLETE
20,0.0,2026-04-28 11:12:27.965549,2026-04-28 11:12:27.974098,0 days 00:00:00.008549,,0.0020052193680126108,,,ECOD,,,,,COMPLETE
21,0.03731343283582089,2026-04-28 11:12:27.974276,2026-04-28 11:12:28.505340,0 days 00:00:00.531064,,0.002744914910224093,61.0,,LOF,,,32.0,,COMPLETE
22,0.018518518518518517,2026-04-28 11:12:28.505535,2026-04-28 11:12:29.042675,0 days 00:00:00.537140,,0.003414093766500183,63.0,,LOF,,,28.0,,COMPLETE
23,0.019762845849802372,2026-04-28 11:12:29.042871,2026-04-28 11:12:29.610437,0 days 00:00:00.567566,,0.0010155398607706579,44.0,,LOF,,,51.0,,COMPLETE
24,0.03937007874015748,2026-04-28 11:12:29.610636,2026-04-28 11:12:30.129230,0 days 00:00:00.518594,,0.0019967557329871087,66.0,,LOF,,,21.0,,COMPLETE
