number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.058365758754863814,2026-04-28 10:45:34.508703,2026-04-28 10:45:34.731010,0 days 00:00:00.222307,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.018796992481203006,2026-04-28 10:45:34.731201,2026-04-28 10:45:34.766436,0 days 00:00:00.035235,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.01773049645390071,2026-04-28 10:45:34.766642,2026-04-28 10:45:34.802241,0 days 00:00:00.035599,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.15873015873015872,2026-04-28 10:45:34.802429,2026-04-28 10:45:35.014789,0 days 00:00:00.212360,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.047332185886402756,2026-04-28 10:45:35.015006,2026-04-28 10:45:35.029527,0 days 00:00:00.014521,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.15873015873015872,2026-04-28 10:45:35.029721,2026-04-28 10:45:35.614136,0 days 00:00:00.584415,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.1,2026-04-28 10:45:35.614329,2026-04-28 10:45:36.041030,0 days 00:00:00.426701,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:45:36.041231,2026-04-28 10:45:36.055331,0 days 00:00:00.014100,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.15015015015015015,2026-04-28 10:45:36.055604,2026-04-28 10:45:36.226058,0 days 00:00:00.170454,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06769825918762089,2026-04-28 10:45:36.226295,2026-04-28 10:45:36.260634,0 days 00:00:00.034339,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.0136986301369863,2026-04-28 10:45:36.260838,2026-04-28 10:45:36.298032,0 days 00:00:00.037194,,0.018054373833527988,,,ECOD,,,,,COMPLETE
11,0.2922077922077922,2026-04-28 10:45:36.298248,2026-04-28 10:45:36.939775,0 days 00:00:00.641527,,0.011096121254495772,15.0,,LOF,,,99.0,,COMPLETE
12,0.13333333333333333,2026-04-28 10:45:36.939990,2026-04-28 10:45:37.145700,0 days 00:00:00.205710,,0.010055113087419186,,0.4310039443727755,IForest,,78.0,,,COMPLETE
13,0.2535211267605634,2026-04-28 10:45:37.145925,2026-04-28 10:45:37.829030,0 days 00:00:00.683105,,0.019283335565628137,13.0,,LOF,,,93.0,,COMPLETE
14,0.25862068965517243,2026-04-28 10:45:37.829252,2026-04-28 10:45:38.544997,0 days 00:00:00.715745,,0.017311623440584144,10.0,,LOF,,,100.0,,COMPLETE
15,0.3050847457627119,2026-04-28 10:45:38.545197,2026-04-28 10:45:39.251519,0 days 00:00:00.706322,,0.008868069664102092,10.0,,LOF,,,98.0,,COMPLETE
16,0.3125,2026-04-28 10:45:39.251800,2026-04-28 10:45:39.732898,0 days 00:00:00.481098,,0.007389680707689747,39.0,,LOF,,,65.0,,COMPLETE
17,0.01838235294117647,2026-04-28 10:45:39.733098,2026-04-28 10:45:39.769505,0 days 00:00:00.036407,,0.006148815257855931,,,ECOD,,,,,COMPLETE
18,0.2183406113537118,2026-04-28 10:45:39.769753,2026-04-28 10:45:40.213379,0 days 00:00:00.443626,,0.033067280904310714,48.0,,LOF,,,59.0,,COMPLETE
19,0.31690140845070425,2026-04-28 10:45:40.213585,2026-04-28 10:45:40.687565,0 days 00:00:00.473980,,0.006495976948506647,42.0,,LOF,,,64.0,,COMPLETE
20,0.28957528957528955,2026-04-28 10:45:40.687777,2026-04-28 10:45:41.166951,0 days 00:00:00.479174,,0.003101606675346204,45.0,,LOF,,,66.0,,COMPLETE
21,0.2961672473867596,2026-04-28 10:45:41.167170,2026-04-28 10:45:41.519986,0 days 00:00:00.352816,,0.0067433075188852495,43.0,,LOF,,,38.0,,COMPLETE
22,0.3103448275862069,2026-04-28 10:45:41.520213,2026-04-28 10:45:42.018986,0 days 00:00:00.498773,,0.008193571549422476,32.0,,LOF,,,72.0,,COMPLETE
23,0.33088235294117646,2026-04-28 10:45:42.019330,2026-04-28 10:45:42.527034,0 days 00:00:00.507704,,0.0047552195905901425,34.0,,LOF,,,72.0,,COMPLETE
24,0.01937984496124031,2026-04-28 10:45:42.527263,2026-04-28 10:45:42.544613,0 days 00:00:00.017350,0.01780004897700621,0.004288346044589347,,,HBOS,5.0,,,0.876305428647995,COMPLETE
