number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.22988505747126436,2026-04-28 10:41:53.051278,2026-04-28 10:41:53.074247,0 days 00:00:00.022969,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:41:53.074448,2026-04-28 10:41:53.083263,0 days 00:00:00.008815,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:41:53.083445,2026-04-28 10:41:53.092670,0 days 00:00:00.009225,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.008169934640522876,2026-04-28 10:41:53.092849,2026-04-28 10:41:53.330797,0 days 00:00:00.237948,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.03349282296650718,2026-04-28 10:41:53.331016,2026-04-28 10:41:53.336402,0 days 00:00:00.005386,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:41:53.336578,2026-04-28 10:41:53.410555,0 days 00:00:00.073977,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.048582995951417005,2026-04-28 10:41:53.410747,2026-04-28 10:41:53.880012,0 days 00:00:00.469265,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:41:53.880234,2026-04-28 10:41:53.885956,0 days 00:00:00.005722,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.015432098765432098,2026-04-28 10:41:53.886121,2026-04-28 10:41:54.066585,0 days 00:00:00.180464,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 10:41:54.066784,2026-04-28 10:41:54.076141,0 days 00:00:00.009357,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.36363636363636365,2026-04-28 10:41:54.076336,2026-04-28 10:41:54.101387,0 days 00:00:00.025051,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.3519061583577713,2026-04-28 10:41:54.101594,2026-04-28 10:41:54.125508,0 days 00:00:00.023914,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 10:41:54.125685,2026-04-28 10:41:54.136917,0 days 00:00:00.011232,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.3438395415472779,2026-04-28 10:41:54.137137,2026-04-28 10:41:54.163202,0 days 00:00:00.026065,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.24079320113314448,2026-04-28 10:41:54.163426,2026-04-28 10:41:54.204208,0 days 00:00:00.040782,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.1936619718309859,2026-04-28 10:41:54.204439,2026-04-28 10:41:54.259756,0 days 00:00:00.055317,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.0,2026-04-28 10:41:54.259937,2026-04-28 10:41:54.270242,0 days 00:00:00.010305,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.23595505617977527,2026-04-28 10:41:54.270388,2026-04-28 10:41:54.308885,0 days 00:00:00.038497,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.3872053872053872,2026-04-28 10:41:54.309157,2026-04-28 10:41:54.332197,0 days 00:00:00.023040,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.23381294964028776,2026-04-28 10:41:54.332482,2026-04-28 10:41:54.371558,0 days 00:00:00.039076,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 10:41:54.371785,2026-04-28 10:41:54.382317,0 days 00:00:00.010532,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.32171581769436997,2026-04-28 10:41:54.382498,2026-04-28 10:41:54.407043,0 days 00:00:00.024545,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.32608695652173914,2026-04-28 10:41:54.407238,2026-04-28 10:41:54.439374,0 days 00:00:00.032136,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.0,2026-04-28 10:41:54.439598,2026-04-28 10:41:54.522947,0 days 00:00:00.083349,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.2222222222222222,2026-04-28 10:41:54.523164,2026-04-28 10:41:54.552129,0 days 00:00:00.028965,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
