number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.056622851365015166,2026-04-18 16:41:25.760778,2026-04-18 16:41:25.868285,0 days 00:00:00.107507,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.16157878507554732,2026-04-18 16:41:25.868448,2026-04-18 16:41:28.936905,0 days 00:00:03.068457,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.05823293172690763,2026-04-18 16:41:28.937113,2026-04-18 16:41:28.944971,0 days 00:00:00.007858,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.07,2026-04-18 16:41:28.945087,2026-04-18 16:41:28.953036,0 days 00:00:00.007949,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.12613784135240572,2026-04-18 16:41:28.953165,2026-04-18 16:41:28.961282,0 days 00:00:00.008117,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.06847935548841894,2026-04-18 16:41:28.961394,2026-04-18 16:41:32.253430,0 days 00:00:03.292036,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.08126858275520317,2026-04-18 16:41:32.253615,2026-04-18 16:41:36.339679,0 days 00:00:04.086064,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.07768924302788845,2026-04-18 16:41:36.339867,2026-04-18 16:41:37.642715,0 days 00:00:01.302848,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.05823293172690763,2026-04-18 16:41:37.642906,2026-04-18 16:41:37.651033,0 days 00:00:00.008127,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.04572564612326044,2026-04-18 16:41:37.651182,2026-04-18 16:41:58.748723,0 days 00:00:21.097541,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
