number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.03796203796203796,2026-04-18 16:32:13.232023,2026-04-18 16:32:13.317524,0 days 00:00:00.085501,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.15252621544327932,2026-04-18 16:32:13.317680,2026-04-18 16:32:16.476241,0 days 00:00:03.158561,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.012589928057553957,2026-04-18 16:32:16.476429,2026-04-18 16:32:16.484454,0 days 00:00:00.008025,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.002028397565922921,2026-04-18 16:32:16.484570,2026-04-18 16:32:16.492366,0 days 00:00:00.007796,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.07123834886817576,2026-04-18 16:32:16.492471,2026-04-18 16:32:16.500512,0 days 00:00:00.008041,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0040650406504065045,2026-04-18 16:32:16.500614,2026-04-18 16:32:19.914956,0 days 00:00:03.414342,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.006012024048096192,2026-04-18 16:32:19.915141,2026-04-18 16:32:24.118244,0 days 00:00:04.203103,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.004044489383215369,2026-04-18 16:32:24.118415,2026-04-18 16:32:25.483823,0 days 00:00:01.365408,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.005842259006815969,2026-04-18 16:32:25.484007,2026-04-18 16:32:25.492025,0 days 00:00:00.008018,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.003968253968253968,2026-04-18 16:32:25.492140,2026-04-18 16:32:46.644849,0 days 00:00:21.152709,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.07104413347685684,2026-04-18 16:32:46.645048,2026-04-18 16:32:48.241002,0 days 00:00:01.595954,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.2547085201793722,2026-04-18 16:32:48.241195,2026-04-18 16:32:48.461857,0 days 00:00:00.220662,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.2905215928210881,2026-04-18 16:32:48.462067,2026-04-18 16:32:48.667352,0 days 00:00:00.205285,,0.04576282638077717,,,76.0,,LOF,,,77.0,,,COMPLETE
13,0.3042944785276074,2026-04-18 16:32:48.667562,2026-04-18 16:32:48.875904,0 days 00:00:00.208342,,0.03818492699186816,,,80.0,,LOF,,,78.0,,,COMPLETE
14,0.2996389891696751,2026-04-18 16:32:48.876111,2026-04-18 16:32:49.082522,0 days 00:00:00.206411,,0.03939743363142444,,,79.0,,LOF,,,78.0,,,COMPLETE
15,0.33594306049822065,2026-04-18 16:32:49.082706,2026-04-18 16:32:49.245327,0 days 00:00:00.162621,,0.02505097508632337,,,80.0,,LOF,,,61.0,,,COMPLETE
16,0.34970238095238093,2026-04-18 16:32:49.245502,2026-04-18 16:32:49.394296,0 days 00:00:00.148794,,0.022316618101715594,,,55.0,,LOF,,,54.0,,,COMPLETE
17,0.34549878345498786,2026-04-18 16:32:49.394506,2026-04-18 16:32:49.538897,0 days 00:00:00.144391,,0.016909106187551728,,,50.0,,LOF,,,49.0,,,COMPLETE
18,0.3177570093457944,2026-04-18 16:32:49.539089,2026-04-18 16:32:49.668601,0 days 00:00:00.129512,,0.017450423599859665,,,50.0,,LOF,,,42.0,,,COMPLETE
19,0.17880184331797236,2026-04-18 16:32:49.668770,2026-04-18 16:32:49.804412,0 days 00:00:00.135642,,0.007290985772854349,,,52.0,,LOF,,,45.0,,,COMPLETE
