number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.006483402489626556,2026-04-18 17:54:49.488925,2026-04-18 17:54:54.028074,0 days 00:00:04.539149,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.006426735218508998,2026-04-18 17:54:54.028259,2026-04-18 17:54:54.040946,0 days 00:00:00.012687,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.006384065372829418,2026-04-18 17:54:54.041167,2026-04-18 17:54:54.053753,0 days 00:00:00.012586,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.0673854447439353,2026-04-18 17:54:54.053948,2026-04-18 17:54:54.248729,0 days 00:00:00.194781,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.05262092693786683,2026-04-18 17:54:54.248941,2026-04-18 17:54:54.256353,0 days 00:00:00.007412,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0026055237102657635,2026-04-18 17:54:54.256538,2026-04-18 17:54:59.312359,0 days 00:00:05.055821,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.09353875176858985,2026-04-18 17:54:59.312566,2026-04-18 17:54:59.688384,0 days 00:00:00.375818,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0012966804979253112,2026-04-18 17:54:59.688571,2026-04-18 17:54:59.696495,0 days 00:00:00.007924,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.06923540036122817,2026-04-18 17:54:59.696671,2026-04-18 17:54:59.849958,0 days 00:00:00.153287,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.043579931972789115,2026-04-18 17:54:59.850220,2026-04-18 17:54:59.863001,0 days 00:00:00.012781,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.011133102424542306,2026-04-18 17:54:59.863201,2026-04-18 17:54:59.878217,0 days 00:00:00.015016,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.09353875176858985,2026-04-18 17:54:59.878435,2026-04-18 17:55:00.290756,0 days 00:00:00.412321,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.09353875176858985,2026-04-18 17:55:00.291003,2026-04-18 17:55:00.686238,0 days 00:00:00.395235,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.04156769596199525,2026-04-18 17:55:00.686444,2026-04-18 17:55:01.108225,0 days 00:00:00.421781,,0.024527898153562742,,0.7736713234533222,IForest,,181.0,,,COMPLETE
14,0.07420627465714823,2026-04-18 17:55:01.108420,2026-04-18 17:55:01.463421,0 days 00:00:00.355001,,0.09936984958228698,,0.34597217662356505,IForest,,152.0,,,COMPLETE
15,0.024447031431897557,2026-04-18 17:55:01.463631,2026-04-18 17:55:01.478320,0 days 00:00:00.014689,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.03277861825516894,2026-04-18 17:55:01.478526,2026-04-18 17:55:01.854497,0 days 00:00:00.375971,,0.008603601957366596,,0.8269207755765879,IForest,,141.0,,,COMPLETE
17,0.09353875176858985,2026-04-18 17:55:01.854711,2026-04-18 17:55:02.222365,0 days 00:00:00.367654,,0.1942987161861178,,0.9124072274075682,IForest,,166.0,,,COMPLETE
18,0.05173603127155668,2026-04-18 17:55:02.222557,2026-04-18 17:55:02.481072,0 days 00:00:00.258515,,0.033162620931752464,,0.44848271995072686,IForest,,111.0,,,COMPLETE
19,0.03722084367245657,2026-04-18 17:55:02.481289,2026-04-18 17:55:07.843705,0 days 00:00:05.362416,,0.10221540528889135,14.0,,LOF,,,44.0,,COMPLETE
20,0.09353875176858985,2026-04-18 17:55:07.843896,2026-04-18 17:55:07.857863,0 days 00:00:00.013967,,0.1074492469751725,,,ECOD,,,,,COMPLETE
21,0.09353875176858985,2026-04-18 17:55:07.858058,2026-04-18 17:55:08.292570,0 days 00:00:00.434512,,0.19894698132622327,,0.9818721857450945,IForest,,200.0,,,COMPLETE
22,0.0831858407079646,2026-04-18 17:55:08.292776,2026-04-18 17:55:08.733795,0 days 00:00:00.441019,,0.11791140255874852,,0.8408896612624778,IForest,,192.0,,,COMPLETE
23,0.06351894982002965,2026-04-18 17:55:08.734019,2026-04-18 17:55:09.121069,0 days 00:00:00.387050,,0.05654597245850864,,0.985112054444957,IForest,,169.0,,,COMPLETE
24,0.0831858407079646,2026-04-18 17:55:09.121308,2026-04-18 17:55:09.593623,0 days 00:00:00.472315,,0.14082028689471293,,0.7077576175708232,IForest,,200.0,,,COMPLETE
25,0.006354855109303508,2026-04-18 17:55:09.593846,2026-04-18 17:55:09.606211,0 days 00:00:00.012365,0.01417034028739772,0.08030883281432079,,,HBOS,5.0,,,0.8330312987117048,COMPLETE
26,0.0630846204046117,2026-04-18 17:55:09.606479,2026-04-18 17:55:09.911553,0 days 00:00:00.305074,,0.04583721323958076,,0.8997786391124011,IForest,,127.0,,,COMPLETE
27,0.09353875176858985,2026-04-18 17:55:09.911809,2026-04-18 17:55:10.335713,0 days 00:00:00.423904,,0.19333174231085717,,0.5685905085272529,IForest,,174.0,,,COMPLETE
28,0.03873154199951585,2026-04-18 17:55:10.335926,2026-04-18 17:55:10.692440,0 days 00:00:00.356514,,0.020410495546235644,,0.8949167866216969,IForest,,156.0,,,COMPLETE
29,0.049786628733997154,2026-04-18 17:55:10.692671,2026-04-18 17:55:15.426956,0 days 00:00:04.734285,,0.041455529052762,77.0,,LOF,,,97.0,,COMPLETE
30,0.01224889759921607,2026-04-18 17:55:15.427165,2026-04-18 17:55:15.441579,0 days 00:00:00.014414,,0.015145098866101837,,,COPOD,,,,,COMPLETE
31,0.09353875176858985,2026-04-18 17:55:15.441789,2026-04-18 17:55:15.825624,0 days 00:00:00.383835,,0.19517662275271827,,0.9107787738392961,IForest,,170.0,,,COMPLETE
32,0.0831858407079646,2026-04-18 17:55:15.825841,2026-04-18 17:55:16.248563,0 days 00:00:00.422722,,0.1389233845563006,,0.9235675123850702,IForest,,183.0,,,COMPLETE
33,0.07420627465714823,2026-04-18 17:55:16.248770,2026-04-18 17:55:16.547576,0 days 00:00:00.298806,,0.08777377030261803,,0.9995439275945132,IForest,,159.0,,,COMPLETE
34,0.09353875176858985,2026-04-18 17:55:16.547785,2026-04-18 17:55:16.971461,0 days 00:00:00.423676,,0.1488640753512335,,0.8328643361436573,IForest,,182.0,,,COMPLETE
35,0.09353875176858985,2026-04-18 17:55:16.971647,2026-04-18 17:55:16.987203,0 days 00:00:00.015556,,0.19925685677792968,,,COPOD,,,,,COMPLETE
36,0.006369426751592357,2026-04-18 17:55:16.987419,2026-04-18 17:55:16.999561,0 days 00:00:00.012142,0.49698296467435743,0.005433438557394182,,,HBOS,50.0,,,0.7886664822342316,COMPLETE
37,0.028125799028381488,2026-04-18 17:55:16.999768,2026-04-18 17:55:21.550262,0 days 00:00:04.550494,,0.06678898140858308,50.0,,LOF,,,10.0,,COMPLETE
38,0.006441638752898738,2026-04-18 17:55:21.550460,2026-04-18 17:55:21.885004,0 days 00:00:00.334544,,0.0029299480670204672,,0.9288014684441198,IForest,,147.0,,,COMPLETE
39,0.09353875176858985,2026-04-18 17:55:21.885213,2026-04-18 17:55:21.899831,0 days 00:00:00.014618,,0.13589025114737066,,,ECOD,,,,,COMPLETE
40,0.0425260472039124,2026-04-18 17:55:21.900050,2026-04-18 17:55:21.912239,0 days 00:00:00.012189,0.2131580129780817,0.08157743044236952,,,HBOS,29.0,,,0.09667991924744357,COMPLETE
41,0.09353875176858985,2026-04-18 17:55:21.912450,2026-04-18 17:55:21.927718,0 days 00:00:00.015268,,0.10931718863714827,,,ECOD,,,,,COMPLETE
