number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 17:11:20.593891,2026-04-18 17:11:20.602176,0 days 00:00:00.008285,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.08142493638676845,2026-04-18 17:11:20.602322,2026-04-18 17:11:21.098481,0 days 00:00:00.496159,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.0,2026-04-18 17:11:21.098658,2026-04-18 17:11:21.101562,0 days 00:00:00.002904,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0,2026-04-18 17:11:21.101669,2026-04-18 17:11:21.104485,0 days 00:00:00.002816,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.08253968253968254,2026-04-18 17:11:21.104584,2026-04-18 17:11:21.107482,0 days 00:00:00.002898,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.0,2026-04-18 17:11:21.107599,2026-04-18 17:11:21.636442,0 days 00:00:00.528843,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.0,2026-04-18 17:11:21.636635,2026-04-18 17:11:22.231699,0 days 00:00:00.595064,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.0,2026-04-18 17:11:22.231873,2026-04-18 17:11:22.435288,0 days 00:00:00.203415,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.0,2026-04-18 17:11:22.435487,2026-04-18 17:11:22.438725,0 days 00:00:00.003238,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.0,2026-04-18 17:11:22.438865,2026-04-18 17:11:22.636296,0 days 00:00:00.197431,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.05194805194805195,2026-04-18 17:11:22.636521,2026-04-18 17:11:22.660069,0 days 00:00:00.023548,,0.10709305396188736,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.061224489795918366,2026-04-18 17:11:22.660283,2026-04-18 17:11:22.686262,0 days 00:00:00.025979,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.043478260869565216,2026-04-18 17:11:22.686436,2026-04-18 17:11:23.116782,0 days 00:00:00.430346,,0.04303691834216673,,,,0.6774067518529873,IForest,,276.0,,,,COMPLETE
13,0.014184397163120567,2026-04-18 17:11:23.116999,2026-04-18 17:11:23.125266,0 days 00:00:00.008267,0.058083808327474395,0.036771896235456576,,,,,HBOS,38.0,,,,0.8828608028738248,COMPLETE
14,0.0594059405940594,2026-04-18 17:11:23.125446,2026-04-18 17:11:23.632794,0 days 00:00:00.507348,,0.051017847643284056,,,,0.9884981130560856,IForest,,296.0,,,,COMPLETE
15,0.015384615384615385,2026-04-18 17:11:23.633059,2026-04-18 17:11:23.641033,0 days 00:00:00.007974,0.10210815052932311,0.026320483007575765,,,,,HBOS,39.0,,,,0.5136010781213356,COMPLETE
16,0.028169014084507043,2026-04-18 17:11:23.641172,2026-04-18 17:11:23.661139,0 days 00:00:00.019967,,0.07597170626681614,,,53.0,,LOF,,,59.0,,,COMPLETE
17,0.015748031496062992,2026-04-18 17:11:23.661307,2026-04-18 17:11:24.045655,0 days 00:00:00.384348,,0.018584698152125233,0.9674803505515404,rbf,,,OCSVM,,,,0.39668058297111974,,COMPLETE
18,0.055776892430278883,2026-04-18 17:11:24.045857,2026-04-18 17:11:24.272556,0 days 00:00:00.226699,,0.07616248418145932,,,,0.40340797752043095,IForest,,169.0,,,,COMPLETE
19,0.0,2026-04-18 17:11:24.272743,2026-04-18 17:11:24.280483,0 days 00:00:00.007740,0.46556762025122855,0.014314439914703122,,,,,HBOS,28.0,,,,0.4709056259822392,COMPLETE
20,0.06116207951070336,2026-04-18 17:11:24.280640,2026-04-18 17:11:24.287932,0 days 00:00:00.007292,0.1759141583503075,0.14881928523487994,,,,,HBOS,6.0,,,,0.45568519668873775,COMPLETE
21,0.0903954802259887,2026-04-18 17:11:24.288079,2026-04-18 17:11:24.312539,0 days 00:00:00.024460,,0.1353067520309609,,,79.0,,LOF,,,80.0,,,COMPLETE
22,0.05925925925925926,2026-04-18 17:11:24.312714,2026-04-18 17:11:24.336165,0 days 00:00:00.023451,,0.09259205547421072,,,79.0,,LOF,,,79.0,,,COMPLETE
23,0.03940886699507389,2026-04-18 17:11:24.336297,2026-04-18 17:11:24.351722,0 days 00:00:00.015425,,0.06910076435151571,,,54.0,,LOF,,,41.0,,,COMPLETE
24,0.04,2026-04-18 17:11:24.351835,2026-04-18 17:11:24.368515,0 days 00:00:00.016680,,0.06002363334807409,,,31.0,,LOF,,,53.0,,,COMPLETE
25,0.041666666666666664,2026-04-18 17:11:24.368626,2026-04-18 17:11:24.380239,0 days 00:00:00.011613,,0.028427352291984127,,,65.0,,LOF,,,15.0,,,COMPLETE
26,0.07282913165266107,2026-04-18 17:11:24.380351,2026-04-18 17:11:24.856539,0 days 00:00:00.476188,,0.10635674808492712,,,,0.6168870237802195,IForest,,326.0,,,,COMPLETE
27,0.08211143695014662,2026-04-18 17:11:24.856715,2026-04-18 17:11:24.875801,0 days 00:00:00.019086,,0.11837964787567903,0.000317514622456911,sigmoid,,,OCSVM,,,,0.03325107282749687,,COMPLETE
28,0.0,2026-04-18 17:11:24.875955,2026-04-18 17:11:24.888176,0 days 00:00:00.012221,,0.0043846143907243515,0.00023650966545857267,sigmoid,,,OCSVM,,,,0.014779807939471729,,COMPLETE
29,0.02877697841726619,2026-04-18 17:11:24.888324,2026-04-18 17:11:24.946247,0 days 00:00:00.057923,,0.032541152537129185,0.004154398640583179,sigmoid,,,OCSVM,,,,0.14223146207669857,,COMPLETE
