number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.009441596978688967,2026-04-24 14:13:01.758738,2026-04-24 14:13:01.963014,0 days 00:00:00.204276,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.014792899408284023,2026-04-24 14:13:01.963220,2026-04-24 14:13:01.997499,0 days 00:00:00.034279,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.01607717041800643,2026-04-24 14:13:01.997684,2026-04-24 14:13:02.032332,0 days 00:00:00.034648,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.20130972592772253,2026-04-24 14:13:02.032510,2026-04-24 14:13:02.249701,0 days 00:00:00.217191,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.23870967741935484,2026-04-24 14:13:02.249929,2026-04-24 14:13:02.264032,0 days 00:00:00.014103,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.005402485143165856,2026-04-24 14:13:02.264314,2026-04-24 14:13:02.813203,0 days 00:00:00.548889,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.27550806620574064,2026-04-24 14:13:02.813427,2026-04-24 14:13:03.238177,0 days 00:00:00.424750,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.004046398705152414,2026-04-24 14:13:03.238387,2026-04-24 14:13:03.250818,0 days 00:00:00.012431,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.20717899301373163,2026-04-24 14:13:03.251008,2026-04-24 14:13:03.430943,0 days 00:00:00.179935,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.09762202753441802,2026-04-24 14:13:03.431158,2026-04-24 14:13:03.466351,0 days 00:00:00.035193,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.01855779427359491,2026-04-24 14:13:03.466583,2026-04-24 14:13:03.502553,0 days 00:00:00.035970,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.23514322359982898,2026-04-24 14:13:03.502737,2026-04-24 14:13:03.520530,0 days 00:00:00.017793,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.24472573839662448,2026-04-24 14:13:03.520706,2026-04-24 14:13:03.539134,0 days 00:00:00.018428,0.46475779951576934,0.17081219265120692,,,HBOS,50.0,,,0.06231997266844902,COMPLETE
13,0.08753592892605173,2026-04-24 14:13:03.539403,2026-04-24 14:13:04.038778,0 days 00:00:00.499375,,0.018741943903449996,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.2354373858331642,2026-04-24 14:13:04.038976,2026-04-24 14:13:04.074525,0 days 00:00:00.035549,,0.19885937173278856,,,ECOD,,,,,COMPLETE
15,0.047631307929969106,2026-04-24 14:13:04.074695,2026-04-24 14:13:04.092809,0 days 00:00:00.018114,0.022920361358845703,0.027421114385917815,,,HBOS,34.0,,,0.07936881250464992,COMPLETE
16,0.23328690807799443,2026-04-24 14:13:04.092992,2026-04-24 14:13:04.499829,0 days 00:00:00.406837,,0.09757101165124506,,0.30741954841485813,IForest,,166.0,,,COMPLETE
17,0.0737913486005089,2026-04-24 14:13:04.500084,2026-04-24 14:13:04.517030,0 days 00:00:00.016946,0.28654130621470114,0.03670701766143751,,,HBOS,6.0,,,0.8337807701753166,COMPLETE
18,0.04511677282377919,2026-04-24 14:13:04.517336,2026-04-24 14:13:04.880446,0 days 00:00:00.363110,,0.009289159715129917,,0.7449105408093936,IForest,,133.0,,,COMPLETE
19,0.1161699131659235,2026-04-24 14:13:04.880663,2026-04-24 14:13:05.325232,0 days 00:00:00.444569,,0.09770544219485872,10.0,,LOF,,,49.0,,COMPLETE
20,0.1303735024665257,2026-04-24 14:13:05.325435,2026-04-24 14:13:05.361763,0 days 00:00:00.036328,,0.09680226991674083,,,ECOD,,,,,COMPLETE
21,0.2312513507672358,2026-04-24 14:13:05.361969,2026-04-24 14:13:05.380296,0 days 00:00:00.018327,0.4923542951375607,0.14687204084886302,,,HBOS,48.0,,,0.07955790569150381,COMPLETE
22,0.22548161120840632,2026-04-24 14:13:05.380533,2026-04-24 14:13:05.399686,0 days 00:00:00.019153,0.36742538314084816,0.13781409119113985,,,HBOS,38.0,,,0.36980801809980585,COMPLETE
23,0.10480136485498416,2026-04-24 14:13:05.399895,2026-04-24 14:13:05.418774,0 days 00:00:00.018879,0.37916312505826255,0.06318984968148893,,,HBOS,42.0,,,0.26617911217568113,COMPLETE
24,0.04255867939128192,2026-04-24 14:13:05.418961,2026-04-24 14:13:05.436982,0 days 00:00:00.018021,0.3698122709297547,0.028061064218632657,,,HBOS,26.0,,,0.525673509132266,COMPLETE
