number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.016251354279523293,2026-04-24 14:14:08.564586,2026-04-24 14:14:08.588074,0 days 00:00:00.023488,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.012168739859383451,2026-04-24 14:14:08.588265,2026-04-24 14:14:08.597174,0 days 00:00:00.008909,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.013466199838405602,2026-04-24 14:14:08.597378,2026-04-24 14:14:08.606219,0 days 00:00:00.008841,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.11789525936957061,2026-04-24 14:14:08.606406,2026-04-24 14:14:08.840391,0 days 00:00:00.233985,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.16978667827601218,2026-04-24 14:14:08.840586,2026-04-24 14:14:08.846027,0 days 00:00:00.005441,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-24 14:14:08.846230,2026-04-24 14:14:08.923531,0 days 00:00:00.077301,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.22982418979029867,2026-04-24 14:14:08.923734,2026-04-24 14:14:09.400539,0 days 00:00:00.476805,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0040727667662231876,2026-04-24 14:14:09.400800,2026-04-24 14:14:09.406600,0 days 00:00:00.005800,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.1270350271336951,2026-04-24 14:14:09.406849,2026-04-24 14:14:09.584188,0 days 00:00:00.177339,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.060346995222529544,2026-04-24 14:14:09.584409,2026-04-24 14:14:09.593384,0 days 00:00:00.008975,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.018661690215942415,2026-04-24 14:14:09.593560,2026-04-24 14:14:09.603528,0 days 00:00:00.009968,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.1669576604103012,2026-04-24 14:14:09.603757,2026-04-24 14:14:09.614667,0 days 00:00:00.010910,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.1744061630644126,2026-04-24 14:14:09.614848,2026-04-24 14:14:09.624593,0 days 00:00:00.009745,0.46475779951576934,0.17081219265120692,,,HBOS,50.0,,,0.06231997266844902,COMPLETE
13,0.032068412613575625,2026-04-24 14:14:09.624852,2026-04-24 14:14:10.159530,0 days 00:00:00.534678,,0.018741943903449996,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.18412438625204583,2026-04-24 14:14:10.159743,2026-04-24 14:14:10.169743,0 days 00:00:00.010000,,0.19885937173278856,,,ECOD,,,,,COMPLETE
15,0.04655975168132437,2026-04-24 14:14:10.169903,2026-04-24 14:14:10.179532,0 days 00:00:00.009629,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.10047281323877069,2026-04-24 14:14:10.179715,2026-04-24 14:14:10.189332,0 days 00:00:00.009617,,0.09681165729706535,,,ECOD,,,,,COMPLETE
17,0.057766367137355584,2026-04-24 14:14:10.189504,2026-04-24 14:14:10.647233,0 days 00:00:00.457729,,0.03608931619288565,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.016051364365971106,2026-04-24 14:14:10.647424,2026-04-24 14:14:10.657446,0 days 00:00:00.010022,,0.008229813191132196,,,ECOD,,,,,COMPLETE
19,0.17425650557620817,2026-04-24 14:14:10.657626,2026-04-24 14:14:11.039000,0 days 00:00:00.381374,,0.10729518610236842,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.17298874531054606,2026-04-24 14:14:11.039188,2026-04-24 14:14:11.049948,0 days 00:00:00.010760,,0.19632584745372814,,,ECOD,,,,,COMPLETE
21,0.06733167082294264,2026-04-24 14:14:11.050098,2026-04-24 14:14:11.060111,0 days 00:00:00.010013,0.021100468655599752,0.09351935797897934,,,HBOS,5.0,,,0.07191857296343059,COMPLETE
22,0.19731404958677687,2026-04-24 14:14:11.060253,2026-04-24 14:14:11.069841,0 days 00:00:00.009588,0.28381130569122404,0.19955966007436998,,,HBOS,34.0,,,0.8429458414611918,COMPLETE
23,0.15493278651173387,2026-04-24 14:14:11.069972,2026-04-24 14:14:11.123381,0 days 00:00:00.053409,,0.10771289204588916,10.0,,LOF,,,54.0,,COMPLETE
24,0.09010120957788201,2026-04-24 14:14:11.123623,2026-04-24 14:14:11.526029,0 days 00:00:00.402406,,0.062689289531367,,0.3963968356247332,IForest,,135.0,,,COMPLETE
