number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.07936507936507936,2026-04-28 10:44:12.425806,2026-04-28 10:44:12.877877,0 days 00:00:00.452071,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:44:12.878069,2026-04-28 10:44:12.885688,0 days 00:00:00.007619,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:44:12.885889,2026-04-28 10:44:12.893430,0 days 00:00:00.007541,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.03683241252302026,2026-04-28 10:44:12.893614,2026-04-28 10:44:13.049665,0 days 00:00:00.156051,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.019455252918287938,2026-04-28 10:44:13.049860,2026-04-28 10:44:13.054688,0 days 00:00:00.004828,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.020080321285140562,2026-04-28 10:44:13.054906,2026-04-28 10:44:13.591280,0 days 00:00:00.536374,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.04206098843322818,2026-04-28 10:44:13.591487,2026-04-28 10:44:13.796613,0 days 00:00:00.205126,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:44:13.796840,2026-04-28 10:44:13.801287,0 days 00:00:00.004447,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.04975124378109453,2026-04-28 10:44:13.801446,2026-04-28 10:44:13.890232,0 days 00:00:00.088786,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.018484288354898338,2026-04-28 10:44:13.890471,2026-04-28 10:44:13.897355,0 days 00:00:00.006884,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.07575757575757576,2026-04-28 10:44:13.897552,2026-04-28 10:44:14.352190,0 days 00:00:00.454638,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.07518796992481203,2026-04-28 10:44:14.352415,2026-04-28 10:44:14.809420,0 days 00:00:00.457005,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 10:44:14.809667,2026-04-28 10:44:14.818488,0 days 00:00:00.008821,,0.013941744423372761,,,ECOD,,,,,COMPLETE
13,0.07575757575757576,2026-04-28 10:44:14.818680,2026-04-28 10:44:15.280587,0 days 00:00:00.461907,,0.005243660894310309,75.0,,LOF,,,7.0,,COMPLETE
14,0.06369426751592357,2026-04-28 10:44:15.280793,2026-04-28 10:44:15.755366,0 days 00:00:00.474573,,0.026641960893341532,58.0,,LOF,,,32.0,,COMPLETE
15,0.07936507936507936,2026-04-28 10:44:15.755573,2026-04-28 10:44:16.226361,0 days 00:00:00.470788,,0.0025004788483889567,58.0,,LOF,,,37.0,,COMPLETE
16,0.0,2026-04-28 10:44:16.226612,2026-04-28 10:44:16.235700,0 days 00:00:00.009088,,0.001979407869925237,,,ECOD,,,,,COMPLETE
17,0.07575757575757576,2026-04-28 10:44:16.235913,2026-04-28 10:44:16.748469,0 days 00:00:00.512556,,0.005241306341114712,51.0,,LOF,,,45.0,,COMPLETE
18,0.07936507936507936,2026-04-28 10:44:16.748672,2026-04-28 10:44:17.224181,0 days 00:00:00.475509,,0.0027088479958687433,60.0,,LOF,,,33.0,,COMPLETE
19,0.06896551724137931,2026-04-28 10:44:17.224416,2026-04-28 10:44:17.759427,0 days 00:00:00.535011,,0.007714858802118014,35.0,,LOF,,,71.0,,COMPLETE
20,0.0,2026-04-28 10:44:17.759663,2026-04-28 10:44:17.768002,0 days 00:00:00.008339,,0.0020052193680126108,,,ECOD,,,,,COMPLETE
21,0.07575757575757576,2026-04-28 10:44:17.768195,2026-04-28 10:44:18.245903,0 days 00:00:00.477708,,0.002744914910224093,61.0,,LOF,,,32.0,,COMPLETE
22,0.07407407407407407,2026-04-28 10:44:18.246131,2026-04-28 10:44:18.719139,0 days 00:00:00.473008,,0.003414093766500183,63.0,,LOF,,,28.0,,COMPLETE
23,0.0784313725490196,2026-04-28 10:44:18.719333,2026-04-28 10:44:19.234162,0 days 00:00:00.514829,,0.0010155398607706579,44.0,,LOF,,,51.0,,COMPLETE
24,0.019011406844106463,2026-04-28 10:44:19.234385,2026-04-28 10:44:19.711353,0 days 00:00:00.476968,,0.0019967557329871087,66.0,,LOF,,,21.0,,COMPLETE
