number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.07392607392607392,2026-04-18 16:58:33.052690,2026-04-18 16:58:33.158226,0 days 00:00:00.105536,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.17692307692307693,2026-04-18 16:58:33.158382,2026-04-18 16:58:36.123294,0 days 00:00:02.964912,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.02268041237113402,2026-04-18 16:58:36.123486,2026-04-18 16:58:36.131139,0 days 00:00:00.007653,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.02636916835699797,2026-04-18 16:58:36.131282,2026-04-18 16:58:36.139280,0 days 00:00:00.007998,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.11771995043370508,2026-04-18 16:58:36.139495,2026-04-18 16:58:36.148350,0 days 00:00:00.008855,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.030612244897959183,2026-04-18 16:58:36.148501,2026-04-18 16:58:39.318580,0 days 00:00:03.170079,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.03857868020304569,2026-04-18 16:58:39.318751,2026-04-18 16:58:43.295520,0 days 00:00:03.976769,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.03058103975535168,2026-04-18 16:58:43.295743,2026-04-18 16:58:44.566786,0 days 00:00:01.271043,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.02268041237113402,2026-04-18 16:58:44.566973,2026-04-18 16:58:44.574825,0 days 00:00:00.007852,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.006085192697768763,2026-04-18 16:58:44.574961,2026-04-18 16:59:06.149165,0 days 00:00:21.574204,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.06791907514450866,2026-04-18 16:59:06.149365,2026-04-18 16:59:07.756623,0 days 00:00:01.607258,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.20687418936446172,2026-04-18 16:59:07.756840,2026-04-18 16:59:07.996726,0 days 00:00:00.239886,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.21428571428571427,2026-04-18 16:59:07.996915,2026-04-18 16:59:08.222915,0 days 00:00:00.226000,,0.04576282638077717,,,76.0,,LOF,,,77.0,,,COMPLETE
13,0.19950124688279303,2026-04-18 16:59:08.223106,2026-04-18 16:59:08.454184,0 days 00:00:00.231078,,0.03818492699186816,,,80.0,,LOF,,,78.0,,,COMPLETE
14,0.19950124688279303,2026-04-18 16:59:08.454409,2026-04-18 16:59:08.683953,0 days 00:00:00.229544,,0.03599603588419231,,,79.0,,LOF,,,78.0,,,COMPLETE
15,0.2673434856175973,2026-04-18 16:59:08.684119,2026-04-18 16:59:08.885037,0 days 00:00:00.200918,,0.04526777712120009,,,62.0,,LOF,,,59.0,,,COMPLETE
16,0.2901960784313726,2026-04-18 16:59:08.885225,2026-04-18 16:59:09.089572,0 days 00:00:00.204347,,0.03363343006228371,,,56.0,,LOF,,,53.0,,,COMPLETE
17,0.2378716744913928,2026-04-18 16:59:09.089746,2026-04-18 16:59:09.250360,0 days 00:00:00.160614,,0.019078644159923778,,,53.0,,LOF,,,47.0,,,COMPLETE
18,0.24516129032258063,2026-04-18 16:59:09.250540,2026-04-18 16:59:09.444175,0 days 00:00:00.193635,,0.019744534890275105,,,55.0,,LOF,,,49.0,,,COMPLETE
19,0.27459016393442626,2026-04-18 16:59:09.444388,2026-04-18 16:59:09.641183,0 days 00:00:00.196795,,0.06542183122944857,,,62.0,,LOF,,,57.0,,,COMPLETE
20,0.04482594182164998,2026-04-18 16:59:09.641363,2026-04-18 16:59:16.321004,0 days 00:00:06.679641,,0.07176613512589408,0.7937580731016354,sigmoid,,,OCSVM,,,,0.08080797119846915,,COMPLETE
21,0.2741687979539642,2026-04-18 16:59:16.321202,2026-04-18 16:59:16.511788,0 days 00:00:00.190586,,0.06320678571310524,,,60.0,,LOF,,,59.0,,,COMPLETE
22,0.2725430597771023,2026-04-18 16:59:16.511988,2026-04-18 16:59:16.693006,0 days 00:00:00.181018,,0.07547595246465659,,,63.0,,LOF,,,58.0,,,COMPLETE
23,0.2088698140200286,2026-04-18 16:59:16.693180,2026-04-18 16:59:16.888124,0 days 00:00:00.194944,,0.02401283001701569,,,41.0,,LOF,,,62.0,,,COMPLETE
24,0.36401673640167365,2026-04-18 16:59:16.888306,2026-04-18 16:59:17.022251,0 days 00:00:00.133945,,0.07424660147243661,,,43.0,,LOF,,,32.0,,,COMPLETE
25,0.34309623430962344,2026-04-18 16:59:17.022428,2026-04-18 16:59:17.141895,0 days 00:00:00.119467,,0.013796060422412692,,,42.0,,LOF,,,25.0,,,COMPLETE
26,0.29310344827586204,2026-04-18 16:59:17.142073,2026-04-18 16:59:17.268851,0 days 00:00:00.126778,,0.01242729085642235,,,40.0,,LOF,,,29.0,,,COMPLETE
27,0.27676240208877284,2026-04-18 16:59:17.269023,2026-04-18 16:59:17.392682,0 days 00:00:00.123659,,0.011098353920515032,,,40.0,,LOF,,,28.0,,,COMPLETE
28,0.034318398474737846,2026-04-18 16:59:17.392865,2026-04-18 16:59:58.187722,0 days 00:00:40.794857,,0.005973383397751176,0.000487964369362564,rbf,,,OCSVM,,,,0.3865720521599313,,COMPLETE
29,0.10951008645533142,2026-04-18 16:59:58.187916,2026-04-18 16:59:58.329876,0 days 00:00:00.141960,,0.004602989025289872,,,40.0,,LOF,,,35.0,,,COMPLETE
