number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.20833333333333334,2026-04-28 11:37:19.934863,2026-04-28 11:37:20.367312,0 days 00:00:00.432449,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:37:20.367491,2026-04-28 11:37:20.373258,0 days 00:00:00.005767,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:37:20.373370,2026-04-28 11:37:20.380367,0 days 00:00:00.006997,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.020964360587002098,2026-04-28 11:37:20.380525,2026-04-28 11:37:20.485098,0 days 00:00:00.104573,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.007598784194528876,2026-04-28 11:37:20.485268,2026-04-28 11:37:20.489314,0 days 00:00:00.004046,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.22727272727272727,2026-04-28 11:37:20.489433,2026-04-28 11:37:21.005008,0 days 00:00:00.515575,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.023310023310023312,2026-04-28 11:37:21.005181,2026-04-28 11:37:21.199342,0 days 00:00:00.194161,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:37:21.199524,2026-04-28 11:37:21.203516,0 days 00:00:00.003992,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.020964360587002098,2026-04-28 11:37:21.203637,2026-04-28 11:37:21.285311,0 days 00:00:00.081674,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 11:37:21.285491,2026-04-28 11:37:21.291278,0 days 00:00:00.005787,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.12903225806451613,2026-04-28 11:37:21.291387,2026-04-28 11:37:21.858717,0 days 00:00:00.567330,,0.012278360049275504,15.0,,LOF,,,98.0,,COMPLETE
11,0.21739130434782608,2026-04-28 11:37:21.858900,2026-04-28 11:37:22.299338,0 days 00:00:00.440438,,0.0012277440743282356,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:37:22.299548,2026-04-28 11:37:22.306779,0 days 00:00:00.007231,,0.00103656973932176,,,ECOD,,,,,COMPLETE
13,0.14184397163120568,2026-04-28 11:37:22.306910,2026-04-28 11:37:22.808522,0 days 00:00:00.501612,,0.007486841698550976,30.0,,LOF,,,79.0,,COMPLETE
14,0.05154639175257732,2026-04-28 11:37:22.808709,2026-04-28 11:37:23.258293,0 days 00:00:00.449584,,0.0020587843387936487,80.0,,LOF,,,20.0,,COMPLETE
15,0.10582010582010581,2026-04-28 11:37:23.258491,2026-04-28 11:37:23.745106,0 days 00:00:00.486615,,0.01863068988109257,50.0,,LOF,,,52.0,,COMPLETE
16,0.0,2026-04-28 11:37:23.745278,2026-04-28 11:37:23.752488,0 days 00:00:00.007210,,0.004885145128301496,,,ECOD,,,,,COMPLETE
17,0.058823529411764705,2026-04-28 11:37:23.752614,2026-04-28 11:37:24.238509,0 days 00:00:00.485895,,0.0015135616660038828,45.0,,LOF,,,51.0,,COMPLETE
18,0.11494252873563218,2026-04-28 11:37:24.238681,2026-04-28 11:37:24.714377,0 days 00:00:00.475696,,0.018524587675964224,29.0,,LOF,,,29.0,,COMPLETE
19,0.058823529411764705,2026-04-28 11:37:24.714561,2026-04-28 11:37:25.194860,0 days 00:00:00.480299,,0.0035960452371579777,58.0,,LOF,,,80.0,,COMPLETE
20,0.0,2026-04-28 11:37:25.195055,2026-04-28 11:37:25.202380,0 days 00:00:00.007325,,0.010171103530622764,,,ECOD,,,,,COMPLETE
21,0.19607843137254902,2026-04-28 11:37:25.202504,2026-04-28 11:37:25.642336,0 days 00:00:00.439832,,0.0019074773869405897,73.0,,LOF,,,7.0,,COMPLETE
22,0.20408163265306123,2026-04-28 11:37:25.642532,2026-04-28 11:37:26.084467,0 days 00:00:00.441935,,0.00240408583426636,68.0,,LOF,,,8.0,,COMPLETE
23,0.0,2026-04-28 11:37:26.084655,2026-04-28 11:37:26.536755,0 days 00:00:00.452100,,0.001011798467843789,65.0,,LOF,,,30.0,,COMPLETE
24,0.21505376344086022,2026-04-28 11:37:26.536941,2026-04-28 11:37:26.982184,0 days 00:00:00.445243,,0.001826814639706856,79.0,,LOF,,,5.0,,COMPLETE
