number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0,2026-04-28 11:38:57.711786,2026-04-28 11:38:57.733830,0 days 00:00:00.022044,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.6796116504854369,2026-04-28 11:38:57.734019,2026-04-28 11:38:57.742586,0 days 00:00:00.008567,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.6306306306306306,2026-04-28 11:38:57.742732,2026-04-28 11:38:57.751407,0 days 00:00:00.008675,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.19961977186311788,2026-04-28 11:38:57.751571,2026-04-28 11:38:57.961498,0 days 00:00:00.209927,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.13059701492537312,2026-04-28 11:38:57.961688,2026-04-28 11:38:57.966795,0 days 00:00:00.005107,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.2808988764044944,2026-04-28 11:38:57.966935,2026-04-28 11:38:58.035879,0 days 00:00:00.068944,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.0948509485094851,2026-04-28 11:38:58.036084,2026-04-28 11:38:58.443732,0 days 00:00:00.407648,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.7142857142857143,2026-04-28 11:38:58.443915,2026-04-28 11:38:58.448795,0 days 00:00:00.004880,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.19160583941605838,2026-04-28 11:38:58.448927,2026-04-28 11:38:58.614509,0 days 00:00:00.165582,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.27631578947368424,2026-04-28 11:38:58.614711,2026-04-28 11:38:58.624116,0 days 00:00:00.009405,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.8015267175572519,2026-04-28 11:38:58.624297,2026-04-28 11:38:58.633863,0 days 00:00:00.009566,0.06882200830208379,0.012278360049275504,,,HBOS,9.0,,,0.06823524276660511,COMPLETE
11,0.9259259259259259,2026-04-28 11:38:58.634030,2026-04-28 11:38:58.643748,0 days 00:00:00.009718,0.05005604936605759,0.011695189205956988,,,HBOS,8.0,,,0.05324023666780866,COMPLETE
12,0.9223300970873787,2026-04-28 11:38:58.643955,2026-04-28 11:38:58.653319,0 days 00:00:00.009364,0.027335282201789195,0.013083800167748908,,,HBOS,6.0,,,0.06397379356817072,COMPLETE
13,0.6402439024390244,2026-04-28 11:38:58.653525,2026-04-28 11:38:58.663733,0 days 00:00:00.010208,,0.013471510341000598,,,ECOD,,,,,COMPLETE
14,0.9223300970873787,2026-04-28 11:38:58.663912,2026-04-28 11:38:58.673605,0 days 00:00:00.009693,0.041709653961532395,0.007202354416257253,,,HBOS,5.0,,,0.7974806689099285,COMPLETE
15,0.6325301204819277,2026-04-28 11:38:58.673780,2026-04-28 11:38:58.683744,0 days 00:00:00.009964,0.026457083617891286,0.02791226832916167,,,HBOS,23.0,,,0.05496072076262733,COMPLETE
16,0.47297297297297297,2026-04-28 11:38:58.683971,2026-04-28 11:38:58.694822,0 days 00:00:00.010851,,0.022703014104667418,,,ECOD,,,,,COMPLETE
17,0.9223300970873787,2026-04-28 11:38:58.695001,2026-04-28 11:38:58.704566,0 days 00:00:00.009565,0.19783431537650595,0.007525647231382713,,,HBOS,5.0,,,0.25502857302490994,COMPLETE
18,0.5023923444976076,2026-04-28 11:38:58.704753,2026-04-28 11:38:58.714556,0 days 00:00:00.009803,0.13532963683114058,0.022858760536492995,,,HBOS,38.0,,,0.6508362995173806,COMPLETE
19,0.860655737704918,2026-04-28 11:38:58.714840,2026-04-28 11:38:58.724975,0 days 00:00:00.010135,0.3143555198603535,0.008281232284409199,,,HBOS,16.0,,,0.4987877225903462,COMPLETE
20,0.0,2026-04-28 11:38:58.725152,2026-04-28 11:38:58.773926,0 days 00:00:00.048774,,0.036126449192315876,10.0,,LOF,,,54.0,,COMPLETE
21,0.9223300970873787,2026-04-28 11:38:58.774142,2026-04-28 11:38:58.784463,0 days 00:00:00.010321,0.02973608381413017,0.006439644302146614,,,HBOS,6.0,,,0.8610952485794617,COMPLETE
22,0.8333333333333334,2026-04-28 11:38:58.784639,2026-04-28 11:38:58.794005,0 days 00:00:00.009366,0.07871653474608628,0.015640165227804845,,,HBOS,13.0,,,0.8902195157890458,COMPLETE
23,0.9223300970873787,2026-04-28 11:38:58.794151,2026-04-28 11:38:58.804908,0 days 00:00:00.010757,0.12656684311456537,0.004190608700220831,,,HBOS,5.0,,,0.17940413752016227,COMPLETE
24,0.860655737704918,2026-04-28 11:38:58.805156,2026-04-28 11:38:58.814957,0 days 00:00:00.009801,0.11479066350456295,0.010128365864809414,,,HBOS,32.0,,,0.6667638297387976,COMPLETE
