number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.009462016761286834,2026-04-24 14:12:41.766330,2026-04-24 14:12:41.975585,0 days 00:00:00.209255,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.006751282743721307,2026-04-24 14:12:41.975771,2026-04-24 14:12:42.009389,0 days 00:00:00.033618,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.008088433540037746,2026-04-24 14:12:42.009576,2026-04-24 14:12:42.043073,0 days 00:00:00.033497,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.16056758775205376,2026-04-24 14:12:42.043255,2026-04-24 14:12:42.259100,0 days 00:00:00.215845,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.18021978021978022,2026-04-24 14:12:42.259303,2026-04-24 14:12:42.272619,0 days 00:00:00.013316,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.006771397616468039,2026-04-24 14:12:42.272832,2026-04-24 14:12:42.851271,0 days 00:00:00.578439,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.2554278416347382,2026-04-24 14:12:42.851500,2026-04-24 14:12:43.272834,0 days 00:00:00.421334,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.006771397616468039,2026-04-24 14:12:43.273035,2026-04-24 14:12:43.285472,0 days 00:00:00.012437,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.17660044150110377,2026-04-24 14:12:43.285658,2026-04-24 14:12:43.457441,0 days 00:00:00.171783,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.07406477529500377,2026-04-24 14:12:43.457642,2026-04-24 14:12:43.492402,0 days 00:00:00.034760,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.020053475935828877,2026-04-24 14:12:43.492615,2026-04-24 14:12:43.528527,0 days 00:00:00.035912,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.18599086360670003,2026-04-24 14:12:43.528813,2026-04-24 14:12:43.547138,0 days 00:00:00.018325,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.2224087284934956,2026-04-24 14:12:43.547335,2026-04-24 14:12:43.565720,0 days 00:00:00.018385,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.07259767687434002,2026-04-24 14:12:43.565872,2026-04-24 14:12:44.051694,0 days 00:00:00.485822,,0.01956291363650499,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.2437525604260549,2026-04-24 14:12:44.051918,2026-04-24 14:12:44.087155,0 days 00:00:00.035237,,0.1989058004810467,,,ECOD,,,,,COMPLETE
15,0.044444444444444446,2026-04-24 14:12:44.087362,2026-04-24 14:12:44.123298,0 days 00:00:00.035936,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.01476510067114094,2026-04-24 14:12:44.123502,2026-04-24 14:12:44.161442,0 days 00:00:00.037940,,0.009442640435834046,,,ECOD,,,,,COMPLETE
17,0.2066115702479339,2026-04-24 14:12:44.161645,2026-04-24 14:12:44.567677,0 days 00:00:00.406032,,0.09825005130624256,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.05412371134020619,2026-04-24 14:12:44.567898,2026-04-24 14:12:44.602073,0 days 00:00:00.034175,,0.03552888839001809,,,ECOD,,,,,COMPLETE
19,0.21591970121381887,2026-04-24 14:12:44.602284,2026-04-24 14:12:44.963922,0 days 00:00:00.361638,,0.10730238726559596,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.014780972856758936,2026-04-24 14:12:44.964174,2026-04-24 14:12:45.000350,0 days 00:00:00.036176,,0.0078623890631114,,,ECOD,,,,,COMPLETE
21,0.2599388379204893,2026-04-24 14:12:45.000553,2026-04-24 14:12:45.016707,0 days 00:00:00.016154,0.021100468655599752,0.1991209331470552,,,HBOS,5.0,,,0.8922132554275863,COMPLETE
22,0.2793637846655791,2026-04-24 14:12:45.016914,2026-04-24 14:12:45.034893,0 days 00:00:00.017979,0.028210190924625157,0.19956009557255325,,,HBOS,6.0,,,0.891629644915708,COMPLETE
23,0.1264614650441422,2026-04-24 14:12:45.035126,2026-04-24 14:12:45.051751,0 days 00:00:00.016625,0.010909696610593054,0.09394695496010873,,,HBOS,5.0,,,0.8762155821468893,COMPLETE
24,0.1841620626151013,2026-04-24 14:12:45.051977,2026-04-24 14:12:45.068746,0 days 00:00:00.016769,0.011464158881944167,0.11551585663562057,,,HBOS,8.0,,,0.5976553058828586,COMPLETE
