number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.03351379221448827,2026-04-18 17:54:35.562083,2026-04-18 17:54:35.631409,0 days 00:00:00.069326,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.006431695394906097,2026-04-18 17:54:35.631593,2026-04-18 17:54:35.652210,0 days 00:00:00.020617,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.007678525723061172,2026-04-18 17:54:35.652459,2026-04-18 17:54:35.672858,0 days 00:00:00.020399,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.10764814435103547,2026-04-18 17:54:35.673077,2026-04-18 17:54:36.279197,0 days 00:00:00.606120,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.11347057869995136,2026-04-18 17:54:36.279392,2026-04-18 17:54:36.290411,0 days 00:00:00.011019,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.034946932435930625,2026-04-18 17:54:36.290648,2026-04-18 17:54:36.553872,0 days 00:00:00.263224,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.20745069393718044,2026-04-18 17:54:36.554093,2026-04-18 17:54:37.817981,0 days 00:00:01.263888,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0025974025974025974,2026-04-18 17:54:37.818173,2026-04-18 17:54:37.827249,0 days 00:00:00.009076,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.16575702445926824,2026-04-18 17:54:37.827425,2026-04-18 17:54:38.300528,0 days 00:00:00.473103,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06075463653805159,2026-04-18 17:54:38.300724,2026-04-18 17:54:38.321070,0 days 00:00:00.020346,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.0161090458488228,2026-04-18 17:54:38.321280,2026-04-18 17:54:38.342778,0 days 00:00:00.021498,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.2107307249712313,2026-04-18 17:54:38.342967,2026-04-18 17:54:39.743432,0 days 00:00:01.400465,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
