number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.20754716981132076,2026-04-28 10:45:27.477280,2026-04-28 10:45:27.501362,0 days 00:00:00.024082,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:45:27.501566,2026-04-28 10:45:27.510596,0 days 00:00:00.009030,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.01773049645390071,2026-04-28 10:45:27.510777,2026-04-28 10:45:27.519916,0 days 00:00:00.009139,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.03241491085899514,2026-04-28 10:45:27.520119,2026-04-28 10:45:27.748227,0 days 00:00:00.228108,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.043029259896729774,2026-04-28 10:45:27.748434,2026-04-28 10:45:27.754332,0 days 00:00:00.005898,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:45:27.754558,2026-04-28 10:45:27.829107,0 days 00:00:00.074549,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.06033182503770739,2026-04-28 10:45:27.829348,2026-04-28 10:45:28.285989,0 days 00:00:00.456641,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:45:28.286206,2026-04-28 10:45:28.291291,0 days 00:00:00.005085,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.045317220543806644,2026-04-28 10:45:28.291447,2026-04-28 10:45:28.470358,0 days 00:00:00.178911,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0364963503649635,2026-04-28 10:45:28.470572,2026-04-28 10:45:28.479567,0 days 00:00:00.008995,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.3639240506329114,2026-04-28 10:45:28.479758,2026-04-28 10:45:28.505984,0 days 00:00:00.026226,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.3627760252365931,2026-04-28 10:45:28.506209,2026-04-28 10:45:28.534119,0 days 00:00:00.027910,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.015479876160990712,2026-04-28 10:45:28.534326,2026-04-28 10:45:28.544775,0 days 00:00:00.010449,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.3627760252365931,2026-04-28 10:45:28.544981,2026-04-28 10:45:28.571824,0 days 00:00:00.026843,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.0,2026-04-28 10:45:28.572058,2026-04-28 10:45:28.612317,0 days 00:00:00.040259,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.0,2026-04-28 10:45:28.612569,2026-04-28 10:45:28.667010,0 days 00:00:00.054441,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.023923444976076555,2026-04-28 10:45:28.667237,2026-04-28 10:45:28.677825,0 days 00:00:00.010588,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.05482456140350877,2026-04-28 10:45:28.678095,2026-04-28 10:45:28.713723,0 days 00:00:00.035628,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.3645833333333333,2026-04-28 10:45:28.713961,2026-04-28 10:45:28.737428,0 days 00:00:00.023467,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.0,2026-04-28 10:45:28.737629,2026-04-28 10:45:28.778735,0 days 00:00:00.041106,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 10:45:28.778929,2026-04-28 10:45:28.789430,0 days 00:00:00.010501,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.359375,2026-04-28 10:45:28.789680,2026-04-28 10:45:28.815060,0 days 00:00:00.025380,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.11589403973509933,2026-04-28 10:45:28.815294,2026-04-28 10:45:28.849309,0 days 00:00:00.034015,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.04155124653739612,2026-04-28 10:45:28.849523,2026-04-28 10:45:28.930801,0 days 00:00:00.081278,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.05415162454873646,2026-04-28 10:45:28.931018,2026-04-28 10:45:28.962257,0 days 00:00:00.031239,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
