number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.4166666666666667,2026-04-28 11:38:28.982053,2026-04-28 11:38:29.004193,0 days 00:00:00.022140,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.04504504504504504,2026-04-28 11:38:29.004357,2026-04-28 11:38:29.012339,0 days 00:00:00.007982,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0423728813559322,2026-04-28 11:38:29.012457,2026-04-28 11:38:29.020293,0 days 00:00:00.007836,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.062111801242236024,2026-04-28 11:38:29.020414,2026-04-28 11:38:29.235002,0 days 00:00:00.214588,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.02631578947368421,2026-04-28 11:38:29.235178,2026-04-28 11:38:29.239888,0 days 00:00:00.004710,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:38:29.240013,2026-04-28 11:38:29.308667,0 days 00:00:00.068654,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.03762541806020067,2026-04-28 11:38:29.308857,2026-04-28 11:38:29.737754,0 days 00:00:00.428897,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:38:29.737935,2026-04-28 11:38:29.742421,0 days 00:00:00.004486,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.07285974499089254,2026-04-28 11:38:29.742562,2026-04-28 11:38:29.915875,0 days 00:00:00.173313,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.03826530612244898,2026-04-28 11:38:29.916054,2026-04-28 11:38:29.924314,0 days 00:00:00.008260,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.9663865546218487,2026-04-28 11:38:29.924434,2026-04-28 11:38:29.947884,0 days 00:00:00.023450,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.8984375,2026-04-28 11:38:29.948044,2026-04-28 11:38:29.971763,0 days 00:00:00.023719,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.10067114093959731,2026-04-28 11:38:29.971925,2026-04-28 11:38:29.981392,0 days 00:00:00.009467,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.8984375,2026-04-28 11:38:29.981527,2026-04-28 11:38:30.005365,0 days 00:00:00.023838,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.2459016393442623,2026-04-28 11:38:30.005530,2026-04-28 11:38:30.042093,0 days 00:00:00.036563,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.033112582781456956,2026-04-28 11:38:30.042262,2026-04-28 11:38:30.092029,0 days 00:00:00.049767,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.05859375,2026-04-28 11:38:30.092213,2026-04-28 11:38:30.101756,0 days 00:00:00.009543,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.2787456445993031,2026-04-28 11:38:30.101901,2026-04-28 11:38:30.134923,0 days 00:00:00.033022,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.9663865546218487,2026-04-28 11:38:30.135090,2026-04-28 11:38:30.156854,0 days 00:00:00.021764,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.07575757575757576,2026-04-28 11:38:30.157015,2026-04-28 11:38:30.194208,0 days 00:00:00.037193,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.09009009009009009,2026-04-28 11:38:30.194387,2026-04-28 11:38:30.203971,0 days 00:00:00.009584,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.8984375,2026-04-28 11:38:30.204117,2026-04-28 11:38:30.226484,0 days 00:00:00.022367,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.423728813559322,2026-04-28 11:38:30.226660,2026-04-28 11:38:30.256861,0 days 00:00:00.030201,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.03067484662576687,2026-04-28 11:38:30.257040,2026-04-28 11:38:30.331839,0 days 00:00:00.074799,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.13513513513513514,2026-04-28 11:38:30.332017,2026-04-28 11:38:30.360174,0 days 00:00:00.028157,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
