number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.22522522522522523,2026-04-28 11:38:17.032868,2026-04-28 11:38:17.535143,0 days 00:00:00.502275,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:38:17.535330,2026-04-28 11:38:17.541533,0 days 00:00:00.006203,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:38:17.541665,2026-04-28 11:38:17.547686,0 days 00:00:00.006021,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.049019607843137254,2026-04-28 11:38:17.547832,2026-04-28 11:38:17.649853,0 days 00:00:00.102021,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.030864197530864196,2026-04-28 11:38:17.650046,2026-04-28 11:38:17.654213,0 days 00:00:00.004167,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.10638297872340426,2026-04-28 11:38:17.654338,2026-04-28 11:38:18.233412,0 days 00:00:00.579074,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.026232948583420776,2026-04-28 11:38:18.233595,2026-04-28 11:38:18.432870,0 days 00:00:00.199275,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:38:18.433057,2026-04-28 11:38:18.437232,0 days 00:00:00.004175,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.049019607843137254,2026-04-28 11:38:18.437358,2026-04-28 11:38:18.508451,0 days 00:00:00.071093,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.04,2026-04-28 11:38:18.508624,2026-04-28 11:38:18.514609,0 days 00:00:00.005985,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.2066115702479339,2026-04-28 11:38:18.514724,2026-04-28 11:38:19.026167,0 days 00:00:00.511443,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.1968503937007874,2026-04-28 11:38:19.026360,2026-04-28 11:38:19.530131,0 days 00:00:00.503771,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:38:19.530317,2026-04-28 11:38:19.537978,0 days 00:00:00.007661,,0.013941744423372761,,,ECOD,,,,,COMPLETE
13,0.1968503937007874,2026-04-28 11:38:19.538145,2026-04-28 11:38:20.043746,0 days 00:00:00.505601,,0.005243660894310309,75.0,,LOF,,,7.0,,COMPLETE
14,0.10526315789473684,2026-04-28 11:38:20.043932,2026-04-28 11:38:20.559060,0 days 00:00:00.515128,,0.026641960893341532,58.0,,LOF,,,32.0,,COMPLETE
15,0.19230769230769232,2026-04-28 11:38:20.559267,2026-04-28 11:38:21.076358,0 days 00:00:00.517091,,0.0025004788483889567,58.0,,LOF,,,37.0,,COMPLETE
16,0.0,2026-04-28 11:38:21.076563,2026-04-28 11:38:21.083966,0 days 00:00:00.007403,,0.008168969054228564,,,ECOD,,,,,COMPLETE
17,0.2066115702479339,2026-04-28 11:38:21.084109,2026-04-28 11:38:21.590423,0 days 00:00:00.506314,,0.022811885094711503,80.0,,LOF,,,5.0,,COMPLETE
18,0.10638297872340426,2026-04-28 11:38:21.590643,2026-04-28 11:38:22.132635,0 days 00:00:00.541992,,0.0022827753852065584,58.0,,LOF,,,75.0,,COMPLETE
19,0.1360544217687075,2026-04-28 11:38:22.132835,2026-04-28 11:38:22.731451,0 days 00:00:00.598616,,0.007682893001375354,17.0,,LOF,,,31.0,,COMPLETE
20,0.022123893805309734,2026-04-28 11:38:22.731644,2026-04-28 11:38:22.739458,0 days 00:00:00.007814,,0.023715381073492203,,,ECOD,,,,,COMPLETE
21,0.1968503937007874,2026-04-28 11:38:22.739616,2026-04-28 11:38:23.254535,0 days 00:00:00.514919,,0.02562650718219321,80.0,,LOF,,,7.0,,COMPLETE
22,0.136986301369863,2026-04-28 11:38:23.254728,2026-04-28 11:38:23.765486,0 days 00:00:00.510758,,0.03852726857182039,69.0,,LOF,,,19.0,,COMPLETE
23,0.14388489208633093,2026-04-28 11:38:23.765674,2026-04-28 11:38:24.275891,0 days 00:00:00.510217,,0.009117675609183511,67.0,,LOF,,,19.0,,COMPLETE
24,0.05859375,2026-04-28 11:38:24.276092,2026-04-28 11:38:24.802331,0 days 00:00:00.526239,,0.0967434680024243,67.0,,LOF,,,53.0,,COMPLETE
