number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.13157894736842105,2026-04-28 10:44:53.230540,2026-04-28 10:44:53.254995,0 days 00:00:00.024455,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:44:53.255228,2026-04-28 10:44:53.264449,0 days 00:00:00.009221,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:44:53.264622,2026-04-28 10:44:53.273612,0 days 00:00:00.008990,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.06451612903225806,2026-04-28 10:44:53.273743,2026-04-28 10:44:53.493902,0 days 00:00:00.220159,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.06607929515418502,2026-04-28 10:44:53.494098,2026-04-28 10:44:53.499306,0 days 00:00:00.005208,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:44:53.499467,2026-04-28 10:44:53.576856,0 days 00:00:00.077389,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.055248618784530384,2026-04-28 10:44:53.577068,2026-04-28 10:44:54.010295,0 days 00:00:00.433227,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:44:54.010502,2026-04-28 10:44:54.015759,0 days 00:00:00.005257,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.046801872074883,2026-04-28 10:44:54.015950,2026-04-28 10:44:54.191396,0 days 00:00:00.175446,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.009174311926605505,2026-04-28 10:44:54.191627,2026-04-28 10:44:54.200980,0 days 00:00:00.009353,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.27972027972027974,2026-04-28 10:44:54.201177,2026-04-28 10:44:54.227029,0 days 00:00:00.025852,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.2846975088967972,2026-04-28 10:44:54.227220,2026-04-28 10:44:54.254252,0 days 00:00:00.027032,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 10:44:54.254518,2026-04-28 10:44:54.265106,0 days 00:00:00.010588,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.2846975088967972,2026-04-28 10:44:54.265307,2026-04-28 10:44:54.292275,0 days 00:00:00.026968,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.16666666666666666,2026-04-28 10:44:54.292480,2026-04-28 10:44:54.334034,0 days 00:00:00.041554,,0.026641960893341532,80.0,,LOF,,,35.0,,COMPLETE
15,0.05514705882352941,2026-04-28 10:44:54.334229,2026-04-28 10:44:54.373204,0 days 00:00:00.038975,,0.00614072248611863,53.0,,LOF,,,35.0,,COMPLETE
16,0.026954177897574125,2026-04-28 10:44:54.373397,2026-04-28 10:44:54.383810,0 days 00:00:00.010413,,0.023350809989676466,,,ECOD,,,,,COMPLETE
17,0.27972027972027974,2026-04-28 10:44:54.384007,2026-04-28 10:44:54.410208,0 days 00:00:00.026201,,0.00891276795886596,56.0,,LOF,,,5.0,,COMPLETE
18,0.17105263157894737,2026-04-28 10:44:54.410481,2026-04-28 10:44:54.449433,0 days 00:00:00.038952,,0.022991636299556074,17.0,,LOF,,,35.0,,COMPLETE
19,0.021929824561403508,2026-04-28 10:44:54.449645,2026-04-28 10:44:54.518135,0 days 00:00:00.068490,,0.033613837138551164,64.0,,LOF,,,71.0,,COMPLETE
20,0.0,2026-04-28 10:44:54.518333,2026-04-28 10:44:54.528581,0 days 00:00:00.010248,,0.005937908750159468,,,ECOD,,,,,COMPLETE
21,0.2891156462585034,2026-04-28 10:44:54.528776,2026-04-28 10:44:54.556268,0 days 00:00:00.027492,,0.01580608352107629,80.0,,LOF,,,8.0,,COMPLETE
22,0.22727272727272727,2026-04-28 10:44:54.556471,2026-04-28 10:44:54.591921,0 days 00:00:00.035450,,0.016067446537524135,80.0,,LOF,,,24.0,,COMPLETE
23,0.22658610271903323,2026-04-28 10:44:54.592120,2026-04-28 10:44:54.626162,0 days 00:00:00.034042,,0.016426908736614475,66.0,,LOF,,,21.0,,COMPLETE
24,0.17857142857142858,2026-04-28 10:44:54.626372,2026-04-28 10:44:54.658768,0 days 00:00:00.032396,,0.008154536928284021,67.0,,LOF,,,18.0,,COMPLETE
