number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.001352447930754666,2026-04-24 14:12:31.818516,2026-04-24 14:12:31.840858,0 days 00:00:00.022342,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.02702702702702703,2026-04-24 14:12:31.841058,2026-04-24 14:12:31.850243,0 days 00:00:00.009185,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.04310344827586207,2026-04-24 14:12:31.850425,2026-04-24 14:12:31.859394,0 days 00:00:00.008969,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.19268532155130094,2026-04-24 14:12:31.859565,2026-04-24 14:12:32.087230,0 days 00:00:00.227665,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.23284870513403,2026-04-24 14:12:32.087465,2026-04-24 14:12:32.092775,0 days 00:00:00.005310,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.009485094850948509,2026-04-24 14:12:32.092925,2026-04-24 14:12:32.162929,0 days 00:00:00.070004,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.2527612574341546,2026-04-24 14:12:32.163156,2026-04-24 14:12:32.604540,0 days 00:00:00.441384,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.016251354279523293,2026-04-24 14:12:32.604731,2026-04-24 14:12:32.609763,0 days 00:00:00.005032,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.19595910418695228,2026-04-24 14:12:32.609906,2026-04-24 14:12:32.783648,0 days 00:00:00.173742,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.19429724955841535,2026-04-24 14:12:32.783870,2026-04-24 14:12:32.793271,0 days 00:00:00.009401,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.04934649239797279,2026-04-24 14:12:32.793466,2026-04-24 14:12:32.804121,0 days 00:00:00.010655,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.23337091319052988,2026-04-24 14:12:32.804289,2026-04-24 14:12:32.814078,0 days 00:00:00.009789,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.23337091319052988,2026-04-24 14:12:32.814273,2026-04-24 14:12:32.824804,0 days 00:00:00.010531,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.17736045905059988,2026-04-24 14:12:32.824991,2026-04-24 14:12:33.318565,0 days 00:00:00.493574,,0.022033268453398983,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.27340513670256833,2026-04-24 14:12:33.318764,2026-04-24 14:12:33.329370,0 days 00:00:00.010606,,0.19803055001707562,,,ECOD,,,,,COMPLETE
15,0.12360135310954982,2026-04-24 14:12:33.329556,2026-04-24 14:12:33.339734,0 days 00:00:00.010178,,0.027421114385917815,,,ECOD,,,,,COMPLETE
16,0.21289108445071747,2026-04-24 14:12:33.339919,2026-04-24 14:12:33.350608,0 days 00:00:00.010689,,0.09681165729706535,,,ECOD,,,,,COMPLETE
17,0.09954871250331829,2026-04-24 14:12:33.350774,2026-04-24 14:12:33.770679,0 days 00:00:00.419905,,0.010443519296763843,,0.3235101194541304,IForest,,169.0,,,COMPLETE
18,0.1605445671718469,2026-04-24 14:12:33.770897,2026-04-24 14:12:33.781919,0 days 00:00:00.011022,,0.03552888839001809,,,ECOD,,,,,COMPLETE
19,0.2213209733487833,2026-04-24 14:12:33.782091,2026-04-24 14:12:34.152336,0 days 00:00:00.370245,,0.1071662544469429,,0.7242718721848225,IForest,,135.0,,,COMPLETE
20,0.029577843506318903,2026-04-24 14:12:34.152535,2026-04-24 14:12:34.163450,0 days 00:00:00.010915,,0.006495976948506647,,,ECOD,,,,,COMPLETE
21,0.17440335693679518,2026-04-24 14:12:34.163628,2026-04-24 14:12:34.173707,0 days 00:00:00.010079,0.021100468655599752,0.19911801371860935,,,HBOS,5.0,,,0.7265221171659011,COMPLETE
22,0.21371535932362612,2026-04-24 14:12:34.173912,2026-04-24 14:12:34.184189,0 days 00:00:00.010277,0.3262572158437804,0.11407061535579142,,,HBOS,34.0,,,0.5851093220523512,COMPLETE
23,0.09918738049713192,2026-04-24 14:12:34.184407,2026-04-24 14:12:34.235289,0 days 00:00:00.050882,,0.08345078372041473,10.0,,LOF,,,54.0,,COMPLETE
24,0.23172905525846701,2026-04-24 14:12:34.235495,2026-04-24 14:12:34.581006,0 days 00:00:00.345511,,0.1336974232624949,,0.3963968356247332,IForest,,135.0,,,COMPLETE
