number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.06633165829145729,2026-04-18 16:57:07.514236,2026-04-18 16:57:07.617095,0 days 00:00:00.102859,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.18344105878731917,2026-04-18 16:57:07.617263,2026-04-18 16:57:10.606112,0 days 00:00:02.988849,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.0020491803278688526,2026-04-18 16:57:10.606302,2026-04-18 16:57:10.614010,0 days 00:00:00.007708,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.0020491803278688526,2026-04-18 16:57:10.614131,2026-04-18 16:57:10.621886,0 days 00:00:00.007755,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.09341169192700279,2026-04-18 16:57:10.622014,2026-04-18 16:57:10.629962,0 days 00:00:00.007948,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.01016260162601626,2026-04-18 16:57:10.630085,2026-04-18 16:57:13.835195,0 days 00:00:03.205110,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.0321285140562249,2026-04-18 16:57:13.835380,2026-04-18 16:57:17.844312,0 days 00:00:04.008932,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.006048387096774193,2026-04-18 16:57:17.844498,2026-04-18 16:57:19.110148,0 days 00:00:01.265650,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.0020491803278688526,2026-04-18 16:57:19.110341,2026-04-18 16:57:19.118137,0 days 00:00:00.007796,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.005970149253731343,2026-04-18 16:57:19.118257,2026-04-18 16:57:40.718779,0 days 00:00:21.600522,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
10,0.08448800270361609,2026-04-18 16:57:40.718996,2026-04-18 16:57:42.327380,0 days 00:00:01.608384,,0.10707142319043285,0.00012738199266969165,rbf,,,OCSVM,,,,0.017005131489779723,,COMPLETE
11,0.2807731434384537,2026-04-18 16:57:42.327577,2026-04-18 16:57:42.562124,0 days 00:00:00.234547,,0.13874968155744727,,,77.0,,LOF,,,78.0,,,COMPLETE
12,0.293854748603352,2026-04-18 16:57:42.562319,2026-04-18 16:57:42.782113,0 days 00:00:00.219794,,0.04576282638077717,,,76.0,,LOF,,,77.0,,,COMPLETE
13,0.3052695336159903,2026-04-18 16:57:42.782291,2026-04-18 16:57:43.004073,0 days 00:00:00.221782,,0.03818492699186816,,,80.0,,LOF,,,78.0,,,COMPLETE
14,0.3041144901610018,2026-04-18 16:57:43.004297,2026-04-18 16:57:43.227941,0 days 00:00:00.223644,,0.03939743363142444,,,79.0,,LOF,,,78.0,,,COMPLETE
15,0.3158660844250364,2026-04-18 16:57:43.228122,2026-04-18 16:57:43.406144,0 days 00:00:00.178022,,0.02505097508632337,,,80.0,,LOF,,,61.0,,,COMPLETE
16,0.32909498878085264,2026-04-18 16:57:43.406317,2026-04-18 16:57:43.568332,0 days 00:00:00.162015,,0.022316618101715594,,,55.0,,LOF,,,54.0,,,COMPLETE
17,0.2982885085574572,2026-04-18 16:57:43.568520,2026-04-18 16:57:43.723663,0 days 00:00:00.155143,,0.016909106187551728,,,50.0,,LOF,,,49.0,,,COMPLETE
18,0.31321619556913677,2026-04-18 16:57:43.723832,2026-04-18 16:57:43.879165,0 days 00:00:00.155333,,0.01919122495637764,,,56.0,,LOF,,,50.0,,,COMPLETE
19,0.3264094955489614,2026-04-18 16:57:43.879344,2026-04-18 16:57:44.049169,0 days 00:00:00.169825,,0.02549664429518987,,,57.0,,LOF,,,57.0,,,COMPLETE
20,0.07271053842613898,2026-04-18 16:57:44.049343,2026-04-18 16:57:50.920675,0 days 00:00:06.871332,,0.06837341220850071,0.7937580731016354,sigmoid,,,OCSVM,,,,0.08080797119846915,,COMPLETE
21,0.3264094955489614,2026-04-18 16:57:50.920872,2026-04-18 16:57:51.094623,0 days 00:00:00.173751,,0.02327751745619277,,,57.0,,LOF,,,57.0,,,COMPLETE
22,0.17122683142100617,2026-04-18 16:57:51.094821,2026-04-18 16:57:51.272833,0 days 00:00:00.178012,,0.010234547708011606,,,55.0,,LOF,,,59.0,,,COMPLETE
23,0.35836431226765797,2026-04-18 16:57:51.273009,2026-04-18 16:57:51.397049,0 days 00:00:00.124040,,0.025260609196163106,,,46.0,,LOF,,,32.0,,,COMPLETE
24,0.3153526970954357,2026-04-18 16:57:51.397213,2026-04-18 16:57:51.518484,0 days 00:00:00.121271,,0.013764088265221491,,,43.0,,LOF,,,31.0,,,COMPLETE
25,0.14245014245014245,2026-04-18 16:57:51.518662,2026-04-18 16:57:51.647350,0 days 00:00:00.128688,,0.005950032166283123,,,40.0,,LOF,,,36.0,,,COMPLETE
26,0.34375,2026-04-18 16:57:51.647536,2026-04-18 16:57:51.781532,0 days 00:00:00.133996,,0.06191555615726859,,,63.0,,LOF,,,38.0,,,COMPLETE
27,0.35154061624649857,2026-04-18 16:57:51.781694,2026-04-18 16:57:51.912041,0 days 00:00:00.130347,,0.06978407044909751,,,68.0,,LOF,,,36.0,,,COMPLETE
28,0.08569182389937106,2026-04-18 16:57:51.912253,2026-04-18 16:58:32.757643,0 days 00:00:40.845390,,0.08795421375953208,0.000487964369362564,rbf,,,OCSVM,,,,0.3865720521599313,,COMPLETE
29,0.34375,2026-04-18 16:58:32.757827,2026-04-18 16:58:32.893094,0 days 00:00:00.135267,,0.058938687134124305,,,67.0,,LOF,,,38.0,,,COMPLETE
