number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.5238095238095238,2026-04-28 11:37:29.609749,2026-04-28 11:37:29.632961,0 days 00:00:00.023212,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.09090909090909091,2026-04-28 11:37:29.633129,2026-04-28 11:37:29.641019,0 days 00:00:00.007890,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.08547008547008547,2026-04-28 11:37:29.641157,2026-04-28 11:37:29.649161,0 days 00:00:00.008004,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.061855670103092786,2026-04-28 11:37:29.649331,2026-04-28 11:37:29.846525,0 days 00:00:00.197194,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.04524886877828054,2026-04-28 11:37:29.846700,2026-04-28 11:37:29.851338,0 days 00:00:00.004638,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:37:29.851461,2026-04-28 11:37:29.923801,0 days 00:00:00.072340,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.05480607082630692,2026-04-28 11:37:29.923976,2026-04-28 11:37:30.320811,0 days 00:00:00.396835,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:37:30.321010,2026-04-28 11:37:30.325471,0 days 00:00:00.004461,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.08538899430740038,2026-04-28 11:37:30.325591,2026-04-28 11:37:30.481793,0 days 00:00:00.156202,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.02531645569620253,2026-04-28 11:37:30.481968,2026-04-28 11:37:30.489945,0 days 00:00:00.007977,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.9349593495934959,2026-04-28 11:37:30.490085,2026-04-28 11:37:30.513626,0 days 00:00:00.023541,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.8846153846153846,2026-04-28 11:37:30.513825,2026-04-28 11:37:30.538811,0 days 00:00:00.024986,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.08928571428571429,2026-04-28 11:37:30.538982,2026-04-28 11:37:30.547948,0 days 00:00:00.008966,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.8846153846153846,2026-04-28 11:37:30.548098,2026-04-28 11:37:30.573021,0 days 00:00:00.024923,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.35714285714285715,2026-04-28 11:37:30.573200,2026-04-28 11:37:30.610392,0 days 00:00:00.037192,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.0,2026-04-28 11:37:30.610600,2026-04-28 11:37:30.660561,0 days 00:00:00.049961,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.09225092250922509,2026-04-28 11:37:30.660734,2026-04-28 11:37:30.669795,0 days 00:00:00.009061,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.2757352941176471,2026-04-28 11:37:30.669958,2026-04-28 11:37:30.704060,0 days 00:00:00.034102,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.9349593495934959,2026-04-28 11:37:30.704236,2026-04-28 11:37:30.727505,0 days 00:00:00.023269,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.13274336283185842,2026-04-28 11:37:30.727697,2026-04-28 11:37:30.766441,0 days 00:00:00.038744,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.12295081967213115,2026-04-28 11:37:30.766611,2026-04-28 11:37:30.776011,0 days 00:00:00.009400,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.84,2026-04-28 11:37:30.776173,2026-04-28 11:37:30.800545,0 days 00:00:00.024372,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.6060606060606061,2026-04-28 11:37:30.800709,2026-04-28 11:37:30.832100,0 days 00:00:00.031391,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.0,2026-04-28 11:37:30.832283,2026-04-28 11:37:30.913813,0 days 00:00:00.081530,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.43478260869565216,2026-04-28 11:37:30.914009,2026-04-28 11:37:30.945114,0 days 00:00:00.031105,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
