number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.5555555555555556,2026-04-28 11:39:27.457043,2026-04-28 11:39:27.479544,0 days 00:00:00.022501,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:39:27.479716,2026-04-28 11:39:27.487815,0 days 00:00:00.008099,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:39:27.487944,2026-04-28 11:39:27.495714,0 days 00:00:00.007770,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.010040160642570281,2026-04-28 11:39:27.495851,2026-04-28 11:39:27.710094,0 days 00:00:00.214243,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.015706806282722512,2026-04-28 11:39:27.710297,2026-04-28 11:39:27.715439,0 days 00:00:00.005142,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:39:27.715565,2026-04-28 11:39:27.785166,0 days 00:00:00.069601,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.03056768558951965,2026-04-28 11:39:27.785347,2026-04-28 11:39:28.216706,0 days 00:00:00.431359,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:39:28.216920,2026-04-28 11:39:28.221999,0 days 00:00:00.005079,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.036231884057971016,2026-04-28 11:39:28.222158,2026-04-28 11:39:28.392806,0 days 00:00:00.170648,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 11:39:28.393017,2026-04-28 11:39:28.401605,0 days 00:00:00.008588,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.8411214953271028,2026-04-28 11:39:28.401750,2026-04-28 11:39:28.427522,0 days 00:00:00.025772,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.8256880733944955,2026-04-28 11:39:28.427704,2026-04-28 11:39:28.454235,0 days 00:00:00.026531,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:39:28.454430,2026-04-28 11:39:28.464471,0 days 00:00:00.010041,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.8256880733944955,2026-04-28 11:39:28.464616,2026-04-28 11:39:28.490528,0 days 00:00:00.025912,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.034722222222222224,2026-04-28 11:39:28.490736,2026-04-28 11:39:28.529182,0 days 00:00:00.038446,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.0,2026-04-28 11:39:28.529481,2026-04-28 11:39:28.582543,0 days 00:00:00.053062,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.0,2026-04-28 11:39:28.582733,2026-04-28 11:39:28.593575,0 days 00:00:00.010842,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.07407407407407407,2026-04-28 11:39:28.593839,2026-04-28 11:39:28.629386,0 days 00:00:00.035547,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.8411214953271028,2026-04-28 11:39:28.629625,2026-04-28 11:39:28.652549,0 days 00:00:00.022924,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.0,2026-04-28 11:39:28.652743,2026-04-28 11:39:28.690564,0 days 00:00:00.037821,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 11:39:28.690749,2026-04-28 11:39:28.701230,0 days 00:00:00.010481,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.8490566037735849,2026-04-28 11:39:28.701386,2026-04-28 11:39:28.725406,0 days 00:00:00.024020,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.4225352112676056,2026-04-28 11:39:28.725640,2026-04-28 11:39:28.753506,0 days 00:00:00.027866,,0.021154863635591208,32.0,,LOF,,,15.0,,COMPLETE
23,0.18518518518518517,2026-04-28 11:39:28.753734,2026-04-28 11:39:28.784617,0 days 00:00:00.030883,,0.007013566731196421,10.0,,LOF,,,21.0,,COMPLETE
24,0.024875621890547265,2026-04-28 11:39:28.784809,2026-04-28 11:39:28.856381,0 days 00:00:00.071572,,0.02227376158187062,32.0,,LOF,,,84.0,,COMPLETE
