number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.013524479307546659,2026-04-24 14:12:58.799789,2026-04-24 14:12:58.825147,0 days 00:00:00.025358,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0054010261949770455,2026-04-24 14:12:58.825336,2026-04-24 14:12:58.834437,0 days 00:00:00.009101,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.010764262648008612,2026-04-24 14:12:58.834629,2026-04-24 14:12:58.843457,0 days 00:00:00.008828,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.12363996043521266,2026-04-24 14:12:58.843635,2026-04-24 14:12:59.074658,0 days 00:00:00.231023,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.16706704520637694,2026-04-24 14:12:59.074849,2026-04-24 14:12:59.080173,0 days 00:00:00.005324,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0013568521031207597,2026-04-24 14:12:59.080384,2026-04-24 14:12:59.160461,0 days 00:00:00.080077,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.23784466428120396,2026-04-24 14:12:59.160725,2026-04-24 14:12:59.604815,0 days 00:00:00.444090,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.010834236186348862,2026-04-24 14:12:59.605045,2026-04-24 14:12:59.610442,0 days 00:00:00.005397,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.13878653893392287,2026-04-24 14:12:59.610634,2026-04-24 14:12:59.793373,0 days 00:00:00.182739,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.06043817678166709,2026-04-24 14:12:59.793578,2026-04-24 14:12:59.802669,0 days 00:00:00.009091,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.029263101888800214,2026-04-24 14:12:59.802847,2026-04-24 14:12:59.813053,0 days 00:00:00.010206,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.19334629509613308,2026-04-24 14:12:59.813258,2026-04-24 14:12:59.823906,0 days 00:00:00.010648,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.19916142557651992,2026-04-24 14:12:59.824122,2026-04-24 14:12:59.835434,0 days 00:00:00.011312,0.49623881942137704,0.18255130435497313,,,HBOS,50.0,,,0.8539382619776563,COMPLETE
13,0.04120148856990962,2026-04-24 14:12:59.835626,2026-04-24 14:13:00.360380,0 days 00:00:00.524754,,0.01956291363650499,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.17838835349600163,2026-04-24 14:13:00.360574,2026-04-24 14:13:00.371464,0 days 00:00:00.010890,,0.1989058004810467,,,ECOD,,,,,COMPLETE
15,0.036582179252678336,2026-04-24 14:13:00.371666,2026-04-24 14:13:00.382317,0 days 00:00:00.010651,0.022920361358845703,0.027421114385917815,,,HBOS,34.0,,,0.8955120904234664,COMPLETE
16,0.11966213045518535,2026-04-24 14:13:00.382535,2026-04-24 14:13:00.824164,0 days 00:00:00.441629,,0.09362654613664895,,0.30741954841485813,IForest,,166.0,,,COMPLETE
17,0.016163793103448277,2026-04-24 14:13:00.824384,2026-04-24 14:13:00.835351,0 days 00:00:00.010967,0.28654130621470114,0.03670701766143751,,,HBOS,6.0,,,0.6526360617697046,COMPLETE
18,0.028112449799196786,2026-04-24 14:13:00.835554,2026-04-24 14:13:01.195010,0 days 00:00:00.359456,,0.009289159715129917,,0.7449105408093936,IForest,,133.0,,,COMPLETE
19,0.18796125461254612,2026-04-24 14:13:01.195205,2026-04-24 14:13:01.245227,0 days 00:00:00.050022,,0.10891625818341821,10.0,,LOF,,,49.0,,COMPLETE
20,0.10093896713615023,2026-04-24 14:13:01.245415,2026-04-24 14:13:01.255563,0 days 00:00:00.010148,,0.09894172728341483,,,ECOD,,,,,COMPLETE
21,0.19936708860759494,2026-04-24 14:13:01.255759,2026-04-24 14:13:01.266039,0 days 00:00:00.010280,0.49315322916471827,0.18984117149986127,,,HBOS,48.0,,,0.7681093571834581,COMPLETE
22,0.16009852216748768,2026-04-24 14:13:01.266224,2026-04-24 14:13:01.275947,0 days 00:00:00.009723,0.4930659456021026,0.14009679134377376,,,HBOS,39.0,,,0.8825117530068327,COMPLETE
23,0.09195684158901422,2026-04-24 14:13:01.276135,2026-04-24 14:13:01.286974,0 days 00:00:00.010839,0.3501738355241867,0.06258641134124328,,,HBOS,41.0,,,0.6183206275250183,COMPLETE
24,0.0932791198277924,2026-04-24 14:13:01.287180,2026-04-24 14:13:01.297215,0 days 00:00:00.010035,0.4957651278526756,0.10680305051020253,,,HBOS,26.0,,,0.07313617243251719,COMPLETE
