number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.023237800154918668,2026-04-18 17:51:04.833594,2026-04-18 17:51:05.467079,0 days 00:00:00.633485,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.010251153254741158,2026-04-18 17:51:05.467280,2026-04-18 17:51:05.567100,0 days 00:00:00.099820,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0127420998980632,2026-04-18 17:51:05.567278,2026-04-18 17:51:05.667339,0 days 00:00:00.100061,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.2753941329076033,2026-04-18 17:51:05.667539,2026-04-18 17:51:06.201021,0 days 00:00:00.533482,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.19219128329297822,2026-04-18 17:51:06.201226,2026-04-18 17:51:06.236946,0 days 00:00:00.035720,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.04006203153269579,2026-04-18 17:51:06.237134,2026-04-18 17:51:08.295589,0 days 00:00:02.058455,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.2988505747126437,2026-04-18 17:51:08.295829,2026-04-18 17:51:09.411049,0 days 00:00:01.115220,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.01167618059159315,2026-04-18 17:51:09.411257,2026-04-18 17:51:09.442149,0 days 00:00:00.030892,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.28294573643410853,2026-04-18 17:51:09.442336,2026-04-18 17:51:09.872494,0 days 00:00:00.430158,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.10869565217391304,2026-04-18 17:51:09.872697,2026-04-18 17:51:09.971390,0 days 00:00:00.098693,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.04794688959921318,2026-04-18 17:51:09.971676,2026-04-18 17:51:10.071344,0 days 00:00:00.099668,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.29914529914529914,2026-04-18 17:51:10.071569,2026-04-18 17:51:11.298972,0 days 00:00:01.227403,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
