number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_gamma,params_kernel,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_nu,params_tol,state
0,0.0,2026-04-18 16:53:40.493705,2026-04-18 16:53:40.574477,0 days 00:00:00.080772,,0.0021852986613813824,,,23.0,,LOF,,,21.0,,,COMPLETE
1,0.20436628259551243,2026-04-18 16:53:40.574634,2026-04-18 16:53:43.713049,0 days 00:00:03.138415,,0.12900672532880805,,,,0.5274034664069657,IForest,,350.0,,,,COMPLETE
2,0.2829006266786034,2026-04-18 16:53:43.713236,2026-04-18 16:53:43.720988,0 days 00:00:00.007752,0.3253338026250708,0.008708668905847936,,,,,HBOS,15.0,,,,0.21159508852163347,COMPLETE
3,0.10661401776900296,2026-04-18 16:53:43.721104,2026-04-18 16:53:43.728732,0 days 00:00:00.007628,0.3165865559879191,0.0027196209124940936,,,,,HBOS,23.0,,,,0.13716033017599819,COMPLETE
4,0.25715470759021153,2026-04-18 16:53:43.728839,2026-04-18 16:53:43.736734,0 days 00:00:00.007895,0.18707619612801682,0.12627094381908754,,,,,HBOS,34.0,,,,0.1781376912051071,COMPLETE
5,0.04085801838610827,2026-04-18 16:53:43.736838,2026-04-18 16:53:47.030011,0 days 00:00:03.293173,,0.0011880440954237588,,,,0.5552679889600102,IForest,,373.0,,,,COMPLETE
6,0.11220472440944881,2026-04-18 16:53:47.030213,2026-04-18 16:53:51.151506,0 days 00:00:04.121293,,0.0025249929209194928,,,,0.8650796940166687,IForest,,391.0,,,,COMPLETE
7,0.05279187817258883,2026-04-18 16:53:51.151689,2026-04-18 16:53:52.442578,0 days 00:00:01.290889,,0.0015580011008764533,,,,0.4271363733463229,IForest,,158.0,,,,COMPLETE
8,0.18371212121212122,2026-04-18 16:53:52.442772,2026-04-18 16:53:52.450678,0 days 00:00:00.007906,0.2942132374212118,0.005974860857012641,,,,,HBOS,15.0,,,,0.21273937997981013,COMPLETE
9,0.08964143426294821,2026-04-18 16:53:52.450801,2026-04-18 16:54:11.756442,0 days 00:00:19.305641,,0.002706596136940912,0.08241925264876443,sigmoid,,,OCSVM,,,,0.2856743641005707,,COMPLETE
