number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.13157894736842105,2026-04-28 11:11:59.441777,2026-04-28 11:11:59.465118,0 days 00:00:00.023341,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:11:59.465292,2026-04-28 11:11:59.473255,0 days 00:00:00.007963,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:11:59.473380,2026-04-28 11:11:59.481437,0 days 00:00:00.008057,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.06451612903225806,2026-04-28 11:11:59.481588,2026-04-28 11:11:59.694051,0 days 00:00:00.212463,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.06607929515418502,2026-04-28 11:11:59.694237,2026-04-28 11:11:59.699459,0 days 00:00:00.005222,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:11:59.699588,2026-04-28 11:11:59.775823,0 days 00:00:00.076235,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.055248618784530384,2026-04-28 11:11:59.776016,2026-04-28 11:12:00.201547,0 days 00:00:00.425531,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:12:00.201733,2026-04-28 11:12:00.206607,0 days 00:00:00.004874,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.046801872074883,2026-04-28 11:12:00.206736,2026-04-28 11:12:00.375224,0 days 00:00:00.168488,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.009174311926605505,2026-04-28 11:12:00.375418,2026-04-28 11:12:00.383988,0 days 00:00:00.008570,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.27972027972027974,2026-04-28 11:12:00.384152,2026-04-28 11:12:00.409523,0 days 00:00:00.025371,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.2846975088967972,2026-04-28 11:12:00.409677,2026-04-28 11:12:00.434588,0 days 00:00:00.024911,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:12:00.434746,2026-04-28 11:12:00.444124,0 days 00:00:00.009378,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.2846975088967972,2026-04-28 11:12:00.444253,2026-04-28 11:12:00.469257,0 days 00:00:00.025004,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.16666666666666666,2026-04-28 11:12:00.469421,2026-04-28 11:12:00.509014,0 days 00:00:00.039593,,0.026641960893341532,80.0,,LOF,,,35.0,,COMPLETE
15,0.05514705882352941,2026-04-28 11:12:00.509202,2026-04-28 11:12:00.546647,0 days 00:00:00.037445,,0.00614072248611863,53.0,,LOF,,,35.0,,COMPLETE
16,0.026954177897574125,2026-04-28 11:12:00.546835,2026-04-28 11:12:00.556427,0 days 00:00:00.009592,,0.023350809989676466,,,ECOD,,,,,COMPLETE
17,0.27972027972027974,2026-04-28 11:12:00.556622,2026-04-28 11:12:00.581965,0 days 00:00:00.025343,,0.00891276795886596,56.0,,LOF,,,5.0,,COMPLETE
18,0.17105263157894737,2026-04-28 11:12:00.582124,2026-04-28 11:12:00.619631,0 days 00:00:00.037507,,0.022991636299556074,17.0,,LOF,,,35.0,,COMPLETE
19,0.021929824561403508,2026-04-28 11:12:00.619819,2026-04-28 11:12:00.684306,0 days 00:00:00.064487,,0.033613837138551164,64.0,,LOF,,,71.0,,COMPLETE
20,0.0,2026-04-28 11:12:00.684490,2026-04-28 11:12:00.694076,0 days 00:00:00.009586,,0.005937908750159468,,,ECOD,,,,,COMPLETE
21,0.2891156462585034,2026-04-28 11:12:00.694216,2026-04-28 11:12:00.719854,0 days 00:00:00.025638,,0.01580608352107629,80.0,,LOF,,,8.0,,COMPLETE
22,0.22727272727272727,2026-04-28 11:12:00.720025,2026-04-28 11:12:00.752981,0 days 00:00:00.032956,,0.016067446537524135,80.0,,LOF,,,24.0,,COMPLETE
23,0.22658610271903323,2026-04-28 11:12:00.753143,2026-04-28 11:12:00.784693,0 days 00:00:00.031550,,0.016426908736614475,66.0,,LOF,,,21.0,,COMPLETE
24,0.17857142857142858,2026-04-28 11:12:00.784858,2026-04-28 11:12:00.815097,0 days 00:00:00.030239,,0.008154536928284021,67.0,,LOF,,,18.0,,COMPLETE
