number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.08130081300813008,2026-04-28 10:41:58.065257,2026-04-28 10:41:58.089205,0 days 00:00:00.023948,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:41:58.089410,2026-04-28 10:41:58.098035,0 days 00:00:00.008625,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:41:58.098226,2026-04-28 10:41:58.107025,0 days 00:00:00.008799,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.03350083752093802,2026-04-28 10:41:58.107221,2026-04-28 10:41:58.332129,0 days 00:00:00.224908,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.04424778761061947,2026-04-28 10:41:58.332386,2026-04-28 10:41:58.337765,0 days 00:00:00.005379,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:41:58.337957,2026-04-28 10:41:58.416996,0 days 00:00:00.079039,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.04769475357710652,2026-04-28 10:41:58.417211,2026-04-28 10:41:58.850013,0 days 00:00:00.432802,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:41:58.850214,2026-04-28 10:41:58.856726,0 days 00:00:00.006512,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.03125,2026-04-28 10:41:58.856912,2026-04-28 10:41:59.031929,0 days 00:00:00.175017,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.00927643784786642,2026-04-28 10:41:59.032151,2026-04-28 10:41:59.041613,0 days 00:00:00.009462,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.21897810218978103,2026-04-28 10:41:59.041789,2026-04-28 10:41:59.068972,0 days 00:00:00.027183,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.2222222222222222,2026-04-28 10:41:59.069169,2026-04-28 10:41:59.095877,0 days 00:00:00.026708,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 10:41:59.096117,2026-04-28 10:41:59.106398,0 days 00:00:00.010281,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.2222222222222222,2026-04-28 10:41:59.106585,2026-04-28 10:41:59.133134,0 days 00:00:00.026549,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.1125,2026-04-28 10:41:59.133335,2026-04-28 10:41:59.175287,0 days 00:00:00.041952,,0.026641960893341532,80.0,,LOF,,,35.0,,COMPLETE
15,0.03717472118959108,2026-04-28 10:41:59.175512,2026-04-28 10:41:59.214765,0 days 00:00:00.039253,,0.00614072248611863,53.0,,LOF,,,35.0,,COMPLETE
16,0.0136986301369863,2026-04-28 10:41:59.214968,2026-04-28 10:41:59.225558,0 days 00:00:00.010590,,0.023350809989676466,,,ECOD,,,,,COMPLETE
17,0.21897810218978103,2026-04-28 10:41:59.225746,2026-04-28 10:41:59.252591,0 days 00:00:00.026845,,0.00891276795886596,56.0,,LOF,,,5.0,,COMPLETE
18,0.11627906976744186,2026-04-28 10:41:59.252798,2026-04-28 10:41:59.291942,0 days 00:00:00.039144,,0.022991636299556074,17.0,,LOF,,,35.0,,COMPLETE
19,0.012077294685990338,2026-04-28 10:41:59.292142,2026-04-28 10:41:59.359650,0 days 00:00:00.067508,,0.033613837138551164,64.0,,LOF,,,71.0,,COMPLETE
20,0.0,2026-04-28 10:41:59.359868,2026-04-28 10:41:59.371005,0 days 00:00:00.011137,,0.005937908750159468,,,ECOD,,,,,COMPLETE
21,0.1971326164874552,2026-04-28 10:41:59.371246,2026-04-28 10:41:59.399168,0 days 00:00:00.027922,,0.01580608352107629,80.0,,LOF,,,8.0,,COMPLETE
22,0.11589403973509933,2026-04-28 10:41:59.399372,2026-04-28 10:41:59.434910,0 days 00:00:00.035538,,0.014087932011268596,70.0,,LOF,,,24.0,,COMPLETE
23,0.07220216606498195,2026-04-28 10:41:59.435108,2026-04-28 10:41:59.468972,0 days 00:00:00.033864,,0.00892841599741973,79.0,,LOF,,,21.0,,COMPLETE
24,0.014492753623188406,2026-04-28 10:41:59.469178,2026-04-28 10:41:59.525932,0 days 00:00:00.056754,,0.018628082440310566,65.0,,LOF,,,56.0,,COMPLETE
