number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.07936507936507936,2026-04-28 11:11:19.727143,2026-04-28 11:11:20.186581,0 days 00:00:00.459438,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:11:20.186774,2026-04-28 11:11:20.194005,0 days 00:00:00.007231,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:11:20.194222,2026-04-28 11:11:20.202009,0 days 00:00:00.007787,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.03683241252302026,2026-04-28 11:11:20.202195,2026-04-28 11:11:20.311853,0 days 00:00:00.109658,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.019455252918287938,2026-04-28 11:11:20.312053,2026-04-28 11:11:20.316709,0 days 00:00:00.004656,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.020080321285140562,2026-04-28 11:11:20.316871,2026-04-28 11:11:20.844849,0 days 00:00:00.527978,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.04206098843322818,2026-04-28 11:11:20.845067,2026-04-28 11:11:21.048835,0 days 00:00:00.203768,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:11:21.049034,2026-04-28 11:11:21.053700,0 days 00:00:00.004666,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.04975124378109453,2026-04-28 11:11:21.053865,2026-04-28 11:11:21.137839,0 days 00:00:00.083974,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.018484288354898338,2026-04-28 11:11:21.138022,2026-04-28 11:11:21.144193,0 days 00:00:00.006171,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.07575757575757576,2026-04-28 11:11:21.144325,2026-04-28 11:11:21.590499,0 days 00:00:00.446174,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.07518796992481203,2026-04-28 11:11:21.590686,2026-04-28 11:11:22.032962,0 days 00:00:00.442276,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:11:22.033160,2026-04-28 11:11:22.041157,0 days 00:00:00.007997,,0.013941744423372761,,,ECOD,,,,,COMPLETE
13,0.07575757575757576,2026-04-28 11:11:22.041315,2026-04-28 11:11:22.488021,0 days 00:00:00.446706,,0.005243660894310309,75.0,,LOF,,,7.0,,COMPLETE
14,0.06369426751592357,2026-04-28 11:11:22.488269,2026-04-28 11:11:22.946206,0 days 00:00:00.457937,,0.026641960893341532,58.0,,LOF,,,32.0,,COMPLETE
15,0.07936507936507936,2026-04-28 11:11:22.946389,2026-04-28 11:11:23.403472,0 days 00:00:00.457083,,0.0025004788483889567,58.0,,LOF,,,37.0,,COMPLETE
16,0.0,2026-04-28 11:11:23.403659,2026-04-28 11:11:23.411048,0 days 00:00:00.007389,,0.001979407869925237,,,ECOD,,,,,COMPLETE
17,0.07575757575757576,2026-04-28 11:11:23.411172,2026-04-28 11:11:23.898400,0 days 00:00:00.487228,,0.005241306341114712,51.0,,LOF,,,45.0,,COMPLETE
18,0.07936507936507936,2026-04-28 11:11:23.898577,2026-04-28 11:11:24.351762,0 days 00:00:00.453185,,0.0027088479958687433,60.0,,LOF,,,33.0,,COMPLETE
19,0.06896551724137931,2026-04-28 11:11:24.351934,2026-04-28 11:11:24.855966,0 days 00:00:00.504032,,0.007714858802118014,35.0,,LOF,,,71.0,,COMPLETE
20,0.0,2026-04-28 11:11:24.856149,2026-04-28 11:11:24.863659,0 days 00:00:00.007510,,0.0020052193680126108,,,ECOD,,,,,COMPLETE
21,0.07575757575757576,2026-04-28 11:11:24.863807,2026-04-28 11:11:25.319571,0 days 00:00:00.455764,,0.002744914910224093,61.0,,LOF,,,32.0,,COMPLETE
22,0.07407407407407407,2026-04-28 11:11:25.319759,2026-04-28 11:11:25.775049,0 days 00:00:00.455290,,0.003414093766500183,63.0,,LOF,,,28.0,,COMPLETE
23,0.0784313725490196,2026-04-28 11:11:25.775236,2026-04-28 11:11:26.265710,0 days 00:00:00.490474,,0.0010155398607706579,44.0,,LOF,,,51.0,,COMPLETE
24,0.019011406844106463,2026-04-28 11:11:26.265914,2026-04-28 11:11:26.716898,0 days 00:00:00.450984,,0.0019967557329871087,66.0,,LOF,,,21.0,,COMPLETE
