number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.10638297872340426,2026-04-28 11:38:15.534582,2026-04-28 11:38:15.555559,0 days 00:00:00.020977,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:38:15.555726,2026-04-28 11:38:15.563938,0 days 00:00:00.008212,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:38:15.564072,2026-04-28 11:38:15.572256,0 days 00:00:00.008184,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.0,2026-04-28 11:38:15.572388,2026-04-28 11:38:15.803698,0 days 00:00:00.231310,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.004780114722753346,2026-04-28 11:38:15.803875,2026-04-28 11:38:15.808692,0 days 00:00:00.004817,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:38:15.808818,2026-04-28 11:38:15.872775,0 days 00:00:00.063957,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.012244897959183673,2026-04-28 11:38:15.872962,2026-04-28 11:38:16.322961,0 days 00:00:00.449999,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:38:16.323140,2026-04-28 11:38:16.327696,0 days 00:00:00.004556,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.0,2026-04-28 11:38:16.327823,2026-04-28 11:38:16.505559,0 days 00:00:00.177736,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 11:38:16.505753,2026-04-28 11:38:16.514027,0 days 00:00:00.008274,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.7051282051282052,2026-04-28 11:38:16.514160,2026-04-28 11:38:16.536384,0 days 00:00:00.022224,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.650887573964497,2026-04-28 11:38:16.536531,2026-04-28 11:38:16.559271,0 days 00:00:00.022740,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:38:16.559456,2026-04-28 11:38:16.570270,0 days 00:00:00.010814,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.5882352941176471,2026-04-28 11:38:16.570424,2026-04-28 11:38:16.593327,0 days 00:00:00.022903,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.12195121951219512,2026-04-28 11:38:16.593559,2026-04-28 11:38:16.630521,0 days 00:00:00.036962,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.0,2026-04-28 11:38:16.630701,2026-04-28 11:38:16.681458,0 days 00:00:00.050757,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.0,2026-04-28 11:38:16.681644,2026-04-28 11:38:16.691916,0 days 00:00:00.010272,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.1697530864197531,2026-04-28 11:38:16.692121,2026-04-28 11:38:16.723820,0 days 00:00:00.031699,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.5597014925373134,2026-04-28 11:38:16.724010,2026-04-28 11:38:16.743669,0 days 00:00:00.019659,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.17786561264822134,2026-04-28 11:38:16.743841,2026-04-28 11:38:16.784255,0 days 00:00:00.040414,,0.023408245885828113,64.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 11:38:16.784451,2026-04-28 11:38:16.794485,0 days 00:00:00.010034,,0.00429044326441149,,,ECOD,,,,,COMPLETE
21,0.5585106382978723,2026-04-28 11:38:16.794628,2026-04-28 11:38:16.819105,0 days 00:00:00.024477,,0.01580608352107629,80.0,,LOF,,,8.0,,COMPLETE
22,0.4365079365079365,2026-04-28 11:38:16.819275,2026-04-28 11:38:16.847531,0 days 00:00:00.028256,,0.008324680742057614,80.0,,LOF,,,15.0,,COMPLETE
23,0.40816326530612246,2026-04-28 11:38:16.847709,2026-04-28 11:38:16.879570,0 days 00:00:00.031861,,0.017814926613681847,69.0,,LOF,,,21.0,,COMPLETE
24,0.0,2026-04-28 11:38:16.879768,2026-04-28 11:38:16.947844,0 days 00:00:00.068076,,0.010895638656863459,70.0,,LOF,,,84.0,,COMPLETE
