number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0,2026-04-28 11:13:08.348712,2026-04-28 11:13:08.374462,0 days 00:00:00.025750,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:13:08.374644,2026-04-28 11:13:08.385297,0 days 00:00:00.010653,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:13:08.385487,2026-04-28 11:13:08.394408,0 days 00:00:00.008921,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.05263157894736842,2026-04-28 11:13:08.394577,2026-04-28 11:13:08.604594,0 days 00:00:00.210017,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.042444821731748725,2026-04-28 11:13:08.604790,2026-04-28 11:13:08.609728,0 days 00:00:00.004938,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:13:08.609855,2026-04-28 11:13:08.682509,0 days 00:00:00.072654,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.06343283582089553,2026-04-28 11:13:08.682755,2026-04-28 11:13:09.095899,0 days 00:00:00.413144,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:13:09.096086,2026-04-28 11:13:09.100843,0 days 00:00:00.004757,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.06578947368421052,2026-04-28 11:13:09.100973,2026-04-28 11:13:09.267775,0 days 00:00:00.166802,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0539568345323741,2026-04-28 11:13:09.267965,2026-04-28 11:13:09.276322,0 days 00:00:00.008357,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.03205128205128205,2026-04-28 11:13:09.276480,2026-04-28 11:13:09.286201,0 days 00:00:00.009721,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.06593406593406594,2026-04-28 11:13:09.286373,2026-04-28 11:13:09.741336,0 days 00:00:00.454963,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.07366482504604052,2026-04-28 11:13:09.741523,2026-04-28 11:13:10.198645,0 days 00:00:00.457122,,0.04822173298251386,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.0398936170212766,2026-04-28 11:13:10.198831,2026-04-28 11:13:10.692519,0 days 00:00:00.493688,,0.024086765081765927,,0.8109715399222327,IForest,,196.0,,,COMPLETE
14,0.03926701570680628,2026-04-28 11:13:10.692712,2026-04-28 11:13:11.078125,0 days 00:00:00.385413,,0.023048144499690545,,0.40461158038518974,IForest,,154.0,,,COMPLETE
15,0.036101083032490974,2026-04-28 11:13:11.078329,2026-04-28 11:13:11.088194,0 days 00:00:00.009865,,0.09559768530722407,,,ECOD,,,,,COMPLETE
16,0.05241090146750524,2026-04-28 11:13:11.088334,2026-04-28 11:13:11.608429,0 days 00:00:00.520095,,0.037871089389670286,,0.8147100018818704,IForest,,200.0,,,COMPLETE
17,0.0,2026-04-28 11:13:11.608647,2026-04-28 11:13:11.932369,0 days 00:00:00.323722,,0.00977855030732149,,0.9972115722232049,IForest,,126.0,,,COMPLETE
18,0.07121057985757884,2026-04-28 11:13:11.932597,2026-04-28 11:13:12.372492,0 days 00:00:00.439895,,0.11559998584502143,,0.8199258979028818,IForest,,165.0,,,COMPLETE
19,0.09670079635949944,2026-04-28 11:13:12.372714,2026-04-28 11:13:12.417592,0 days 00:00:00.044878,,0.10221540528889135,14.0,,LOF,,,44.0,,COMPLETE
20,0.0875,2026-04-28 11:13:12.417782,2026-04-28 11:13:12.466659,0 days 00:00:00.048877,,0.026826536810874997,10.0,,LOF,,,49.0,,COMPLETE
21,0.10152284263959391,2026-04-28 11:13:12.466859,2026-04-28 11:13:12.511759,0 days 00:00:00.044900,,0.023410591807332674,14.0,,LOF,,,46.0,,COMPLETE
22,0.05136986301369863,2026-04-28 11:13:12.511963,2026-04-28 11:13:12.560269,0 days 00:00:00.048306,,0.007687399128007582,10.0,,LOF,,,47.0,,COMPLETE
23,0.08130081300813008,2026-04-28 11:13:12.560461,2026-04-28 11:13:12.607300,0 days 00:00:00.046839,,0.019823799904627584,12.0,,LOF,,,46.0,,COMPLETE
24,0.10204081632653061,2026-04-28 11:13:12.607487,2026-04-28 11:13:12.654226,0 days 00:00:00.046739,,0.0316418107802353,10.0,,LOF,,,46.0,,COMPLETE
