number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.16853932584269662,2026-04-28 10:46:24.087577,2026-04-28 10:46:24.110980,0 days 00:00:00.023403,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:46:24.111172,2026-04-28 10:46:24.120237,0 days 00:00:00.009065,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:46:24.120413,2026-04-28 10:46:24.128936,0 days 00:00:00.008523,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.030911901081916538,2026-04-28 10:46:24.129112,2026-04-28 10:46:24.385091,0 days 00:00:00.255979,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.043327556325823226,2026-04-28 10:46:24.385351,2026-04-28 10:46:24.391991,0 days 00:00:00.006640,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:46:24.392261,2026-04-28 10:46:24.471167,0 days 00:00:00.078906,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.040145985401459854,2026-04-28 10:46:24.471378,2026-04-28 10:46:24.982518,0 days 00:00:00.511140,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:46:24.982754,2026-04-28 10:46:24.988623,0 days 00:00:00.005869,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.02936857562408223,2026-04-28 10:46:24.988842,2026-04-28 10:46:25.183209,0 days 00:00:00.194367,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.019157088122605363,2026-04-28 10:46:25.183536,2026-04-28 10:46:25.193338,0 days 00:00:00.009802,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.4430379746835443,2026-04-28 10:46:25.193525,2026-04-28 10:46:25.218584,0 days 00:00:00.025059,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.43478260869565216,2026-04-28 10:46:25.218791,2026-04-28 10:46:25.243988,0 days 00:00:00.025197,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.01557632398753894,2026-04-28 10:46:25.244191,2026-04-28 10:46:25.255710,0 days 00:00:00.011519,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.43478260869565216,2026-04-28 10:46:25.255900,2026-04-28 10:46:25.280401,0 days 00:00:00.024501,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.1278409090909091,2026-04-28 10:46:25.280606,2026-04-28 10:46:25.321136,0 days 00:00:00.040530,,0.014489188468155959,57.0,,LOF,,,30.0,,COMPLETE
15,0.0,2026-04-28 10:46:25.321333,2026-04-28 10:46:25.375183,0 days 00:00:00.053850,,0.007795893358622733,80.0,,LOF,,,52.0,,COMPLETE
16,0.03579952267303103,2026-04-28 10:46:25.375418,2026-04-28 10:46:25.386694,0 days 00:00:00.011276,,0.027513092673650832,,,ECOD,,,,,COMPLETE
17,0.15081206496519722,2026-04-28 10:46:25.386890,2026-04-28 10:46:25.422436,0 days 00:00:00.035546,,0.03311073725242975,55.0,,LOF,,,29.0,,COMPLETE
18,0.4605263157894737,2026-04-28 10:46:25.422648,2026-04-28 10:46:25.445479,0 days 00:00:00.022831,,0.006674619025368454,17.0,,LOF,,,5.0,,COMPLETE
19,0.07782101167315175,2026-04-28 10:46:25.445692,2026-04-28 10:46:25.485058,0 days 00:00:00.039366,,0.006026729723154482,12.0,,LOF,,,34.0,,COMPLETE
20,0.0,2026-04-28 10:46:25.485277,2026-04-28 10:46:25.496913,0 days 00:00:00.011636,,0.003101606675346204,,,ECOD,,,,,COMPLETE
21,0.41297935103244837,2026-04-28 10:46:25.497106,2026-04-28 10:46:25.520836,0 days 00:00:00.023730,,0.02391682995171255,34.0,,LOF,,,7.0,,COMPLETE
22,0.27960526315789475,2026-04-28 10:46:25.521031,2026-04-28 10:46:25.555073,0 days 00:00:00.034042,,0.008324680742057614,64.0,,LOF,,,19.0,,COMPLETE
23,0.013774104683195593,2026-04-28 10:46:25.555281,2026-04-28 10:46:25.633068,0 days 00:00:00.077787,,0.016873954080189667,42.0,,LOF,,,95.0,,COMPLETE
24,0.13937282229965156,2026-04-28 10:46:25.633290,2026-04-28 10:46:25.662742,0 days 00:00:00.029452,,0.0043841031182846775,15.0,,LOF,,,21.0,,COMPLETE
